,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0174323878934817,"{'CI': array([1.00095548, 1.03352086]), 'Gelman-Rubin': 0.9998708543653445}",Yes,0.993883125345528,"{'CI': array([0.97805851, 1.00896706]), 'Gelman-Rubin': 0.9998749557589608}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.030214647615359,"{'CI': array([1.00878165, 1.04916346]), 'Gelman-Rubin': 0.9997739139567139}",Yes,0.9855535996386283,"{'CI': array([0.96623738, 1.00563894]), 'Gelman-Rubin': 0.9998960515005837}",No
2,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0251805657050892,"{'CI': array([1.00196587, 1.05004602]), 'Gelman-Rubin': 0.9998243658334908}",Yes,0.9948370333122075,"{'CI': array([0.9726199 , 1.01660975]), 'Gelman-Rubin': 1.0000691179876513}",No
3,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0275324905627246,"{'CI': array([1.00432313, 1.05273471]), 'Gelman-Rubin': 0.9997946745539561}",Yes,0.9840112698879528,"{'CI': array([0.96030505, 1.00622274]), 'Gelman-Rubin': 0.9998272551160026}",No
4,"On examination of other body fluids, substances and tissues, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0216853355169224,"{'CI': array([1.00415511, 1.03975065]), 'Gelman-Rubin': 0.9998550603496587}",Yes,0.9856215946387946,"{'CI': array([0.96830809, 1.00287223]), 'Gelman-Rubin': 1.0001011241877569}",No
5,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9830156629182177,"{'CI': array([0.96842591, 0.99648946]), 'Gelman-Rubin': 0.999798441587919}",Yes,1.0107076563542268,"{'CI': array([0.99560685, 1.02497995]), 'Gelman-Rubin': 0.9999233605996698}",No
6,Certain disorders involving the immune mechanism|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1.0404529628696515,"{'CI': array([1.00458867, 1.07838077]), 'Gelman-Rubin': 0.9998193783453365}",Yes,0.993049214131857,"{'CI': array([0.95809122, 1.02423982]), 'Gelman-Rubin': 0.999859937232429}",No
7,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9493638554676535,"{'CI': array([0.92995567, 0.96973234]), 'Gelman-Rubin': 0.999881218461533}",Yes,1.0193718074406022,"{'CI': array([0.99970215, 1.04087131]), 'Gelman-Rubin': 0.9997978731232239}",No
8,Cerebrovascular diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,0.9819035447706012,"{'CI': array([0.9684361 , 0.99554997]), 'Gelman-Rubin': 0.9999913554966552}",Yes,1.0047864895956777,"{'CI': array([0.98957341, 1.01762158]), 'Gelman-Rubin': 0.9999622916528951}",No
9,Cerebrovascular diseases|diseases of the circulatory system$M$41-60,diseases of the circulatory system,0.978479858409178,"{'CI': array([0.95775236, 0.99856284]), 'Gelman-Rubin': 1.0001813611290287}",Yes,1.010012845404083,"{'CI': array([0.98988339, 1.03028266]), 'Gelman-Rubin': 0.9998393377620124}",No
10,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified|diseases of the circulatory system$M$41-60",diseases of the circulatory system,1.0236760203767965,"{'CI': array([1.00274138, 1.04448227]), 'Gelman-Rubin': 1.0001731180970443}",Yes,0.9958176426176791,"{'CI': array([0.97620141, 1.01562624]), 'Gelman-Rubin': 0.9998091940758725}",No
11,Hypertensive diseases|diseases of the circulatory system$M$21-40,diseases of the circulatory system,0.9844014080280286,"{'CI': array([0.96997661, 0.99867212]), 'Gelman-Rubin': 0.9998614002630433}",Yes,0.9918311636084491,"{'CI': array([0.97751674, 1.00631832]), 'Gelman-Rubin': 0.9998924835223946}",No
12,Ischemic heart diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0137632229194744,"{'CI': array([1.00186542, 1.0270669 ]), 'Gelman-Rubin': 0.999802657249888}",Yes,0.9950447467686716,"{'CI': array([0.98190374, 1.00699741]), 'Gelman-Rubin': 0.9997564311205933}",No
13,Ischemic heart diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0097696030560002,"{'CI': array([1.00089195, 1.01884931]), 'Gelman-Rubin': 0.9997903687820215}",Yes,0.9945500499503793,"{'CI': array([0.98625108, 1.00402674]), 'Gelman-Rubin': 0.9998506341429236}",No
14,Other forms of heart disease|diseases of the circulatory system$M$11-20,diseases of the circulatory system,1.06504073408848,"{'CI': array([1.01464957, 1.11230519]), 'Gelman-Rubin': 0.9998125638065049}",Yes,0.9829092320609134,"{'CI': array([0.94086526, 1.0256814 ]), 'Gelman-Rubin': 1.0001238575638989}",No
15,"Diseases of oesophagus, stomach and duodenum|diseases of the digestive system$M$41-60",diseases of the digestive system,0.9800068216493261,"{'CI': array([0.96743586, 0.99279602]), 'Gelman-Rubin': 0.9998707136349432}",Yes,0.9943394351753732,"{'CI': array([0.98162903, 1.00745424]), 'Gelman-Rubin': 0.9999018522886999}",No
16,"Diseases of oesophagus, stomach and duodenum|diseases of the digestive system$M$61-",diseases of the digestive system,1.017698763293854,"{'CI': array([1.00049603, 1.03628535]), 'Gelman-Rubin': 0.9998133472774285}",Yes,0.9924335794264444,"{'CI': array([0.9757455 , 1.00798594]), 'Gelman-Rubin': 0.9997781185376915}",No
17,"Diseases of oral cavity, salivary glands and jaws|diseases of the digestive system$F$11-20",diseases of the digestive system,1.0612067308822426,"{'CI': array([1.01508509, 1.10894137]), 'Gelman-Rubin': 1.0000259951834751}",Yes,1.0067971650412542,"{'CI': array([0.96462644, 1.05221977]), 'Gelman-Rubin': 0.999787450790802}",No
18,"Disorders of gallbladder, biliary tract and pancreas|diseases of the digestive system$F$41-60",diseases of the digestive system,1.0335278895594937,"{'CI': array([1.01440699, 1.05217406]), 'Gelman-Rubin': 0.9998042464095872}",Yes,0.9845872469106869,"{'CI': array([0.96577805, 1.00300214]), 'Gelman-Rubin': 0.9999742344528907}",No
19,Noninfective enteritis and colitis|diseases of the digestive system$F$0-10,diseases of the digestive system,1.0317138089964868,"{'CI': array([1.00399375, 1.06291665]), 'Gelman-Rubin': 1.0002118543317484}",Yes,1.0243305583423579,"{'CI': array([0.99506737, 1.05388052]), 'Gelman-Rubin': 0.9998846528732787}",No
20,Noninfective enteritis and colitis|diseases of the digestive system$F$61-,diseases of the digestive system,1.0309925461631737,"{'CI': array([1.00848087, 1.05266873]), 'Gelman-Rubin': 0.9999013453075795}",Yes,0.983200690669771,"{'CI': array([0.96223988, 1.00394491]), 'Gelman-Rubin': 0.9998658392114179}",No
21,Noninfective enteritis and colitis|diseases of the digestive system$M$21-40,diseases of the digestive system,1.0222106274285658,"{'CI': array([1.00036118, 1.0468459 ]), 'Gelman-Rubin': 0.9998594849186103}",Yes,0.9814278329268235,"{'CI': array([0.95664526, 1.00563858]), 'Gelman-Rubin': 0.9999952533522598}",No
22,Other diseases of intestines|diseases of the digestive system$M$41-60,diseases of the digestive system,0.9875844808717533,"{'CI': array([0.97570211, 0.99967286]), 'Gelman-Rubin': 0.9998002830303326}",Yes,0.9892837546602729,"{'CI': array([0.9772023 , 1.00068261]), 'Gelman-Rubin': 0.9999374086894396}",No
23,Diseases of middle ear and mastoid|diseases of the ear and mastoid process$F$0-10,diseases of the ear and mastoid process,1.0106149990241624,"{'CI': array([1.00034797, 1.02156587]), 'Gelman-Rubin': 0.9998525329974083}",Yes,1.00239850978487,"{'CI': array([0.99067487, 1.01491957]), 'Gelman-Rubin': 0.9997659112055081}",No
24,Diseases of middle ear and mastoid|diseases of the ear and mastoid process$F$11-20,diseases of the ear and mastoid process,0.9698506173529196,"{'CI': array([0.94674547, 0.99584087]), 'Gelman-Rubin': 0.9997919459737367}",Yes,0.9997764057356185,"{'CI': array([0.97073369, 1.02798941]), 'Gelman-Rubin': 0.999799501165835}",No
25,Diseases of middle ear and mastoid|diseases of the ear and mastoid process$M$0-10,diseases of the ear and mastoid process,1.014068035267749,"{'CI': array([1.00431273, 1.02405972]), 'Gelman-Rubin': 1.000146824893537}",Yes,1.0001920238784854,"{'CI': array([0.98905034, 1.01179982]), 'Gelman-Rubin': 1.000038252764576}",No
26,Other disorders of ear|diseases of the ear and mastoid process$M$0-10,diseases of the ear and mastoid process,0.9689941787987937,"{'CI': array([0.94437912, 0.99090722]), 'Gelman-Rubin': 0.9998401297924696}",Yes,1.0092057528913994,"{'CI': array([0.98511888, 1.03270168]), 'Gelman-Rubin': 1.0002202097405992}",No
27,Disorders of choroid and retina|diseases of the eye and adnexa$F$61-,diseases of the eye and adnexa,1.0216699815255885,"{'CI': array([1.00427414, 1.03997191]), 'Gelman-Rubin': 0.9997918889653574}",Yes,0.994383339408524,"{'CI': array([0.97730507, 1.01177056]), 'Gelman-Rubin': 0.9997766535617764}",No
28,Disorders of conjunctiva|diseases of the eye and adnexa$F$11-20,diseases of the eye and adnexa,0.965424642520076,"{'CI': array([0.93430347, 0.99863526]), 'Gelman-Rubin': 0.9997731932996297}",Yes,0.9987707693336136,"{'CI': array([0.9643068, 1.0347417]), 'Gelman-Rubin': 0.9997769484473533}",No
29,Disorders of conjunctiva|diseases of the eye and adnexa$M$0-10,diseases of the eye and adnexa,0.96170506820575,"{'CI': array([0.93884762, 0.98305618]), 'Gelman-Rubin': 0.999831307607384}",Yes,0.9910853758588333,"{'CI': array([0.96178477, 1.02070141]), 'Gelman-Rubin': 0.9997953651510411}",No
30,"Disorders of ocular muscles, binocular movement, accommodation and refraction|diseases of the eye and adnexa$M$11-20",diseases of the eye and adnexa,1.0637551114293822,"{'CI': array([1.0130414, 1.1144699]), 'Gelman-Rubin': 0.9999457015487317}",Yes,1.0110171793329366,"{'CI': array([0.96676162, 1.05871819]), 'Gelman-Rubin': 0.9998063994189881}",No
31,Disorders of sclera and cornea|diseases of the eye and adnexa$F$61-,diseases of the eye and adnexa,1.0366690395842773,"{'CI': array([1.0047587 , 1.07097451]), 'Gelman-Rubin': 0.9997967194894296}",Yes,1.0188468173878813,"{'CI': array([0.98793864, 1.05115173]), 'Gelman-Rubin': 0.9999345320875882}",No
32,"Disorders of breast|diseases of the genitourinary system: pelvis, genitals and breasts$F$11-20","diseases of the genitourinary system: pelvis, genitals and breasts",1.0667145226090398,"{'CI': array([1.02118878, 1.12383917]), 'Gelman-Rubin': 0.999782253397949}",Yes,0.9805379278676141,"{'CI': array([0.93919421, 1.02128259]), 'Gelman-Rubin': 0.9998100776185427}",No
33,"Noninflammatory disorders of female genital tract|diseases of the genitourinary system: pelvis, genitals and breasts$F$11-20","diseases of the genitourinary system: pelvis, genitals and breasts",1.0285718378173205,"{'CI': array([1.00943337, 1.04705336]), 'Gelman-Rubin': 0.999818175233708}",Yes,1.0076257309432135,"{'CI': array([0.98751052, 1.02725551]), 'Gelman-Rubin': 0.9998924798135026}",No
34,Other disorders of kidney and ureter|diseases of the genitourinary system: urinary system$F$41-60,diseases of the genitourinary system: urinary system,0.9540695164283595,"{'CI': array([0.92450157, 0.98034279]), 'Gelman-Rubin': 1.0000923128748045}",Yes,1.0227844349764756,"{'CI': array([0.99545573, 1.05153664]), 'Gelman-Rubin': 0.9998659792624648}",No
35,Other disorders of kidney and ureter|diseases of the genitourinary system: urinary system$F$61-,diseases of the genitourinary system: urinary system,0.9257104222321609,"{'CI': array([0.90207239, 0.95130218]), 'Gelman-Rubin': 0.9998982544900002}",Yes,1.0063233248759111,"{'CI': array([0.98001701, 1.03287861]), 'Gelman-Rubin': 1.0000754330809083}",No
36,Other disorders of kidney and ureter|diseases of the genitourinary system: urinary system$M$41-60,diseases of the genitourinary system: urinary system,0.9597317412179831,"{'CI': array([0.9353646 , 0.98341194]), 'Gelman-Rubin': 0.999886486387262}",Yes,1.0098623279666037,"{'CI': array([0.9844701 , 1.03476722]), 'Gelman-Rubin': 0.9997745446562171}",No
