,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$41-60","bacterial infections, and other intestinal infectious diseases, and stds",0.9511397215915987,"{'CI': array([0.91719651, 0.98588223]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91185889, 0.99149498]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0012725677981698,"{'CI': array([0.96632536, 1.03705234]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96632536, 1.03705234]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$61-","bacterial infections, and other intestinal infectious diseases, and stds",0.9636730818932099,"{'CI': array([0.93441397, 0.99352115]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92980456, 0.99833325]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.992722760924474,"{'CI': array([0.96279338, 1.02326196]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96279338, 1.02326196]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9742472253720214,"{'CI': array([0.95980879, 0.98882722]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95752131, 0.99116341]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0062203761058444,"{'CI': array([0.99127041, 1.02132041]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99127041, 1.02132041]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9421433422492939,"{'CI': array([0.92790207, 0.95652371]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92564577, 0.95882787]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0153032375891777,"{'CI': array([1.00008824, 1.03067311]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99756093, 1.0332565 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9338075624561283,"{'CI': array([0.91917788, 0.94858448]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91686043, 0.95095259]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0158950071764745,"{'CI': array([1.00018054, 1.0317747 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99757075, 1.03444432]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9765747047071703,"{'CI': array([0.95883629, 0.99452711]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95602952, 0.9974075 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0155276455243816,"{'CI': array([0.99724762, 1.03403185]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99724762, 1.03403185]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9380007411167125,"{'CI': array([0.918496  , 0.95776773]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91541208, 0.96094188]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0161599073255234,"{'CI': array([0.99536002, 1.03725023]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99536002, 1.03725023]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,Cerebrovascular diseases|diseases of the circulatory system$F$21-40,diseases of the circulatory system,0.9356995329972095,"{'CI': array([0.88747057, 0.98556751]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.8799273 , 0.99367528]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9790433680245088,"{'CI': array([0.92855206, 1.03130401]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92855206, 1.03130401]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,Cerebrovascular diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,0.9731077019025006,"{'CI': array([0.9588891 , 0.98746351]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95663626, 0.98976356]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0000135561905428,"{'CI': array([0.98541632, 1.01475402]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98541632, 1.01475402]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,Cerebrovascular diseases|diseases of the circulatory system$M$41-60,diseases of the circulatory system,0.9687758254294082,"{'CI': array([0.94838511, 0.98945058]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94516198, 0.99277144]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0059597228158241,"{'CI': array([0.98460542, 1.02762154]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98460542, 1.02762154]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
10,Hypertensive diseases|diseases of the circulatory system$M$21-40,diseases of the circulatory system,0.9757216208856606,"{'CI': array([0.96168572, 0.98989123]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95946166, 0.99216128]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.986416838715122,"{'CI': array([0.97166487, 1.00131582]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97166487, 1.00131582]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
11,Ischemic heart diseases|diseases of the circulatory system$F$41-60,diseases of the circulatory system,0.9676662810132624,"{'CI': array([0.95140425, 0.98410852]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94882969, 0.98674508]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0130687349465426,"{'CI': array([0.99566059, 1.03068022]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99566059, 1.03068022]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
12,Other forms of heart disease|diseases of the circulatory system$M$11-20,diseases of the circulatory system,1.097173581661377,"{'CI': array([1.03399216, 1.16304283]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.02415396, 1.17380722]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9648352521598461,"{'CI': array([0.90851843, 1.02337362]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90851843, 1.02337362]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
13,"Diseases of oesophagus, stomach and duodenum|diseases of the digestive system$F$41-60",diseases of the digestive system,0.9792573823230066,"{'CI': array([0.96878459, 0.98980433]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96712285, 0.99149158]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0066273423292227,"{'CI': array([0.99601624, 1.01731382]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99601624, 1.01731382]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
14,"Diseases of oesophagus, stomach and duodenum|diseases of the digestive system$M$41-60",diseases of the digestive system,0.9712608961038018,"{'CI': array([0.95820463, 0.98443294]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95613504, 0.98654236]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9891322145532986,"{'CI': array([0.97580908, 1.00257508]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97580908, 1.00257508]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
15,"Diseases of oral cavity, salivary glands and jaws|diseases of the digestive system$F$11-20",diseases of the digestive system,1.0883281385537777,"{'CI': array([1.02760253, 1.15154004]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01813912, 1.16186009]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0072074650855283,"{'CI': array([0.94917651, 1.06756567]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94917651, 1.06756567]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
16,"Disorders of gallbladder, biliary tract and pancreas|diseases of the digestive system$F$41-60",diseases of the digestive system,1.0271651958750636,"{'CI': array([1.00682727, 1.04778016]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00361196, 1.05109079]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9783566963899157,"{'CI': array([0.95902224, 0.99794528]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95581595, 1.00124359]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
17,Diseases of middle ear and mastoid|diseases of the ear and mastoid process$F$11-20,diseases of the ear and mastoid process,0.9580537663586229,"{'CI': array([0.93142591, 0.98516983]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92722696, 0.98953679]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9947407333278168,"{'CI': array([0.96322831, 1.02692996]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96322831, 1.02692996]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
18,Other disorders of ear|diseases of the ear and mastoid process$M$0-10,diseases of the ear and mastoid process,0.9580386859312486,"{'CI': array([0.93511513, 0.98132341]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93149525, 0.98506756]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0055506496026334,"{'CI': array([0.9803287 , 1.03120287]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9803287 , 1.03120287]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
