,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$41-60","bacterial infections, and other intestinal infectious diseases, and stds",0.9511416091668058,"{'CI': array([0.91719901, 0.98588348]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91186148, 0.99149612]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0012725661379895,"{'CI': array([0.96632603, 1.03705164]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96632603, 1.03705164]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$61-","bacterial infections, and other intestinal infectious diseases, and stds",0.9636741341310217,"{'CI': array([0.93441541, 0.99352179]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92980606, 0.99833383]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9927230375721912,"{'CI': array([0.96279407, 1.0232618 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96279407, 1.0232618 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9742473974042413,"{'CI': array([0.95980901, 0.98882735]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95752154, 0.99116353]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0062203413540058,"{'CI': array([0.99127043, 1.02132032]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99127043, 1.02132032]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9421437446751171,"{'CI': array([0.92790252, 0.95652407]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92564623, 0.95882821]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0153031460000288,"{'CI': array([1.00008821, 1.03067296]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9975609 , 1.03325634]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.933808053447602,"{'CI': array([0.91917842, 0.94858492]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91686098, 0.95095302]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0158949056845974,"{'CI': array([1.0001805 , 1.03177453]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99757072, 1.03444414]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9765749403709444,"{'CI': array([0.95883661, 0.99452725]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95602986, 0.99740763]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0155274991539942,"{'CI': array([0.99724756, 1.0340316 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99724756, 1.0340316 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9380015552283121,"{'CI': array([0.91849693, 0.95776842]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91541303, 0.96094256]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0161597248923495,"{'CI': array([0.99535998, 1.03724991]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99535998, 1.03724991]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,Cerebrovascular diseases|diseases of the circulatory system$F$21-40,diseases of the circulatory system,0.9357046921950595,"{'CI': array([0.88747748, 0.9855708 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.87993447, 0.99367826]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9790452669195815,"{'CI': array([0.92855597, 1.03130375]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92855597, 1.03130375]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,Cerebrovascular diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,0.9731078837597479,"{'CI': array([0.95888933, 0.98746365]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95663649, 0.98976369]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0000135717675989,"{'CI': array([0.98541638, 1.01475398]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98541638, 1.01475398]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,Cerebrovascular diseases|diseases of the circulatory system$M$41-60,diseases of the circulatory system,0.9687762456475821,"{'CI': array([0.94838566, 0.98945087]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94516255, 0.99277171]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0059596559559865,"{'CI': array([0.98460551, 1.02762132]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98460551, 1.02762132]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
