,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0102021317069245,"{'CI': array([0.93782833, 1.09887679]), 'Gelman-Rubin': 0.9999146877665708}",No,0.993849910555561,"{'CI': array([0.92263519, 1.06373264]), 'Gelman-Rubin': 0.9997917896168688}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",0.9728403291651723,"{'CI': array([0.89771749, 1.04992039]), 'Gelman-Rubin': 0.999864992760393}",No,1.0041072262682869,"{'CI': array([0.93741813, 1.07441062]), 'Gelman-Rubin': 0.999795776200278}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.001855217627664,"{'CI': array([0.95399186, 1.05882036]), 'Gelman-Rubin': 0.9999190971321064}",No,0.9968511494760229,"{'CI': array([0.95257353, 1.04741541]), 'Gelman-Rubin': 0.9999895752986131}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9916291334711617,"{'CI': array([0.96279824, 1.01775237]), 'Gelman-Rubin': 0.9998928301190431}",No,0.9894689948286594,"{'CI': array([0.96303985, 1.01704837]), 'Gelman-Rubin': 0.9998820499261996}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0103094531002792,"{'CI': array([0.97829176, 1.04140888]), 'Gelman-Rubin': 0.999768700456123}",No,1.0072183025383241,"{'CI': array([0.97608122, 1.03840299]), 'Gelman-Rubin': 0.9999353823481677}",No
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0086210224389018,"{'CI': array([0.93095985, 1.08980857]), 'Gelman-Rubin': 0.9998006437644404}",No,0.999647226256661,"{'CI': array([0.92472112, 1.07136214]), 'Gelman-Rubin': 0.9999400937437386}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",0.9937240235682382,"{'CI': array([0.9229653, 1.0716325]), 'Gelman-Rubin': 0.9997717281520583}",No,0.9954392334683876,"{'CI': array([0.93275787, 1.06963243]), 'Gelman-Rubin': 0.9998070683818523}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9900535772221203,"{'CI': array([0.9322541 , 1.05082358]), 'Gelman-Rubin': 0.9998656094426454}",No,0.9991617914365598,"{'CI': array([0.94201796, 1.0537723 ]), 'Gelman-Rubin': 0.999832286218818}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9974586117830997,"{'CI': array([0.95753418, 1.04134776]), 'Gelman-Rubin': 0.9998194981101255}",No,0.9797735918569057,"{'CI': array([0.94124254, 1.01963931]), 'Gelman-Rubin': 0.9997953769049662}",No
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0493888345464912,"{'CI': array([1.0119294 , 1.09023587]), 'Gelman-Rubin': 0.9999215508530758}",Yes,0.9732942932593908,"{'CI': array([0.93881058, 1.01058827]), 'Gelman-Rubin': 0.9998331747735174}",No
