,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0629803318577196,"{'CI': array([0.88395203, 1.26573126]), 'Error Bound': 1.1144435149027002e-215, 'Reliable CI?': 'Yes'}","{'CI': array([0.88395203, 1.26573126]), 'Error Bound': 1.1144435149027002e-215, 'Reliable CI?': 'Yes'}",No,0.9541572342418692,"{'CI': array([0.77392962, 1.15942138]), 'Error Bound': 3.7900207292091956e-184, 'Reliable CI?': 'Yes'}","{'CI': array([0.77392962, 1.15942138]), 'Error Bound': 3.7900207292091956e-184, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",0.9107004120338947,"{'CI': array([0.77524713, 1.0600572 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.77524713, 1.0600572 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0194149984726568,"{'CI': array([0.86366676, 1.19306164]), 'Error Bound': 7.524699930769183e-273, 'Reliable CI?': 'Yes'}","{'CI': array([0.86366676, 1.19306164]), 'Error Bound': 7.524699930769183e-273, 'Reliable CI?': 'Yes'}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0124388580014474,"{'CI': array([0.95092258, 1.07657504]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95092258, 1.07657504]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9905429837136449,"{'CI': array([0.92894131, 1.05478786]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92894131, 1.05478786]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0002083032536673,"{'CI': array([0.97132862, 1.02965498]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97132862, 1.02965498]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9834506649001229,"{'CI': array([0.95573307, 1.01169263]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95573307, 1.01169263]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0216772576218165,"{'CI': array([0.98659386, 1.05759442]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98659386, 1.05759442]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0037749291522293,"{'CI': array([0.97013735, 1.03818225]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97013735, 1.03818225]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.045234485854397,"{'CI': array([0.89087585, 1.21702514]), 'Error Bound': 5.432255398955442e-287, 'Reliable CI?': 'Yes'}","{'CI': array([0.89087585, 1.21702514]), 'Error Bound': 5.432255398955442e-287, 'Reliable CI?': 'Yes'}",No,0.9946671599136533,"{'CI': array([0.83557579, 1.17266316]), 'Error Bound': 2.01663683725337e-252, 'Reliable CI?': 'Yes'}","{'CI': array([0.83557579, 1.17266316]), 'Error Bound': 2.01663683725337e-252, 'Reliable CI?': 'Yes'}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",0.9877111876115474,"{'CI': array([0.84074103, 1.15072227]), 'Error Bound': 1.3817222440748859e-294, 'Reliable CI?': 'Yes'}","{'CI': array([0.84074103, 1.15072227]), 'Error Bound': 1.3817222440748859e-294, 'Reliable CI?': 'Yes'}",No,0.9742642354495334,"{'CI': array([0.82433545, 1.14098556]), 'Error Bound': 7.557138302442112e-278, 'Reliable CI?': 'Yes'}","{'CI': array([0.82433545, 1.14098556]), 'Error Bound': 7.557138302442112e-278, 'Reliable CI?': 'Yes'}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9912520750289396,"{'CI': array([0.90874357, 1.07857913]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90874357, 1.07857913]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9939923355267387,"{'CI': array([0.90838621, 1.08478317]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90838621, 1.08478317]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.006450997748699,"{'CI': array([0.95997484, 1.05441017]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95997484, 1.05441017]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9675899501510268,"{'CI': array([0.92155116, 1.01510175]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92155116, 1.01510175]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0713768923626448,"{'CI': array([1.02608413, 1.11804564]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01779161, 1.1268989 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9604749645571722,"{'CI': array([0.91856747, 1.00360186]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91856747, 1.00360186]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
10,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0276618030501676,"{'CI': array([0.86796293, 1.2061984 ]), 'Error Bound': 1.51995351830538e-261, 'Reliable CI?': 'Yes'}","{'CI': array([0.86796293, 1.2061984 ]), 'Error Bound': 1.51995351830538e-261, 'Reliable CI?': 'Yes'}",No,1.0641479146692554,"{'CI': array([0.88761138, 1.26365266]), 'Error Bound': 7.586264056288681e-223, 'Reliable CI?': 'Yes'}","{'CI': array([0.88761138, 1.26365266]), 'Error Bound': 7.586264056288681e-223, 'Reliable CI?': 'Yes'}",No
11,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0336600891476497,"{'CI': array([0.96926942, 1.10090595]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96926942, 1.10090595]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.994585838204614,"{'CI': array([0.93054251, 1.06148696]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93054251, 1.06148696]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
12,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9973438665215325,"{'CI': array([0.96048316, 1.03513419]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96048316, 1.03513419]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0092519512340679,"{'CI': array([0.9724439 , 1.04698235]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9724439 , 1.04698235]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
13,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.048864610874672,"{'CI': array([0.99913443, 1.10027123]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99913443, 1.10027123]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.972588574432553,"{'CI': array([0.92761208, 1.01896685]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92761208, 1.01896685]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
14,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0177698745296777,"{'CI': array([0.94861148, 1.09025114]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94861148, 1.09025114]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9877929140706363,"{'CI': array([0.91708204, 1.06201201]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91708204, 1.06201201]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
