,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0629148912357196,"{'CI': array([0.8839803 , 1.26554621]), 'Error Bound': 6.753703000052437e-216, 'Reliable CI?': 'Yes'}","{'CI': array([0.8839803 , 1.26554621]), 'Error Bound': 6.753703000052437e-216, 'Reliable CI?': 'Yes'}",No,0.9542125971239982,"{'CI': array([0.77408037, 1.15935249]), 'Error Bound': 2.296739902838962e-184, 'Reliable CI?': 'Yes'}","{'CI': array([0.77408037, 1.15935249]), 'Error Bound': 2.296739902838962e-184, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",0.9107626583768984,"{'CI': array([0.77534888, 1.06007108]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.77534888, 1.06007108]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0194005037597864,"{'CI': array([0.86371342, 1.19297123]), 'Error Bound': 4.560581407229923e-273, 'Reliable CI?': 'Yes'}","{'CI': array([0.86371342, 1.19297123]), 'Error Bound': 4.560581407229923e-273, 'Reliable CI?': 'Yes'}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0124373393675286,"{'CI': array([0.95092473, 1.07656954]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95092473, 1.07656954]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9905443936114626,"{'CI': array([0.92894639, 1.05478528]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92894639, 1.05478528]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0002082913658652,"{'CI': array([0.97132898, 1.02965458]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97132898, 1.02965458]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.983451100395164,"{'CI': array([0.95573384, 1.01169272]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95573384, 1.01169272]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0216764590993057,"{'CI': array([0.98659374, 1.05759291]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98659374, 1.05759291]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0037748575230534,"{'CI': array([0.97013788, 1.03818155]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97013788, 1.03818155]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0451989365595915,"{'CI': array([0.89090001, 1.21691587]), 'Error Bound': 3.2921462769197285e-287, 'Reliable CI?': 'Yes'}","{'CI': array([0.89090001, 1.21691587]), 'Error Bound': 3.2921462769197285e-287, 'Reliable CI?': 'Yes'}",No,0.9946722466090673,"{'CI': array([0.83564626, 1.17258637]), 'Error Bound': 1.2221657236881158e-252, 'Reliable CI?': 'Yes'}","{'CI': array([0.83564626, 1.17258637]), 'Error Bound': 1.2221657236881158e-252, 'Reliable CI?': 'Yes'}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",0.9877200763234427,"{'CI': array([0.84080133, 1.15066787]), 'Error Bound': 8.374569011676493e-295, 'Reliable CI?': 'Yes'}","{'CI': array([0.84080133, 1.15066787]), 'Error Bound': 8.374569011676493e-295, 'Reliable CI?': 'Yes'}",No,0.9742856900369756,"{'CI': array([0.82441128, 1.14093964]), 'Error Bound': 4.580308261772133e-278, 'Reliable CI?': 'Yes'}","{'CI': array([0.82441128, 1.14093964]), 'Error Bound': 4.580308261772133e-278, 'Reliable CI?': 'Yes'}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9912539580042316,"{'CI': array([0.90875436, 1.07857103]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90875436, 1.07857103]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9939942749097098,"{'CI': array([0.90839806, 1.08477396]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90839806, 1.08477396]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0064505429423272,"{'CI': array([0.95997596, 1.05440803]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95997596, 1.05440803]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9675923111533459,"{'CI': array([0.92155504, 1.01510249]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92155504, 1.01510249]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0713726911362598,"{'CI': array([1.02608138, 1.11803989]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01778912, 1.12689286]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9604773952845761,"{'CI': array([0.91857105, 1.00360307]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91857105, 1.00360307]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
