,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Autumn Significant?
0,Hypertensive diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0353215639179727,"{'CI': array([1.02179116, 1.04805486]), 'Gelman-Rubin': 0.9998743442019966}",Yes,0.9846322260965932,"{'CI': array([0.97213382, 0.99739955]), 'Gelman-Rubin': 1.000031145197216}",Yes
1,Hypertensive diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0346423523998087,"{'CI': array([1.0207323 , 1.04988549]), 'Gelman-Rubin': 1.000026398577096}",Yes,0.9799030736660327,"{'CI': array([0.96594694, 0.9937845 ]), 'Gelman-Rubin': 0.9999559171398987}",Yes
2,Other forms of heart disease|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0217762876427892,"{'CI': array([1.00811355, 1.03709941]), 'Gelman-Rubin': 0.9998562918708227}",Yes,0.9787971527843399,"{'CI': array([0.96370163, 0.99272755]), 'Gelman-Rubin': 1.0001298304255448}",Yes
3,Glaucoma|diseases of the eye and adnexa$F$61-,diseases of the eye and adnexa,1.1031748043974274,"{'CI': array([1.07083269, 1.13418791]), 'Gelman-Rubin': 0.9998759369489421}",Yes,0.969587904028827,"{'CI': array([0.94527409, 0.99603786]), 'Gelman-Rubin': 0.9998957676154911}",Yes
4,"Diseases of male genital organs|diseases of the genitourinary system: pelvis, genitals and breasts$M$61-","diseases of the genitourinary system: pelvis, genitals and breasts",1.0389356908344878,"{'CI': array([1.01091295, 1.06521306]), 'Gelman-Rubin': 0.9998614442027737}",Yes,0.9721877397859625,"{'CI': array([0.95175391, 0.99674218]), 'Gelman-Rubin': 0.9998877787081459}",Yes
5,Renal failure|diseases of the genitourinary system: urinary system$F$41-60,diseases of the genitourinary system: urinary system,0.8870546214744841,"{'CI': array([0.85411816, 0.92204895]), 'Gelman-Rubin': 0.9997721013510714}",Yes,1.0874887501121158,"{'CI': array([1.04837926, 1.13223535]), 'Gelman-Rubin': 0.9998091975309089}",Yes
6,Renal failure|diseases of the genitourinary system: urinary system$F$61-,diseases of the genitourinary system: urinary system,0.8513813957310398,"{'CI': array([0.82824768, 0.87444797]), 'Gelman-Rubin': 1.00015464735689}",Yes,1.073911669714636,"{'CI': array([1.04722639, 1.10138987]), 'Gelman-Rubin': 0.9998558193706693}",Yes
7,Renal failure|diseases of the genitourinary system: urinary system$M$41-60,diseases of the genitourinary system: urinary system,0.8852729695868784,"{'CI': array([0.85431551, 0.91584527]), 'Gelman-Rubin': 0.9998555573330199}",Yes,1.06619056784819,"{'CI': array([1.02986568, 1.10134696]), 'Gelman-Rubin': 0.9998749780749563}",Yes
8,Renal failure|diseases of the genitourinary system: urinary system$M$61-,diseases of the genitourinary system: urinary system,0.8524913869264595,"{'CI': array([0.83243575, 0.87480522]), 'Gelman-Rubin': 0.9997932357365373}",Yes,1.0950331845551404,"{'CI': array([1.07007129, 1.12130399]), 'Gelman-Rubin': 1.0002338932450485}",Yes
9,Episodic and paroxysmal disorders|diseases of the nervous system$M$41-60,diseases of the nervous system,0.9595971568250257,"{'CI': array([0.94067586, 0.97998055]), 'Gelman-Rubin': 0.9999474052115661}",Yes,0.9605868975196218,"{'CI': array([0.94191191, 0.97944671]), 'Gelman-Rubin': 1.000057982691819}",Yes
10,Persons encountering health services for examination and investigation|external causes of morbidity and mortality$F$11-20,external causes of morbidity and mortality,0.9578156967316971,"{'CI': array([0.93849962, 0.98088244]), 'Gelman-Rubin': 0.9997670883198636}",Yes,1.0709981413108693,"{'CI': array([1.05098509, 1.09203876]), 'Gelman-Rubin': 0.9997920916123967}",Yes
11,Persons encountering health services for examination and investigation|external causes of morbidity and mortality$M$11-20,external causes of morbidity and mortality,0.9395793075232282,"{'CI': array([0.91611537, 0.96352674]), 'Gelman-Rubin': 0.9999330819206095}",Yes,1.1111281586365098,"{'CI': array([1.08632279, 1.13624592]), 'Gelman-Rubin': 0.9999284315254408}",Yes
12,Persons encountering health services for specific procedures and health care|external causes of morbidity and mortality$F$61-,external causes of morbidity and mortality,0.9303215368613464,"{'CI': array([0.90878225, 0.95070412]), 'Gelman-Rubin': 0.9998445853462447}",Yes,1.0614458106433147,"{'CI': array([1.03843885, 1.08269205]), 'Gelman-Rubin': 1.0000411321105613}",Yes
13,Persons encountering health services for specific procedures and health care|external causes of morbidity and mortality$M$61-,external causes of morbidity and mortality,0.9457174942017783,"{'CI': array([0.92385385, 0.96842398]), 'Gelman-Rubin': 0.9997941935352025}",Yes,1.0512760948779176,"{'CI': array([1.02850207, 1.07331181]), 'Gelman-Rubin': 0.9998105515444389}",Yes
14,Persons with potential health hazards related to communicable diseases|external causes of morbidity and mortality$F$11-20,external causes of morbidity and mortality,0.9399218275943926,"{'CI': array([0.91116201, 0.96974594]), 'Gelman-Rubin': 1.0002099896852696}",Yes,1.0987817742254793,"{'CI': array([1.07250197, 1.12428492]), 'Gelman-Rubin': 0.9998961919470294}",Yes
