,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",0.9263709277699097,"{'CI': array([0.87185957, 0.98299078]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.86192106, 0.99378914]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0757936767342173,"{'CI': array([1.01452725, 1.13959923]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00193426, 1.15337499]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
1,Hypertensive diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0459382569562408,"{'CI': array([1.03244284, 1.05955435]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.02994259, 1.06210374]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9794987160485681,"{'CI': array([0.96665136, 0.99245767]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96396247, 0.99519846]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
2,Hypertensive diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.045428657796368,"{'CI': array([1.03083397, 1.0601646 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.0281312 , 1.06292488]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.974532588385539,"{'CI': array([0.9606524 , 0.98854333]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95774856, 0.99150789]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
3,Other forms of heart disease|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0321443494776428,"{'CI': array([1.01729565, 1.04713991]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01454617, 1.04994919]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9733944600666611,"{'CI': array([0.95903703, 0.98789167]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95603393, 0.99095978]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
4,Glaucoma|diseases of the eye and adnexa$F$61-,diseases of the eye and adnexa,1.126552500503658,"{'CI': array([1.09325933, 1.16057008]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.08713547, 1.16698902]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9608494234572537,"{'CI': array([0.93283864, 0.98939973]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92701151, 0.99547786]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
5,"Diseases of male genital organs|diseases of the genitourinary system: pelvis, genitals and breasts$M$61-","diseases of the genitourinary system: pelvis, genitals and breasts",1.0521925672518726,"{'CI': array([1.02535324, 1.07951224]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.02040588, 1.08465525]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9647670372587095,"{'CI': array([0.94045473, 0.98948417]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93538956, 0.99473765]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
6,Renal failure|diseases of the genitourinary system: urinary system$F$21-40,diseases of the genitourinary system: urinary system,0.8747092217862819,"{'CI': array([0.79412727, 0.96007769]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.77958087, 0.97658046]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.1463684924789626,"{'CI': array([1.04237535, 1.25771265]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.02130847, 1.28221398]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
7,Renal failure|diseases of the genitourinary system: urinary system$F$41-60,diseases of the genitourinary system: urinary system,0.872013939736669,"{'CI': array([0.83411642, 0.91093876]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.82716506, 0.91830874]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.111688379311876,"{'CI': array([1.06460768, 1.16023724]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.05487803, 1.17065028]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
8,Renal failure|diseases of the genitourinary system: urinary system$F$61-,diseases of the genitourinary system: urinary system,0.846149917549108,"{'CI': array([0.82145244, 0.87128315]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.81689903, 0.87601404]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0792615974582034,"{'CI': array([1.04900068, 1.11012862]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.04270835, 1.11670292]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
9,Renal failure|diseases of the genitourinary system: urinary system$M$41-60,diseases of the genitourinary system: urinary system,0.8763068433602903,"{'CI': array([0.84366541, 0.90970632]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.83766572, 0.91601484]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0772272697594307,"{'CI': array([1.03768644, 1.11781032]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.02949334, 1.12648842]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
