,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",0.9263787209378035,"{'CI': array([0.87186988, 0.98299585]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.86193183, 0.99379368]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0757856108807249,"{'CI': array([1.01452277, 1.13958727]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00193051, 1.15336218]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
1,Hypertensive diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0459380103771903,"{'CI': array([1.03244264, 1.05955406]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.02994239, 1.06210344]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9794988351926676,"{'CI': array([0.96665151, 0.99245775]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96396263, 0.99519854]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
2,Hypertensive diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0454283728724296,"{'CI': array([1.03083374, 1.06016426]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.02813097, 1.06292454]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9745327605222858,"{'CI': array([0.96065261, 0.98854346]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95774878, 0.991508  ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
3,Other forms of heart disease|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0321441385771903,"{'CI': array([1.01729549, 1.04713964]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01454602, 1.04994891]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.973394652061086,"{'CI': array([0.95903727, 0.98789181]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95603418, 0.99095991]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
4,Glaucoma|diseases of the eye and adnexa$F$61-,diseases of the eye and adnexa,1.126548747001936,"{'CI': array([1.09325614, 1.16056573]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.08713239, 1.16698456]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9608504879986829,"{'CI': array([0.93284005, 0.98940044]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92701299, 0.99547849]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
5,"Diseases of male genital organs|diseases of the genitourinary system: pelvis, genitals and breasts$M$61-","diseases of the genitourinary system: pelvis, genitals and breasts",1.052191474306438,"{'CI': array([1.02535245, 1.07951083]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.02040515, 1.08465378]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9647677604530024,"{'CI': array([0.94045568, 0.98948466]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93539056, 0.99473809]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
6,Renal failure|diseases of the genitourinary system: urinary system$F$21-40,diseases of the genitourinary system: urinary system,0.8747407291364814,"{'CI': array([0.79416682, 0.96010012]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.77962182, 0.97660106]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.1463258785788788,"{'CI': array([1.04235022, 1.25765011]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.02128676, 1.28214686]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
7,Renal failure|diseases of the genitourinary system: urinary system$F$41-60,diseases of the genitourinary system: urinary system,0.8720208920005588,"{'CI': array([0.8341242 , 0.91094484]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.82717299, 0.91831465]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.111681633982869,"{'CI': array([1.06460254, 1.16022879]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.05487322, 1.17064145]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
8,Renal failure|diseases of the genitourinary system: urinary system$F$61-,diseases of the genitourinary system: urinary system,0.8461536042880188,"{'CI': array([0.82145635, 0.8712866 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.81690299, 0.87601744]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.079259579764108,"{'CI': array([1.04899909, 1.11012616]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.04270685, 1.11670036]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
9,Renal failure|diseases of the genitourinary system: urinary system$M$41-60,diseases of the genitourinary system: urinary system,0.8763117807681807,"{'CI': array([0.84367087, 0.9097107 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.83767128, 0.91601911]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0772238688351676,"{'CI': array([1.037684  , 1.11780591]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.0294911 , 1.12648379]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
