,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0493888345464912,"{'CI': array([1.0119294 , 1.09023587]), 'Gelman-Rubin': 0.9999215508530758}",Yes,0.9732942932593908,"{'CI': array([0.93881058, 1.01058827]), 'Gelman-Rubin': 0.9998331747735174}",No
1,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",0.9414838348678076,"{'CI': array([0.89704661, 0.99109935]), 'Gelman-Rubin': 0.9997633174226922}",Yes,1.0507959545030423,"{'CI': array([0.99794849, 1.09567831]), 'Gelman-Rubin': 0.9997991318995298}",No
2,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$61-","bacterial infections, and other intestinal infectious diseases, and stds",0.9488899462858493,"{'CI': array([0.90582378, 0.99389322]), 'Gelman-Rubin': 0.9999627335713304}",Yes,1.0023263361348138,"{'CI': array([0.9573363 , 1.05683292]), 'Gelman-Rubin': 0.9999802300929594}",No
3,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9664379243495668,"{'CI': array([0.93530051, 0.99947853]), 'Gelman-Rubin': 0.9998871033177453}",Yes,0.9959111856776451,"{'CI': array([0.96413719, 1.02945181]), 'Gelman-Rubin': 0.9999387023733213}",No
4,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9247394755316641,"{'CI': array([0.89889154, 0.95250291]), 'Gelman-Rubin': 0.9998282850439538}",Yes,1.0233604645944343,"{'CI': array([0.99585603, 1.05308395]), 'Gelman-Rubin': 0.9998743615978126}",No
5,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9599932699399144,"{'CI': array([0.92093058, 0.99711475]), 'Gelman-Rubin': 1.0000132516001452}",Yes,1.0266083201816172,"{'CI': array([0.98496708, 1.06530932]), 'Gelman-Rubin': 0.9997891579965931}",No
6,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9140695431128475,"{'CI': array([0.88624197, 0.94057687]), 'Gelman-Rubin': 0.999928760938468}",Yes,1.0297870715755084,"{'CI': array([0.99797655, 1.06162005]), 'Gelman-Rubin': 0.9999864436939497}",No
7,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9637990835359039,"{'CI': array([0.92728094, 0.99842919]), 'Gelman-Rubin': 0.9997744139361256}",Yes,1.0091132021653357,"{'CI': array([0.97007355, 1.04979144]), 'Gelman-Rubin': 0.9997690505711411}",No
8,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9057378339917694,"{'CI': array([0.86784832, 0.94354611]), 'Gelman-Rubin': 0.999855449140999}",Yes,1.0174617121080796,"{'CI': array([0.9778248 , 1.05643289]), 'Gelman-Rubin': 0.9998052698494356}",No
9,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9307505789743944,"{'CI': array([0.88348589, 0.98218843]), 'Gelman-Rubin': 0.999770417568037}",Yes,1.039458294617541,"{'CI': array([0.98841391, 1.0959095 ]), 'Gelman-Rubin': 0.999835856879818}",No
10,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.8694872405244177,"{'CI': array([0.83328156, 0.90568046]), 'Gelman-Rubin': 0.999823333472558}",Yes,1.0346472867363035,"{'CI': array([0.99172856, 1.07229892]), 'Gelman-Rubin': 0.9998365604950921}",No
