,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0713768923626448,"{'CI': array([1.02608413, 1.11804564]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01779161, 1.1268989 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9604749645571722,"{'CI': array([0.91856747, 1.00360186]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91856747, 1.00360186]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$11-20","bacterial infections, and other intestinal infectious diseases, and stds",1.4310791091658346,"{'CI': array([1.12016591, 1.81082896]), 'Error Bound': 1.4368640976244683e-102, 'Reliable CI?': 'Yes'}","{'CI': array([1.06746473, 1.8925153 ]), 'Error Bound': 1.4368640976244683e-102, 'Reliable CI?': 'Yes'}",Yes,0.9182646111974101,"{'CI': array([0.69471737, 1.18221201]), 'Error Bound': 1.0404388159081288e-111, 'Reliable CI?': 'Yes'}","{'CI': array([0.69471737, 1.18221201]), 'Error Bound': 1.0404388159081288e-111, 'Reliable CI?': 'Yes'}",No
2,Haemorrhagic and haematological disorders of fetus and newborn|certain conditions originating in the perinatal period$M$0-10,certain conditions originating in the perinatal period,1.1399719023986068,"{'CI': array([1.02831175, 1.26019012]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00832757, 1.28367721]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.073041636861009,"{'CI': array([0.96068978, 1.19425473]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96068978, 1.19425473]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9253022357600942,"{'CI': array([0.89662243, 0.95455529]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89134173, 0.96006948]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0223375888973625,"{'CI': array([0.99072211, 1.05462786]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99072211, 1.05462786]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9131908442332808,"{'CI': array([0.88462039, 0.94233246]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.87935982, 0.94782568]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0299324764646516,"{'CI': array([0.99778661, 1.06277438]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99778661, 1.06277438]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.8929038480801555,"{'CI': array([0.85306417, 0.9338712 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.84576129, 0.94163363]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0183856574400174,"{'CI': array([0.97380494, 1.06432174]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97380494, 1.06432174]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9070332756761281,"{'CI': array([0.84896581, 0.96751724]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.83839438, 0.97907442]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0637408461558806,"{'CI': array([0.99610264, 1.13450098]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99610264, 1.13450098]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.8454584344059662,"{'CI': array([0.80483809, 0.8872716 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.79739601, 0.89519982]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0434066711150232,"{'CI': array([0.99387967, 1.09459779]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99387967, 1.09459779]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"Diseases of arteries, arterioles and capillaries|diseases of the circulatory system$F$61-",diseases of the circulatory system,1.0421416693837278,"{'CI': array([1.00705479, 1.07805676]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00060736, 1.0848416 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0032749702809296,"{'CI': array([0.96857284, 1.03879708]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96857284, 1.03879708]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,Hypertensive diseases|diseases of the circulatory system$M$41-60,diseases of the circulatory system,1.0262448102185442,"{'CI': array([1.01069907, 1.04195197]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00782133, 1.04489544]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9831160795244568,"{'CI': array([0.96768944, 0.99870379]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96446403, 1.00200413]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
