,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0713726911362598,"{'CI': array([1.02608138, 1.11803989]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01778912, 1.12689286]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9604773952845761,"{'CI': array([0.91857105, 1.00360307]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91857105, 1.00360307]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$11-20","bacterial infections, and other intestinal infectious diseases, and stds",1.430145287376399,"{'CI': array([1.11968032, 1.80924949]), 'Error Bound': 8.70459612903595e-103, 'Reliable CI?': 'Yes'}","{'CI': array([1.06704971, 1.89077999]), 'Error Bound': 8.70459612903595e-103, 'Reliable CI?': 'Yes'}",Yes,0.9184296864428145,"{'CI': array([0.6950652 , 1.18211964]), 'Error Bound': 6.303512954277522e-112, 'Reliable CI?': 'Yes'}","{'CI': array([0.6950652 , 1.18211964]), 'Error Bound': 6.303512954277522e-112, 'Reliable CI?': 'Yes'}",No
2,Haemorrhagic and haematological disorders of fetus and newborn|certain conditions originating in the perinatal period$M$0-10,certain conditions originating in the perinatal period,1.139923093101231,"{'CI': array([1.02828481, 1.2601161 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00830441, 1.28359804]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0730140981794303,"{'CI': array([0.96068479, 1.19420103]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96068479, 1.19420103]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9253043950765422,"{'CI': array([0.89662496, 0.95455706]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89134433, 0.96007119]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0223369595883434,"{'CI': array([0.99072198, 1.05462672]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99072198, 1.05462672]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9131933793076612,"{'CI': array([0.88462328, 0.94233462]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.87936278, 0.94782777]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0299315975780372,"{'CI': array([0.99778626, 1.06277296]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99778626, 1.06277296]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.8929101327131103,"{'CI': array([0.85307143, 0.93387645]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.84576872, 0.94163868]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0183846347160472,"{'CI': array([0.97380531, 1.06431925]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97380531, 1.06431925]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9070446744617494,"{'CI': array([0.84898025, 0.96752534]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.83840935, 0.97908187]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0637323760531132,"{'CI': array([0.99609902, 1.13448722]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99609902, 1.13448722]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,Nutritional anemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.8454685570250811,"{'CI': array([0.80484921, 0.88728066]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.79740731, 0.89520868]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0434036102183564,"{'CI': array([0.99387851, 1.0945927 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99387851, 1.0945927 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"Diseases of arteries, arterioles and capillaries|diseases of the circulatory system$F$61-",diseases of the circulatory system,1.0421401388903657,"{'CI': array([1.00705394, 1.07805452]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00060663, 1.08483922]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0032749128938832,"{'CI': array([0.96857344, 1.03879633]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96857344, 1.03879633]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,Hypertensive diseases|diseases of the circulatory system$M$41-60,diseases of the circulatory system,1.0262446163174377,"{'CI': array([1.01069894, 1.04195171]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00782121, 1.04489517]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9831162171364627,"{'CI': array([0.96768964, 0.99870387]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96446423, 1.00200419]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
