,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9870071700949133,"{'CI': array([0.91700996, 1.06543153]), 'Gelman-Rubin': 0.9999205479434534}",No,0.967159548902722,"{'CI': array([0.90381687, 1.03616849]), 'Gelman-Rubin': 0.9998905849235067}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0028567613694002,"{'CI': array([0.91696295, 1.0945002 ]), 'Gelman-Rubin': 1.0000446232724791}",No,0.973582898136638,"{'CI': array([0.89782147, 1.0544103 ]), 'Gelman-Rubin': 0.999784821300284}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0135672334721055,"{'CI': array([0.95980089, 1.06925317]), 'Gelman-Rubin': 0.9999749535189607}",No,1.018819889646642,"{'CI': array([0.96542598, 1.07973718]), 'Gelman-Rubin': 0.9998010838014124}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9888376618722141,"{'CI': array([0.95616303, 1.01983387]), 'Gelman-Rubin': 0.9999408765220419}",No,0.9923798918933128,"{'CI': array([0.95890932, 1.02179119]), 'Gelman-Rubin': 0.9997987475343887}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.02570611039381,"{'CI': array([0.9991238 , 1.05243727]), 'Gelman-Rubin': 1.000106693761508}",No,0.9688067991103526,"{'CI': array([0.94017049, 0.99530218]), 'Gelman-Rubin': 1.0001199750184944}",Yes
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0153288037493178,"{'CI': array([0.94546636, 1.08481852]), 'Gelman-Rubin': 0.9998821503603214}",No,0.984206622613249,"{'CI': array([0.92234973, 1.04898738]), 'Gelman-Rubin': 0.9998219869245554}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0606224772060238,"{'CI': array([0.96941553, 1.14739755]), 'Gelman-Rubin': 0.9999545817635203}",No,1.017541037879188,"{'CI': array([0.94075617, 1.09136093]), 'Gelman-Rubin': 0.9998988733512586}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0189065603000256,"{'CI': array([0.96222399, 1.07753899]), 'Gelman-Rubin': 0.9999329073130441}",No,1.0383922108975918,"{'CI': array([0.98308404, 1.0961802 ]), 'Gelman-Rubin': 0.9998136610239957}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0088466637542473,"{'CI': array([0.98047751, 1.03960301]), 'Gelman-Rubin': 0.9997598894381933}",No,0.9970561036907281,"{'CI': array([0.96652103, 1.02741535]), 'Gelman-Rubin': 0.9998398540036277}",No
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0344457791698696,"{'CI': array([1.01074024, 1.06153778]), 'Gelman-Rubin': 0.9999112753493385}",Yes,0.9843411996828513,"{'CI': array([0.95979206, 1.00912685]), 'Gelman-Rubin': 0.9998175114752185}",No
