,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.981375650532706,"{'CI': array([0.89134144, 1.07720307]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89134144, 1.07720307]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.924975021348545,"{'CI': array([0.8323486 , 1.02386617]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.8323486 , 1.02386617]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0085223580750984,"{'CI': array([0.87719884, 1.15241026]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.87719884, 1.15241026]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9147345337952564,"{'CI': array([0.79154008, 1.04929878]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.79154008, 1.04929878]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0183678534408795,"{'CI': array([0.95739291, 1.08191134]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95739291, 1.08191134]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.020135554466793,"{'CI': array([0.95527934, 1.08790093]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95527934, 1.08790093]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9894877121236348,"{'CI': array([0.95737148, 1.02230928]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95737148, 1.02230928]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9842424521375069,"{'CI': array([0.95031453, 1.01895946]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95031453, 1.01895946]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0284706927280127,"{'CI': array([1.00173634, 1.0556853 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99646872, 1.06116326]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9589465179847297,"{'CI': array([0.93175577, 0.98664576]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92594966, 0.99269522]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0237947692218392,"{'CI': array([0.9427983 , 1.10938085]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9427983 , 1.10938085]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.963819877002651,"{'CI': array([0.87945477, 1.05327881]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.87945477, 1.05327881]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.1364897396501215,"{'CI': array([0.99959473, 1.28648101]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99959473, 1.28648101]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0435857847829761,"{'CI': array([0.91686507, 1.18181175]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91686507, 1.18181175]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0261658318360714,"{'CI': array([0.95940547, 1.09600928]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95940547, 1.09600928]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.052686691029156,"{'CI': array([0.98015096, 1.12883997]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98015096, 1.12883997]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0109586356754448,"{'CI': array([0.98006181, 1.04250297]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98006181, 1.04250297]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.989258566794,"{'CI': array([0.95688634, 1.0223472 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95688634, 1.0223472 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.037513420436166,"{'CI': array([1.01159281, 1.06388382]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00648378, 1.06918985]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.975764050781309,"{'CI': array([0.9490584 , 1.00295718]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9490584 , 1.00295718]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
