,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9813803370577431,"{'CI': array([0.89135773, 1.0771946 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89135773, 1.0771946 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9249983255596078,"{'CI': array([0.83238441, 1.02387517]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.83238441, 1.02387517]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.008517278870322,"{'CI': array([0.87723023, 1.15236142]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.87723023, 1.15236142]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9147835253848153,"{'CI': array([0.79161862, 1.04931231]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.79161862, 1.04931231]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0183656337770792,"{'CI': array([0.95739425, 1.08190525]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95739425, 1.08190525]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0201329957992513,"{'CI': array([0.95528107, 1.0878937 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95528107, 1.0878937 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9894880484857653,"{'CI': array([0.95737233, 1.02230908]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95737233, 1.02230908]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9842430571663727,"{'CI': array([0.95031574, 1.01895943]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95031574, 1.01895943]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0284700944230154,"{'CI': array([1.00173604, 1.05568439]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99646848, 1.06116229]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9589475650337759,"{'CI': array([0.93175712, 0.98664649]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92595108, 0.99269587]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.023789572640649,"{'CI': array([0.94280153, 1.10936625]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94280153, 1.10936625]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9638286285054392,"{'CI': array([0.87947301, 1.05327687]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.87947301, 1.05327687]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.1364173737094911,"{'CI': array([0.99956292, 1.28636028]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99956292, 1.28636028]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.043564062947066,"{'CI': array([0.91687593, 1.18175135]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91687593, 1.18175135]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.026162109033255,"{'CI': array([0.95940643, 1.09600043]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95940643, 1.09600043]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0526784426732483,"{'CI': array([0.98014871, 1.12882512]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98014871, 1.12882512]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.010958302986666,"{'CI': array([0.98006193, 1.04250216]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98006193, 1.04250216]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9892589438554222,"{'CI': array([0.95688725, 1.02234703]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95688725, 1.02234703]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0375126872766474,"{'CI': array([1.01159234, 1.06388281]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00648337, 1.06918878]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9757646530211955,"{'CI': array([0.9490593 , 1.00295747]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9490593 , 1.00295747]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
10,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9602173452989338,"{'CI': array([0.83267068, 1.09980282]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.83267068, 1.09980282]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.1177208785404757,"{'CI': array([0.96891012, 1.28223648]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96891012, 1.28223648]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
11,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",0.9449117014738769,"{'CI': array([0.80110063, 1.10429284]), 'Error Bound': 2.057497377615838e-290, 'Reliable CI?': 'Yes'}","{'CI': array([0.80110063, 1.10429284]), 'Error Bound': 2.057497377615838e-290, 'Reliable CI?': 'Yes'}",No,1.0592358886879296,"{'CI': array([0.90523998, 1.23046277]), 'Error Bound': 4.158113183631007e-294, 'Reliable CI?': 'Yes'}","{'CI': array([0.90523998, 1.23046277]), 'Error Bound': 4.158113183631007e-294, 'Reliable CI?': 'Yes'}",No
12,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9330884697572202,"{'CI': array([0.86722767, 1.00204765]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.86722767, 1.00204765]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0100145868932742,"{'CI': array([0.93687038, 1.08689348]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93687038, 1.08689348]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
13,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9954866401976837,"{'CI': array([0.95374313, 1.03842717]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95374313, 1.03842717]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.97450676128828,"{'CI': array([0.93121264, 1.01909842]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93121264, 1.01909842]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
14,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.00466405865132,"{'CI': array([0.96747155, 1.04280021]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96747155, 1.04280021]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.967077226204367,"{'CI': array([0.92807403, 1.00713232]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92807403, 1.00713232]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
15,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.127660297767518,"{'CI': array([0.99791484, 1.26915593]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99791484, 1.26915593]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9724864601279709,"{'CI': array([0.84948522, 1.10658778]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.84948522, 1.10658778]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
