,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0344457791698696,"{'CI': array([1.01074024, 1.06153778]), 'Gelman-Rubin': 0.9999112753493385}",Yes,0.9843411996828513,"{'CI': array([0.95979206, 1.00912685]), 'Gelman-Rubin': 0.9998175114752185}",No
1,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$21-40","bacterial infections, and other intestinal infectious diseases, and stds",0.9322128443060942,"{'CI': array([0.86975708, 0.99507163]), 'Gelman-Rubin': 0.9998822954582393}",Yes,0.9873574821617438,"{'CI': array([0.92784026, 1.04906505]), 'Gelman-Rubin': 0.9999265713919978}",No
2,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$41-60","bacterial infections, and other intestinal infectious diseases, and stds",1.0494812603434118,"{'CI': array([1.0079536 , 1.09075264]), 'Gelman-Rubin': 0.9998290504869126}",Yes,0.9752631837407908,"{'CI': array([0.93605444, 1.01217829]), 'Gelman-Rubin': 0.9997614734628442}",No
3,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$61-","bacterial infections, and other intestinal infectious diseases, and stds",1.0321834612055032,"{'CI': array([1.00967309, 1.05521485]), 'Gelman-Rubin': 1.0000468233534197}",Yes,1.0008472069672596,"{'CI': array([0.97536278, 1.02465903]), 'Gelman-Rubin': 0.999778743839338}",No
4,Certain disorders involving the immune mechanism|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1.1016448501322076,"{'CI': array([1.01934024, 1.18776865]), 'Gelman-Rubin': 1.0002284024842192}",Yes,0.993383139020902,"{'CI': array([0.92396308, 1.07096759]), 'Gelman-Rubin': 0.9998604606617333}",No
5,Cerebrovascular diseases|diseases of the circulatory system$M$21-40,diseases of the circulatory system,0.9188380665172168,"{'CI': array([0.86700475, 0.97630554]), 'Gelman-Rubin': 0.9998792377367018}",Yes,0.9974900988690462,"{'CI': array([0.94517301, 1.05040021]), 'Gelman-Rubin': 0.99986233178489}",No
6,"Diseases of arteries, arterioles and capillaries|diseases of the circulatory system$F$41-60",diseases of the circulatory system,0.956353396777605,"{'CI': array([0.91724437, 0.99538701]), 'Gelman-Rubin': 0.9997665359904303}",Yes,0.9836184574324316,"{'CI': array([0.94266129, 1.02896115]), 'Gelman-Rubin': 0.9997946520208378}",No
7,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified|diseases of the circulatory system$M$41-60",diseases of the circulatory system,1.0709062461105503,"{'CI': array([1.03617333, 1.11227733]), 'Gelman-Rubin': 0.9998352546990229}",Yes,1.01385980054989,"{'CI': array([0.98115508, 1.05249371]), 'Gelman-Rubin': 1.0000470973040083}",No
8,Hypertensive diseases|diseases of the circulatory system$F$41-60,diseases of the circulatory system,0.9803819244683161,"{'CI': array([0.96330276, 0.99764908]), 'Gelman-Rubin': 0.9998822673180306}",Yes,0.9945410886428903,"{'CI': array([0.97570221, 1.01165416]), 'Gelman-Rubin': 0.9999738096785102}",No
9,Hypertensive diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0163028047354579,"{'CI': array([1.00199127, 1.02941664]), 'Gelman-Rubin': 0.9998765045853767}",Yes,1.0064454289052565,"{'CI': array([0.99258548, 1.02063021]), 'Gelman-Rubin': 0.9999820073331994}",No
