,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.037513420436166,"{'CI': array([1.01159281, 1.06388382]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00648378, 1.06918985]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.975764050781309,"{'CI': array([0.9490584 , 1.00295718]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9490584 , 1.00295718]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"On examination of urine, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.258728388241213,"{'CI': array([1.06770238, 1.47512995]), 'Error Bound': 2.9940499100360394e-238, 'Reliable CI?': 'Yes'}","{'CI': array([1.03202769, 1.52207673]), 'Error Bound': 2.9940499100360394e-238, 'Reliable CI?': 'Yes'}",Yes,1.0398160453130632,"{'CI': array([0.86928094, 1.23189514]), 'Error Bound': 6.018392058328376e-232, 'Reliable CI?': 'Yes'}","{'CI': array([0.86928094, 1.23189514]), 'Error Bound': 6.018392058328376e-232, 'Reliable CI?': 'Yes'}",No
2,"Certain zoonotic bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$0-10","bacterial infections, and other intestinal infectious diseases, and stds",0.7037026336204649,"{'CI': array([0.5004468 , 0.94296925]), 'Error Bound': 1.0945390767909511e-96, 'Reliable CI?': 'Yes'}","{'CI': array([0.46267116, 0.99709836]), 'Error Bound': 1.0945390767909511e-96, 'Reliable CI?': 'Yes'}",Yes,0.8332621477499047,"{'CI': array([0.62489577, 1.07756111]), 'Error Bound': 7.049909217247604e-114, 'Reliable CI?': 'Yes'}","{'CI': array([0.62489577, 1.07756111]), 'Error Bound': 7.049909217247604e-114, 'Reliable CI?': 'Yes'}",No
3,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$21-40","bacterial infections, and other intestinal infectious diseases, and stds",0.9116048376873654,"{'CI': array([0.84659719, 0.97965258]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.83398049, 0.99360355]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9728853569927982,"{'CI': array([0.89984568, 1.04969766]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89984568, 1.04969766]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$41-60","bacterial infections, and other intestinal infectious diseases, and stds",1.0574067534621114,"{'CI': array([1.013429  , 1.10268739]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00481916, 1.11186818]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9628272579954833,"{'CI': array([0.9196313 , 1.00732004]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9196313 , 1.00732004]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$61-","bacterial infections, and other intestinal infectious diseases, and stds",1.0349178471748925,"{'CI': array([1.01124836, 1.05896215]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00657905, 1.06379562]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9934503279402601,"{'CI': array([0.96955343, 1.01773446]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96955343, 1.01773446]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,Conditions involving the integument and temperature regulation of fetus and newborn|certain conditions originating in the perinatal period$M$0-10,certain conditions originating in the perinatal period,0.8873797995713794,"{'CI': array([0.80009011, 0.98029264]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.78328955, 0.99956645]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.008986410836754,"{'CI': array([0.91064924, 1.11420251]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91064924, 1.11420251]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,Certain disorders involving the immune mechanism|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1.1746334287620313,"{'CI': array([1.06747975, 1.2895391 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.04694705, 1.31348204]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9784223322026847,"{'CI': array([0.87764459, 1.08650548]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.87764459, 1.08650548]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,Cerebrovascular diseases|diseases of the circulatory system$M$21-40,diseases of the circulatory system,0.8964578095373098,"{'CI': array([0.83564249, 0.95994024]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.82382206, 0.97293092]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9886317826965116,"{'CI': array([0.919508  , 1.06110672]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.919508  , 1.06110672]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified|diseases of the circulatory system$M$41-60",diseases of the circulatory system,1.079160924974427,"{'CI': array([1.04045317, 1.11886715]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.03285942, 1.12689837]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0086725513762544,"{'CI': array([0.97001906, 1.04834505]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97001906, 1.04834505]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
10,Hypertensive diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0178815524564926,"{'CI': array([1.00414685, 1.03174234]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00142705, 1.03451735]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.999079968238754,"{'CI': array([0.98462162, 1.01367891]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98462162, 1.01367891]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
11,Ischemic heart diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0266861878744227,"{'CI': array([1.01100516, 1.04253132]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00790224, 1.0457061 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9869421502668217,"{'CI': array([0.97059845, 1.00346648]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97059845, 1.00346648]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
12,Ischemic heart diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0186498676239468,"{'CI': array([1.00648082, 1.03091777]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00406958, 1.03337229]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9859369208816138,"{'CI': array([0.97317901, 0.99880465]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9704389, 1.0015973]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
13,Other forms of heart disease|diseases of the circulatory system$F$0-10,diseases of the circulatory system,1.1146978740754252,"{'CI': array([1.0342379 , 1.19954538]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01868684, 1.2170229 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9571947627768703,"{'CI': array([0.88239422, 1.03598178]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.88239422, 1.03598178]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
14,Other forms of heart disease|diseases of the circulatory system$F$41-60,diseases of the circulatory system,0.973540624828225,"{'CI': array([0.95594141, 0.9913507 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95246194, 0.9949225 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9892739610667788,"{'CI': array([0.97021013, 1.00858399]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97021013, 1.00858399]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
15,Other forms of heart disease|diseases of the circulatory system$M$11-20,diseases of the circulatory system,1.1928078551838495,"{'CI': array([1.09617326, 1.29567049]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.07758799, 1.31699288]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9121003400349226,"{'CI': array([0.83168258, 0.99721702]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.81486101, 1.01629502]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
16,Pulmonary heart disease and diseases of pulmonary circulation|diseases of the circulatory system$M$41-60,diseases of the circulatory system,1.0708877807964863,"{'CI': array([1.0227201 , 1.12061575]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01330398, 1.13071575]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0064206513101615,"{'CI': array([0.95832998, 1.05610011]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95832998, 1.05610011]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
17,Diseases of appendix|diseases of the digestive system$M$61-,diseases of the digestive system,1.157544869009207,"{'CI': array([1.03663753, 1.28847387]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01357903, 1.31594759]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0536608983522007,"{'CI': array([0.93363981, 1.18390819]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93363981, 1.18390819]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
18,Diseases of liver|diseases of the digestive system$F$21-40,diseases of the digestive system,0.8721651958398854,"{'CI': array([0.79792577, 0.95045381]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.78357046, 0.96658793]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9039620849846126,"{'CI': array([0.82617823, 0.98614656]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.80989282, 1.00454471]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
