,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0375126872766474,"{'CI': array([1.01159234, 1.06388281]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00648337, 1.06918878]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9757646530211955,"{'CI': array([0.9490593 , 1.00295747]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9490593 , 1.00295747]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"On examination of urine, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.2584898828810769,"{'CI': array([1.06757159, 1.47475532]), 'Error Bound': 1.8151205053795257e-238, 'Reliable CI?': 'Yes'}","{'CI': array([1.03191597, 1.52167027]), 'Error Bound': 1.8151205053795257e-238, 'Reliable CI?': 'Yes'}",Yes,1.039778883796669,"{'CI': array([0.86932443, 1.23175596]), 'Error Bound': 3.648560548747383e-232, 'Reliable CI?': 'Yes'}","{'CI': array([0.86932443, 1.23175596]), 'Error Bound': 3.648560548747383e-232, 'Reliable CI?': 'Yes'}",No
2,"Certain zoonotic bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$0-10","bacterial infections, and other intestinal infectious diseases, and stds",0.7043806271762768,"{'CI': array([0.50122765, 0.9434941 ]), 'Error Bound': 6.631029692465245e-97, 'Reliable CI?': 'Yes'}","{'CI': array([0.46347073, 0.99758025]), 'Error Bound': 6.631029692465245e-97, 'Reliable CI?': 'Yes'}",Yes,0.8335861671407168,"{'CI': array([0.62536045, 1.077687  ]), 'Error Bound': 4.271774764286198e-114, 'Reliable CI?': 'Yes'}","{'CI': array([0.62536045, 1.077687  ]), 'Error Bound': 4.271774764286198e-114, 'Reliable CI?': 'Yes'}",No
3,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$21-40","bacterial infections, and other intestinal infectious diseases, and stds",0.9116183166362708,"{'CI': array([0.84661494, 0.97966137]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.83399904, 0.99361134]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9728903233109432,"{'CI': array([0.89985678, 1.04969584]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89985678, 1.04969584]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$41-60","bacterial infections, and other intestinal infectious diseases, and stds",1.057403472292656,"{'CI': array([1.01342704, 1.1026827 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00481746, 1.11186321]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9628296052178607,"{'CI': array([0.9196349 , 1.00732106]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9196349 , 1.00732106]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$61-","bacterial infections, and other intestinal infectious diseases, and stds",1.0349172780077074,"{'CI': array([1.011248  , 1.05896137]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00657873, 1.06379479]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9934504793580132,"{'CI': array([0.9695538 , 1.01773439]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9695538 , 1.01773439]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,Conditions involving the integument and temperature regulation of fetus and newborn|certain conditions originating in the perinatal period$M$0-10,certain conditions originating in the perinatal period,0.887412243275588,"{'CI': array([0.80013287, 0.98031332]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.78333423, 0.99958458]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0089835239377358,"{'CI': array([0.91066149, 1.1141823 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91066149, 1.1141823 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,Certain disorders involving the immune mechanism|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1.1745806702205013,"{'CI': array([1.06744599, 1.28946463]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.04691681, 1.31340285]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9784303801604579,"{'CI': array([0.87766886, 1.08649484]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.87766886, 1.08649484]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,Cerebrovascular diseases|diseases of the circulatory system$M$21-40,diseases of the circulatory system,0.8964719155786327,"{'CI': array([0.83566006, 0.95995055]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.82384029, 0.97294043]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9886336550488831,"{'CI': array([0.91951507, 1.06110287]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91951507, 1.06110287]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified|diseases of the circulatory system$M$41-60",diseases of the circulatory system,1.0791575314479467,"{'CI': array([1.04045068, 1.11886282]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.0328571 , 1.12689383]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0086721719338965,"{'CI': array([0.97001958, 1.04834372]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97001958, 1.04834372]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
