,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9791072541409724,"{'CI': array([0.92280056, 1.04982598]), 'Gelman-Rubin': 0.9999084867277345}",No,0.9988322041455706,"{'CI': array([0.92460359, 1.08120779]), 'Gelman-Rubin': 0.9998197852303039}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0074614814648952,"{'CI': array([0.92898838, 1.08333544]), 'Gelman-Rubin': 0.9999531096914076}",No,1.0019434839920451,"{'CI': array([0.91259822, 1.09902783]), 'Gelman-Rubin': 0.9998045578204654}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9825571935236933,"{'CI': array([0.92932645, 1.03237834]), 'Gelman-Rubin': 0.9998777280243113}",No,0.9944570116113381,"{'CI': array([0.94061703, 1.05576346]), 'Gelman-Rubin': 1.0000216604288674}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9853926070104604,"{'CI': array([0.95444113, 1.01773377]), 'Gelman-Rubin': 1.0001496970273427}",No,0.9897793066737692,"{'CI': array([0.9543178 , 1.02186076]), 'Gelman-Rubin': 0.9997854020603508}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",0.997251916995744,"{'CI': array([0.97307362, 1.02298411]), 'Gelman-Rubin': 1.0000742468039991}",No,0.9836242004501068,"{'CI': array([0.95615853, 1.01044651]), 'Gelman-Rubin': 0.9999484591431439}",No
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9542999798856386,"{'CI': array([0.9000772 , 1.01288297]), 'Gelman-Rubin': 1.0002716420423117}",No,1.0075205534469163,"{'CI': array([0.93767064, 1.07793787]), 'Gelman-Rubin': 0.9997758655860169}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0061893747962052,"{'CI': array([0.93529596, 1.07760684]), 'Gelman-Rubin': 0.9999354163229219}",No,0.9924603241424762,"{'CI': array([0.89339352, 1.09118841]), 'Gelman-Rubin': 0.9997693635699526}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9742595217407197,"{'CI': array([0.92351168, 1.02698583]), 'Gelman-Rubin': 0.999795228811482}",No,1.0061562405706288,"{'CI': array([0.95001798, 1.07377531]), 'Gelman-Rubin': 0.9998216307164947}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0145022241157646,"{'CI': array([0.98496516, 1.04300487]), 'Gelman-Rubin': 0.9998370094840214}",No,0.9926528560448903,"{'CI': array([0.96133149, 1.02743612]), 'Gelman-Rubin': 0.9999953183034576}",No
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0168044392897073,"{'CI': array([0.99123823, 1.04289007]), 'Gelman-Rubin': 0.9999938522365294}",No,1.006277638143641,"{'CI': array([0.97632701, 1.03172748]), 'Gelman-Rubin': 0.9997928537811677}",No
