,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Bonferroni Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Bonferroni Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9569858196736583,"{'CI': array([0.86726575, 1.05250533]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.86726575, 1.05250533]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9577251821990201,"{'CI': array([0.86400392, 1.05779208]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.86400392, 1.05779208]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0251578902204843,"{'CI': array([0.89297051, 1.17000041]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89297051, 1.17000041]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9626560539778607,"{'CI': array([0.83467005, 1.10273943]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.83467005, 1.10273943]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9748771322242693,"{'CI': array([0.91499617, 1.0372693 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91499617, 1.0372693 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9522995139470397,"{'CI': array([0.89226703, 1.01487646]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89226703, 1.01487646]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.984224155513632,"{'CI': array([0.95190039, 1.01726348]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95190039, 1.01726348]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.948159198959457,"{'CI': array([0.91569782, 0.98135124]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91203696, 0.9851885 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",0.9976813508152593,"{'CI': array([0.9711938 , 1.02464461]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9711938 , 1.02464461]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.942303417457152,"{'CI': array([0.91556098, 0.96953992]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9125388 , 0.97268137]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9171763799526336,"{'CI': array([0.84035301, 0.99827333]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.82291321, 1.01795596]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9693804367355648,"{'CI': array([0.88598492, 1.05774279]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.88598492, 1.05774279]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0202650736849173,"{'CI': array([0.89723231, 1.15420717]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89723231, 1.15420717]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9466971255139843,"{'CI': array([0.8308872 , 1.07238108]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.8308872 , 1.07238108]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9612953623690127,"{'CI': array([0.89756205, 1.02789459]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89756205, 1.02789459]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9658706629120053,"{'CI': array([0.90036444, 1.03440312]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90036444, 1.03440312]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0170268977977974,"{'CI': array([0.9857417 , 1.04897451]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9857417 , 1.04897451]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.951149704152029,"{'CI': array([0.92006068, 0.98290756]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9165528, 0.9865769]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0189144670201706,"{'CI': array([0.99293053, 1.0453528 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99293053, 1.0453528 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9647994926087461,"{'CI': array([0.93871684, 0.99134826]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93576831, 0.9944093 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
