,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Bonferroni Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Bonferroni Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9569976232471205,"{'CI': array([0.86728899, 1.05250415]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.86728899, 1.05250415]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9577377608779806,"{'CI': array([0.86402956, 1.05778973]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.86402956, 1.05778973]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0251438513486528,"{'CI': array([0.8929936 , 1.16994186]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.8929936 , 1.16994186]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9626779820467974,"{'CI': array([0.83472554, 1.10272106]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.83472554, 1.10272106]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9748801558373189,"{'CI': array([0.91500256, 1.03726867]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91500256, 1.03726867]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9523054223533978,"{'CI': array([0.89227633, 1.01487869]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89227633, 1.01487869]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.98422469726988,"{'CI': array([0.95190146, 1.01726347]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95190146, 1.01726347]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9481610620653833,"{'CI': array([0.91570022, 0.98135255]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91203941, 0.98518974]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",0.9976814554693105,"{'CI': array([0.97119419, 1.02464442]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97119419, 1.02464442]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9423048860767238,"{'CI': array([0.91556275, 0.96954109]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9125406 , 0.97268249]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9171940105095231,"{'CI': array([0.84037772, 0.99828304]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.82293948, 1.01796366]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9693874283441444,"{'CI': array([0.8860011 , 1.05773945]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.8860011 , 1.05773945]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0202553334227409,"{'CI': array([0.89725242, 1.1541621 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89725242, 1.1541621 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9467230114347155,"{'CI': array([0.83093778, 1.07237779]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.83093778, 1.07237779]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9613007384230499,"{'CI': array([0.89757149, 1.02789553]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89757149, 1.02789553]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9658756707691432,"{'CI': array([0.90037385, 1.03440329]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90037385, 1.03440329]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0170263959563146,"{'CI': array([0.98574167, 1.04897351]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98574167, 1.04897351]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9511513093108571,"{'CI': array([0.92006275, 0.98290868]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91655492, 0.98657797]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0189141264623771,"{'CI': array([0.99293046, 1.04535218]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99293046, 1.04535218]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.96480034725934,"{'CI': array([0.93871797, 0.99134883]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93576947, 0.99440984]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
