,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$21-40,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9192931330942176,"{'CI': array([0.8616854 , 0.97926719]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.8485114, 0.9936811]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9252310024270441,"{'CI': array([0.86763985, 0.98518189]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.86120366, 0.99218839]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
1,"Coagulation defects, purpura and other haemorrhagic conditions|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-",diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1.0558052456474059,"{'CI': array([1.0114495 , 1.10148504]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00124599, 1.11238163]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9418681842689002,"{'CI': array([0.90012387, 0.98482903]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89543182, 0.98981487]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
2,Hypertensive diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0183007695403743,"{'CI': array([1.00538357, 1.0313293 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00237568, 1.03439542]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9361507370312405,"{'CI': array([0.92355478, 0.94885546]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92212387, 0.95031261]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
3,Noninfective enteritis and colitis|diseases of the digestive system$M$41-60,diseases of the digestive system,1.05066278666781,"{'CI': array([1.01579273, 1.08634847]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.0077423 , 1.09482567]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.93541884368682,"{'CI': array([0.90215885, 0.96944969]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89840919, 0.97338546]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
4,"Noninflammatory disorders of female genital tract|diseases of the genitourinary system: pelvis, genitals and breasts$F$41-60","diseases of the genitourinary system: pelvis, genitals and breasts",0.9654958413405953,"{'CI': array([0.93909815, 0.99237189]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93298528, 0.99873503]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9395417949667043,"{'CI': array([0.91289948, 0.96667578]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90988858, 0.96980536]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
5,Renal failure|diseases of the genitourinary system: urinary system$M$11-20,diseases of the genitourinary system: urinary system,1.1789721760072585,"{'CI': array([1.03607447, 1.33598136]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00429829, 1.37520468]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.8244606971110442,"{'CI': array([0.71177234, 0.9469147 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.69941862, 0.96164229]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
6,Arthrosis|diseases of the musculoskeletal system and connective tissue$F$41-60,diseases of the musculoskeletal system and connective tissue,1.0386591941751224,"{'CI': array([1.00785918, 1.07009637]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00073745, 1.07755145]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.93652761985335,"{'CI': array([0.90856216, 0.96503586]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90540329, 0.96832576]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
7,Other diseases of pleura|diseases of the respiratory system$M$41-60,diseases of the respiratory system,1.0615270068281504,"{'CI': array([1.0270536 , 1.09679448]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01909317, 1.10517041]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9554212733163456,"{'CI': array([0.92280614, 0.9887722 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91912805, 0.99262794]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
8,Persons with potential health hazards related to family and personal history and certain conditions influencing health status|external causes of morbidity and mortality$M$61-,external causes of morbidity and mortality,1.0363434033097931,"{'CI': array([1.01222586, 1.06084967]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.0066346 , 1.06664426]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9458214486114921,"{'CI': array([0.92275707, 0.96925191]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92014701, 0.97195033]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
9,Head|injury$M$0-10,injury,0.8544788906898173,"{'CI': array([0.77171141, 0.94234331]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.75297247, 0.96375984]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.8952606970395219,"{'CI': array([0.80740073, 0.98880209]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.79768569, 0.9998935 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
10,Circulatory and respiratory systems|symptoms and signs$F$11-20,symptoms and signs,1.0900045776519474,"{'CI': array([1.02202466, 1.1611125 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00652186, 1.17825469]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9259791129437052,"{'CI': array([0.8658939 , 0.98863639]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.85918481, 0.9959672 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
11,Urinary system|symptoms and signs$M$61-,symptoms and signs,1.0572349564658245,"{'CI': array([1.01836808, 1.09711426]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00940833, 1.10660386]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9522628301606794,"{'CI': array([0.91524144, 0.99023447]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91107301, 0.99463233]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
