,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Autumn Significant?
0,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$21-40,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9443615655510031,"{'CI': array([0.90044709, 0.99405725]), 'Gelman-Rubin': 0.9999576075033247}",Yes,0.9703453549447127,"{'CI': array([0.91390255, 1.0327031 ]), 'Gelman-Rubin': 0.9999709199919985}",No
1,"Coagulation defects, purpura and other haemorrhagic conditions|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$61-",diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1.044598535576699,"{'CI': array([1.00418249, 1.08429859]), 'Gelman-Rubin': 0.9998620955977616}",Yes,0.9841332243098928,"{'CI': array([0.94376274, 1.02689722]), 'Gelman-Rubin': 1.0000569446696455}",No
2,Other forms of heart disease|diseases of the circulatory system$M$21-40,diseases of the circulatory system,0.9614520166665066,"{'CI': array([0.92426369, 0.9997012 ]), 'Gelman-Rubin': 0.9999217834633619}",Yes,1.0381056509479927,"{'CI': array([0.99759028, 1.08135052]), 'Gelman-Rubin': 0.9998370297156479}",No
3,"Disorders of gallbladder, biliary tract and pancreas|diseases of the digestive system$M$41-60",diseases of the digestive system,1.0270022524435363,"{'CI': array([1.00076115, 1.05359913]), 'Gelman-Rubin': 0.9997762022347582}",Yes,0.9919605335372663,"{'CI': array([0.96400215, 1.02005373]), 'Gelman-Rubin': 0.9997851581482726}",No
4,Hernia|diseases of the digestive system$F$61-,diseases of the digestive system,1.0491294598194547,"{'CI': array([1.0039054 , 1.09707334]), 'Gelman-Rubin': 0.999872815661445}",Yes,1.0072031291371804,"{'CI': array([0.95483747, 1.06041089]), 'Gelman-Rubin': 0.9998130567848901}",No
5,Noninfective enteritis and colitis|diseases of the digestive system$M$41-60,diseases of the digestive system,1.0435971098420163,"{'CI': array([1.01061911, 1.07540927]), 'Gelman-Rubin': 0.9998449700285935}",Yes,0.9773645103028606,"{'CI': array([0.94548655, 1.01240782]), 'Gelman-Rubin': 0.9999122781037153}",No
6,Other diseases of intestines|diseases of the digestive system$M$21-40,diseases of the digestive system,1.0491034870508205,"{'CI': array([1.00749894, 1.09204212]), 'Gelman-Rubin': 0.9999036809723625}",Yes,1.0106783792520657,"{'CI': array([0.96020756, 1.05780633]), 'Gelman-Rubin': 0.9999018897615586}",No
7,Other diseases of intestines|diseases of the digestive system$M$41-60,diseases of the digestive system,1.0238823096505234,"{'CI': array([1.00094655, 1.04715092]), 'Gelman-Rubin': 0.9997830560087752}",Yes,0.9809449767556546,"{'CI': array([0.95411135, 1.00710647]), 'Gelman-Rubin': 0.9999208160613527}",No
8,"Noninflammatory disorders of female genital tract|diseases of the genitourinary system: pelvis, genitals and breasts$F$41-60","diseases of the genitourinary system: pelvis, genitals and breasts",0.9677610157180849,"{'CI': array([0.94350608, 0.99233498]), 'Gelman-Rubin': 0.999800959373228}",Yes,0.9809112573967149,"{'CI': array([0.95497951, 1.00771401]), 'Gelman-Rubin': 0.9998194292895837}",No
9,Other diseases of urinary system|diseases of the genitourinary system: urinary system$M$41-60,diseases of the genitourinary system: urinary system,1.048432286215636,"{'CI': array([1.00079212, 1.09884942]), 'Gelman-Rubin': 1.0002794735577611}",Yes,0.9792387476962667,"{'CI': array([0.92853862, 1.02785867]), 'Gelman-Rubin': 0.9998997808313196}",No
