,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,Disorders related to length of gestation and fetal growth|certain conditions originating in the perinatal period$F$41-60,certain conditions originating in the perinatal period,0.6679201021018644,"{'CI': array([0.47512324, 0.89328058]), 'Error Bound': 2.9424224172014994e-101, 'Reliable CI?': 'Yes'}","{'CI': array([0.43292934, 0.95314418]), 'Error Bound': 2.9424224172014994e-101, 'Reliable CI?': 'Yes'}",Yes,0.9363349310698629,"{'CI': array([0.70838658, 1.20616174]), 'Error Bound': 5.814612749688427e-110, 'Reliable CI?': 'Yes'}","{'CI': array([0.70838658, 1.20616174]), 'Error Bound': 5.814612749688427e-110, 'Reliable CI?': 'Yes'}",No
1,Circulatory system|congenital malformations and deformations$F$11-20,congenital malformations and deformations,0.7892550133465452,"{'CI': array([0.63980746, 0.95663338]), 'Error Bound': 5.960313649925173e-212, 'Reliable CI?': 'Yes'}","{'CI': array([0.60674585, 0.9992352 ]), 'Error Bound': 5.960313649925173e-212, 'Reliable CI?': 'Yes'}",Yes,0.9203785877297359,"{'CI': array([0.74208277, 1.12345846]), 'Error Bound': 1.4704590404004565e-179, 'Reliable CI?': 'Yes'}","{'CI': array([0.74208277, 1.12345846]), 'Error Bound': 1.4704590404004565e-179, 'Reliable CI?': 'Yes'}",No
2,Circulatory system|congenital malformations and deformations$F$41-60,congenital malformations and deformations,1.169878361797152,"{'CI': array([1.03749246, 1.31432686]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00795427, 1.35022292]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9076517125940763,"{'CI': array([0.79539031, 1.0293032 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.79539031, 1.0293032 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,Ischemic heart diseases|diseases of the circulatory system$F$41-60,diseases of the circulatory system,0.9605673560718484,"{'CI': array([0.937543 , 0.9839554]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93220412, 0.98948452]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9875908143949816,"{'CI': array([0.96315589, 1.01243193]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96315589, 1.01243193]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"Diseases of oesophagus, stomach and duodenum|diseases of the digestive system$M$11-20",diseases of the digestive system,1.184302052952462,"{'CI': array([1.04104691, 1.34171681]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00919322, 1.38104297]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9020762160175482,"{'CI': array([0.78290939, 1.0318989 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.78290939, 1.0318989 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,Other diseases of intestines|diseases of the digestive system$M$21-40,diseases of the digestive system,1.0636995778205542,"{'CI': array([1.01503012, 1.11396566]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00385247, 1.12597923]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9700463864285522,"{'CI': array([0.92330594, 1.01830521]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92330594, 1.01830521]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,Disorders of muscles|diseases of the musculoskeletal system and connective tissue$M$11-20,diseases of the musculoskeletal system and connective tissue,1.2730499658247978,"{'CI': array([1.05178286, 1.52889895]), 'Error Bound': 4.892512003407613e-178, 'Reliable CI?': 'Yes'}","{'CI': array([1.00370658, 1.59543679]), 'Error Bound': 4.892512003407613e-178, 'Reliable CI?': 'Yes'}",Yes,0.8256066647318027,"{'CI': array([0.67279028, 0.99694653]), 'Error Bound': 1.4684976827977151e-214, 'Reliable CI?': 'Yes'}","{'CI': array([0.65623981, 1.01802924]), 'Error Bound': 1.4684976827977151e-214, 'Reliable CI?': 'Yes'}",No
7,Osteopathies|diseases of the musculoskeletal system and connective tissue$M$11-20,diseases of the musculoskeletal system and connective tissue,0.7959423882144956,"{'CI': array([0.66411298, 0.94149277]), 'Error Bound': 8.285883193922009e-278, 'Reliable CI?': 'Yes'}","{'CI': array([0.63478515, 0.97809068]), 'Error Bound': 8.285883193922009e-278, 'Reliable CI?': 'Yes'}",Yes,0.8813009103346695,"{'CI': array([0.73898731, 1.03920408]), 'Error Bound': 7.459250515860086e-271, 'Reliable CI?': 'Yes'}","{'CI': array([0.73898731, 1.03920408]), 'Error Bound': 7.459250515860086e-271, 'Reliable CI?': 'Yes'}",No
8,Acute upper respiratory infections|diseases of the respiratory system$F$41-60,diseases of the respiratory system,1.1418754149860677,"{'CI': array([1.03375609, 1.25798362]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00943953, 1.28650031]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.041243851901868,"{'CI': array([0.93259779, 1.15824663]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93259779, 1.15824663]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,Other acute lower respiratory infections|diseases of the respiratory system$M$11-20,diseases of the respiratory system,0.7223929042739303,"{'CI': array([0.53517582, 0.93945395]), 'Error Bound': 1.151384777132577e-118, 'Reliable CI?': 'Yes'}","{'CI': array([0.49418378, 0.99654941]), 'Error Bound': 1.151384777132577e-118, 'Reliable CI?': 'Yes'}",Yes,0.8464157740978964,"{'CI': array([0.62237277, 1.11228961]), 'Error Bound': 5.943530605424847e-100, 'Reliable CI?': 'Yes'}","{'CI': array([0.62237277, 1.11228961]), 'Error Bound': 5.943530605424847e-100, 'Reliable CI?': 'Yes'}",No
