,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,Disorders related to length of gestation and fetal growth|certain conditions originating in the perinatal period$F$41-60,certain conditions originating in the perinatal period,0.668649109585415,"{'CI': array([0.47592678, 0.89389737]), 'Error Bound': 1.782709977325459e-101, 'Reliable CI?': 'Yes'}","{'CI': array([0.43374913, 0.95372281]), 'Error Bound': 1.782709977325459e-101, 'Reliable CI?': 'Yes'}",Yes,0.9364643497821149,"{'CI': array([0.70871143, 1.20601518]), 'Error Bound': 3.523176074536821e-110, 'Reliable CI?': 'Yes'}","{'CI': array([0.70871143, 1.20601518]), 'Error Bound': 3.523176074536821e-110, 'Reliable CI?': 'Yes'}",No
1,Circulatory system|congenital malformations and deformations$F$11-20,congenital malformations and deformations,0.7894737908329776,"{'CI': array([0.64007443, 0.95679014]), 'Error Bound': 3.613132624882307e-212, 'Reliable CI?': 'Yes'}","{'CI': array([0.60702297, 0.99937427]), 'Error Bound': 3.613132624882307e-212, 'Reliable CI?': 'Yes'}",Yes,0.9204770280904597,"{'CI': array([0.74227267, 1.1234373 ]), 'Error Bound': 8.913099433345904e-180, 'Reliable CI?': 'Yes'}","{'CI': array([0.74227267, 1.1234373 ]), 'Error Bound': 8.913099433345904e-180, 'Reliable CI?': 'Yes'}",No
2,Circulatory system|congenital malformations and deformations$F$41-60,congenital malformations and deformations,1.1697980988588839,"{'CI': array([1.03744843, 1.3142038 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00791799, 1.35008863]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9076958350011093,"{'CI': array([0.79545666, 1.02932106]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.79545666, 1.02932106]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,Ischemic heart diseases|diseases of the circulatory system$F$41-60,diseases of the circulatory system,0.9605680519792378,"{'CI': array([0.93754389, 0.9839559 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93220505, 0.98948498]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9875910601110515,"{'CI': array([0.96315636, 1.01243195]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96315636, 1.01243195]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"Diseases of oesophagus, stomach and duodenum|diseases of the digestive system$M$11-20",diseases of the digestive system,1.1842011854155159,"{'CI': array([1.04099191, 1.34156106]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00914797, 1.38087268]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9021296981921493,"{'CI': array([0.78298945, 1.03192062]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.78298945, 1.03192062]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,Other diseases of intestines|diseases of the digestive system$M$21-40,diseases of the digestive system,1.0636951937061851,"{'CI': array([1.01502753, 1.11395937]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00385029, 1.12597247]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9700485889516038,"{'CI': array([0.92330973, 1.01830571]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92330973, 1.01830571]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,Disorders of muscles|diseases of the musculoskeletal system and connective tissue$M$11-20,diseases of the musculoskeletal system and connective tissue,1.2727129526069823,"{'CI': array([1.05161382, 1.52834149]), 'Error Bound': 2.965555413712882e-178, 'Reliable CI?': 'Yes'}","{'CI': array([1.00357187, 1.59481651]), 'Error Bound': 2.965555413712882e-178, 'Reliable CI?': 'Yes'}",Yes,0.8257859235995516,"{'CI': array([0.67302337, 0.9970568 ]), 'Error Bound': 8.902071417878737e-215, 'Reliable CI?': 'Yes'}","{'CI': array([0.65647846, 1.01813018]), 'Error Bound': 8.902071417878737e-215, 'Reliable CI?': 'Yes'}",No
7,Osteopathies|diseases of the musculoskeletal system and connective tissue$M$11-20,diseases of the musculoskeletal system and connective tissue,0.7961036565886295,"{'CI': array([0.66430742, 0.94161272]), 'Error Bound': 5.023468963374176e-278, 'Reliable CI?': 'Yes'}","{'CI': array([0.63498663, 0.97819921]), 'Error Bound': 5.023468963374176e-278, 'Reliable CI?': 'Yes'}",Yes,0.8813975548312009,"{'CI': array([0.73912913, 1.03924453]), 'Error Bound': 4.5222648074621383e-271, 'Reliable CI?': 'Yes'}","{'CI': array([0.73912913, 1.03924453]), 'Error Bound': 4.5222648074621383e-271, 'Reliable CI?': 'Yes'}",No
8,Acute upper respiratory infections|diseases of the respiratory system$F$41-60,diseases of the respiratory system,1.141829865611297,"{'CI': array([1.03373027, 1.25791544]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.009418  , 1.28642632]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0412288269890495,"{'CI': array([0.93260319, 1.15820798]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93260319, 1.15820798]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,Other acute lower respiratory infections|diseases of the respiratory system$M$11-20,diseases of the respiratory system,0.7229116422852864,"{'CI': array([0.53577842, 0.9398534 ]), 'Error Bound': 6.976894698565275e-119, 'Reliable CI?': 'Yes'}","{'CI': array([0.49480412, 0.99691103]), 'Error Bound': 6.976894698565275e-119, 'Reliable CI?': 'Yes'}",Yes,0.8467587461221104,"{'CI': array([0.62289311, 1.11237687]), 'Error Bound': 3.600893824737935e-100, 'Reliable CI?': 'Yes'}","{'CI': array([0.62289311, 1.11237687]), 'Error Bound': 3.600893824737935e-100, 'Reliable CI?': 'Yes'}",No
