,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9974865518451543,"{'CI': array([0.95252619, 1.04035474]), 'Gelman-Rubin': 1.0031160051136427}",No,0.9950171693789488,"{'CI': array([0.91462995, 1.05996367]), 'Gelman-Rubin': 0.9999235647709263}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9983747605606602,"{'CI': array([0.95080229, 1.04960866]), 'Gelman-Rubin': 1.0009281312441127}",No,1.0006123153016566,"{'CI': array([0.93287322, 1.08247832]), 'Gelman-Rubin': 1.0001056561694486}",No
2,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9996169670476284,"{'CI': array([0.94826649, 1.0506067 ]), 'Gelman-Rubin': 0.9999065708385624}",No,1.0079897606858914,"{'CI': array([0.94806684, 1.10485835]), 'Gelman-Rubin': 1.000732357821169}",No
3,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0013570832141514,"{'CI': array([0.95152819, 1.05388429]), 'Gelman-Rubin': 1.00163833140588}",No,1.0016645730517098,"{'CI': array([0.93465607, 1.08816946]), 'Gelman-Rubin': 0.9999079794160111}",No
4,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$0-10","bacterial infections, and other intestinal infectious diseases, and stds",1.0022592043692333,"{'CI': array([0.9558627 , 1.05163704]), 'Gelman-Rubin': 1.001121457490235}",No,1.000733073479989,"{'CI': array([0.92534179, 1.0740403 ]), 'Gelman-Rubin': 1.0001157529166036}",No
5,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$0-10","bacterial infections, and other intestinal infectious diseases, and stds",1.0029037600889736,"{'CI': array([0.95793882, 1.056956  ]), 'Gelman-Rubin': 1.0038175092822987}",No,1.000901675535066,"{'CI': array([0.91938955, 1.07737203]), 'Gelman-Rubin': 1.000040961709868}",No
6,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$0-10","bacterial infections, and other intestinal infectious diseases, and stds",1.0015649120719483,"{'CI': array([0.95968692, 1.04813025]), 'Gelman-Rubin': 1.0002931331060863}",No,0.9969495996387131,"{'CI': array([0.90776775, 1.06501187]), 'Gelman-Rubin': 1.0002570129593817}",No
7,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$0-10","bacterial infections, and other intestinal infectious diseases, and stds",1.0014514571898712,"{'CI': array([0.95856607, 1.05664428]), 'Gelman-Rubin': 1.0002313487476777}",No,1.0043737767086114,"{'CI': array([0.93085193, 1.08478174]), 'Gelman-Rubin': 1.000026463778792}",No
8,Birth trauma|certain conditions originating in the perinatal period$F$0-10,certain conditions originating in the perinatal period,1.0001432981865166,"{'CI': array([0.95216882, 1.05156168]), 'Gelman-Rubin': 0.999805498693198}",No,1.0018386617399537,"{'CI': array([0.93423663, 1.07105191]), 'Gelman-Rubin': 1.0002437835877775}",No
9,Birth trauma|certain conditions originating in the perinatal period$M$0-10,certain conditions originating in the perinatal period,0.9983072872094864,"{'CI': array([0.95116373, 1.03431028]), 'Gelman-Rubin': 1.0010413823325823}",No,1.0060005428133583,"{'CI': array([0.94007612, 1.08178668]), 'Gelman-Rubin': 1.0004509945059146}",No
10,Conditions involving the integument and temperature regulation of fetus and newborn|certain conditions originating in the perinatal period$F$0-10,certain conditions originating in the perinatal period,1.0002361593350146,"{'CI': array([0.94909495, 1.04762182]), 'Gelman-Rubin': 1.00015914324014}",No,0.9902002491156442,"{'CI': array([0.90757483, 1.05022012]), 'Gelman-Rubin': 1.0011131062131629}",No
11,Conditions involving the integument and temperature regulation of fetus and newborn|certain conditions originating in the perinatal period$M$0-10,certain conditions originating in the perinatal period,0.990768022931549,"{'CI': array([0.91816504, 1.0281706 ]), 'Gelman-Rubin': 1.0225090195856752}",No,1.0031732761618668,"{'CI': array([0.94030601, 1.08424926]), 'Gelman-Rubin': 1.000048822479853}",No
12,Digestive system disorders of fetus and newborn|certain conditions originating in the perinatal period$F$0-10,certain conditions originating in the perinatal period,1.0018262393481303,"{'CI': array([0.95623671, 1.05373661]), 'Gelman-Rubin': 1.0010358883194945}",No,1.0021442435501873,"{'CI': array([0.93467472, 1.0895065 ]), 'Gelman-Rubin': 0.999917085292214}",No
13,Digestive system disorders of fetus and newborn|certain conditions originating in the perinatal period$M$0-10,certain conditions originating in the perinatal period,0.9993971788961613,"{'CI': array([0.95539283, 1.04695735]), 'Gelman-Rubin': 0.9999630382020044}",No,0.9992088223561805,"{'CI': array([0.91861604, 1.07070005]), 'Gelman-Rubin': 0.9998656286748161}",No
14,Disorders related to length of gestation and fetal growth|certain conditions originating in the perinatal period$F$0-10,certain conditions originating in the perinatal period,0.9970342546855108,"{'CI': array([0.95038886, 1.02724976]), 'Gelman-Rubin': 1.0023971298965324}",No,0.9981585407140824,"{'CI': array([0.95229777, 1.04046894]), 'Gelman-Rubin': 0.999858939064717}",No
15,Disorders related to length of gestation and fetal growth|certain conditions originating in the perinatal period$M$0-10,certain conditions originating in the perinatal period,1.0025713414323996,"{'CI': array([0.96968752, 1.03955736]), 'Gelman-Rubin': 1.0006783434831668}",No,1.0054454388065879,"{'CI': array([0.96769717, 1.05045119]), 'Gelman-Rubin': 0.9999575220335798}",No
16,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery|certain conditions originating in the perinatal period$F$0-10",certain conditions originating in the perinatal period,0.9962780086779778,"{'CI': array([0.9558127, 1.0313252]), 'Gelman-Rubin': 1.0048308287691987}",No,1.00456206834558,"{'CI': array([0.96534164, 1.05448157]), 'Gelman-Rubin': 1.0001433848468306}",No
17,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery|certain conditions originating in the perinatal period$M$0-10",certain conditions originating in the perinatal period,0.9935922518898436,"{'CI': array([0.94393904, 1.02409192]), 'Gelman-Rubin': 1.0096104477469303}",No,1.0033162181175863,"{'CI': array([0.96049158, 1.0541994 ]), 'Gelman-Rubin': 1.0006622557664657}",No
18,Haemorrhagic and haematological disorders of fetus and newborn|certain conditions originating in the perinatal period$F$0-10,certain conditions originating in the perinatal period,0.9932893052125776,"{'CI': array([0.94803205, 1.02403533]), 'Gelman-Rubin': 1.011819859305311}",No,0.9996628820366178,"{'CI': array([0.95029344, 1.04741885]), 'Gelman-Rubin': 0.9999192914027634}",No
19,Haemorrhagic and haematological disorders of fetus and newborn|certain conditions originating in the perinatal period$M$0-10,certain conditions originating in the perinatal period,1.0005946275148025,"{'CI': array([0.96430215, 1.03548379]), 'Gelman-Rubin': 1.0002213838288787}",No,0.9976640633596267,"{'CI': array([0.95410119, 1.04097211]), 'Gelman-Rubin': 1.0001019205509305}",No
