,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0230755227984105,"{'CI': array([0.9642364 , 1.08429923]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9642364 , 1.08429923]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0290104899118995,"{'CI': array([0.96777466, 1.09282584]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96777466, 1.09282584]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0131214837632259,"{'CI': array([0.95877599, 1.06950026]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95877599, 1.06950026]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0236832679238093,"{'CI': array([0.96841693, 1.08104508]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96841693, 1.08104508]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9881809305996961,"{'CI': array([0.96661584, 1.01006178]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96661584, 1.01006178]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0040523669194106,"{'CI': array([0.98172351, 1.02671787]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98172351, 1.02671787]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9993910627184283,"{'CI': array([0.98719437, 1.01168774]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98719437, 1.01168774]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9952950335233594,"{'CI': array([0.98292508, 1.00776795]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98292508, 1.00776795]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0103265147397362,"{'CI': array([0.99242741, 1.02844079]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99242741, 1.02844079]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9850597218992028,"{'CI': array([0.96713766, 1.00319935]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96713766, 1.00319935]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.016877840384884,"{'CI': array([0.96430042, 1.07135512]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96430042, 1.07135512]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0044097607813471,"{'CI': array([0.95044406, 1.06038582]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95044406, 1.06038582]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.04147067674685,"{'CI': array([0.98366324, 1.10156182]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98366324, 1.10156182]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9990502801398119,"{'CI': array([0.94290596, 1.05737688]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94290596, 1.05737688]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9933533238362175,"{'CI': array([0.96265157, 1.02469791]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96265157, 1.02469791]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9828927387001137,"{'CI': array([0.950944  , 1.01554023]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.950944  , 1.01554023]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9938383740367921,"{'CI': array([0.9753976 , 1.01250909]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9753976 , 1.01250909]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9782288165015811,"{'CI': array([0.9590197 , 0.99768881]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95504885, 1.00177509]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.027620389741763,"{'CI': array([1.00538807, 1.05018368]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00121994, 1.05448885]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9887812015333396,"{'CI': array([0.96617315, 1.01173608]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96617315, 1.01173608]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
