,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9525983820575344,"{'CI': array([0.80757036, 1.11344319]), 'Error Bound': 3.0274726042824486e-288, 'Reliable CI?': 'Yes'}","{'CI': array([0.80757036, 1.11344319]), 'Error Bound': 3.0274726042824486e-288, 'Reliable CI?': 'Yes'}",No,0.9610831118226584,"{'CI': array([0.80298661, 1.13807927]), 'Error Bound': 4.0072883075799355e-244, 'Reliable CI?': 'Yes'}","{'CI': array([0.80298661, 1.13807927]), 'Error Bound': 4.0072883075799355e-244, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9796707925110901,"{'CI': array([0.85211847, 1.11917995]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.85211847, 1.11917995]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0122854342245675,"{'CI': array([0.8678085 , 1.17208934]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.8678085 , 1.17208934]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9861219457180568,"{'CI': array([0.74915563, 1.26784133]), 'Error Bound': 1.9478523867149462e-108, 'Reliable CI?': 'Yes'}","{'CI': array([0.74915563, 1.26784133]), 'Error Bound': 1.9478523867149462e-108, 'Reliable CI?': 'Yes'}",No,1.1927724846152281,"{'CI': array([0.90561175, 1.54290668]), 'Error Bound': 7.411547155722827e-94, 'Reliable CI?': 'Yes'}","{'CI': array([0.90561175, 1.54290668]), 'Error Bound': 7.411547155722827e-94, 'Reliable CI?': 'Yes'}",No
3,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.076783713236401,"{'CI': array([0.83845118, 1.35885109]), 'Error Bound': 1.2758865074656934e-120, 'Reliable CI?': 'Yes'}","{'CI': array([0.83845118, 1.35885109]), 'Error Bound': 1.2758865074656934e-120, 'Reliable CI?': 'Yes'}",No,1.0427078210552765,"{'CI': array([0.79861   , 1.33344231]), 'Error Bound': 5.832515070041481e-110, 'Reliable CI?': 'Yes'}","{'CI': array([0.79861   , 1.33344231]), 'Error Bound': 5.832515070041481e-110, 'Reliable CI?': 'Yes'}",No
4,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$0-10","bacterial infections, and other intestinal infectious diseases, and stds",1.0746066283189217,"{'CI': array([0.88641969, 1.28908271]), 'Error Bound': 3.611349571677023e-197, 'Reliable CI?': 'Yes'}","{'CI': array([0.88641969, 1.28908271]), 'Error Bound': 3.611349571677023e-197, 'Reliable CI?': 'Yes'}",No,1.0342679306525564,"{'CI': array([0.72843446, 1.41728883]), 'Error Bound': 1.0003720498006111e-67, 'Reliable CI?': 'Yes'}","{'CI': array([0.72843446, 1.41728883]), 'Error Bound': 1.0003720498006111e-67, 'Reliable CI?': 'Yes'}",No
5,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$0-10","bacterial infections, and other intestinal infectious diseases, and stds",1.0838551360088546,"{'CI': array([0.9055596 , 1.28550047]), 'Error Bound': 2.959584535839119e-223, 'Reliable CI?': 'Yes'}","{'CI': array([0.9055596 , 1.28550047]), 'Error Bound': 2.959584535839119e-223, 'Reliable CI?': 'Yes'}",No,1.0398596802007882,"{'CI': array([0.75471987, 1.39081045]), 'Error Bound': 4.722174786864523e-79, 'Reliable CI?': 'Yes'}","{'CI': array([0.75471987, 1.39081045]), 'Error Bound': 4.722174786864523e-79, 'Reliable CI?': 'Yes'}",No
6,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$0-10","bacterial infections, and other intestinal infectious diseases, and stds",1.0869692234775858,"{'CI': array([0.84337391, 1.37625558]), 'Error Bound': 1.0509713843212065e-116, 'Reliable CI?': 'Yes'}","{'CI': array([0.84337391, 1.37625558]), 'Error Bound': 1.0509713843212065e-116, 'Reliable CI?': 'Yes'}",No,0.9508821914307474,"{'CI': array([0.72800303, 1.21342371]), 'Error Bound': 1.414501670947034e-117, 'Reliable CI?': 'Yes'}","{'CI': array([0.72800303, 1.21342371]), 'Error Bound': 1.414501670947034e-117, 'Reliable CI?': 'Yes'}",No
7,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$0-10","bacterial infections, and other intestinal infectious diseases, and stds",1.0685736624247029,"{'CI': array([0.84669544, 1.32800678]), 'Error Bound': 1.1255146911465042e-138, 'Reliable CI?': 'Yes'}","{'CI': array([0.84669544, 1.32800678]), 'Error Bound': 1.1255146911465042e-138, 'Reliable CI?': 'Yes'}",No,1.0802726846579487,"{'CI': array([0.84746977, 1.35454085]), 'Error Bound': 2.2972206963061352e-127, 'Reliable CI?': 'Yes'}","{'CI': array([0.84746977, 1.35454085]), 'Error Bound': 2.2972206963061352e-127, 'Reliable CI?': 'Yes'}",No
8,Birth trauma|certain conditions originating in the perinatal period$F$0-10,certain conditions originating in the perinatal period,1.004090837888456,"{'CI': array([0.82835405, 1.20312813]), 'Error Bound': 1.3270146581990871e-207, 'Reliable CI?': 'Yes'}","{'CI': array([0.82835405, 1.20312813]), 'Error Bound': 1.3270146581990871e-207, 'Reliable CI?': 'Yes'}",No,1.0309202387180272,"{'CI': array([0.83567599, 1.25503839]), 'Error Bound': 8.095144680203413e-173, 'Reliable CI?': 'Yes'}","{'CI': array([0.83567599, 1.25503839]), 'Error Bound': 8.095144680203413e-173, 'Reliable CI?': 'Yes'}",No
9,Birth trauma|certain conditions originating in the perinatal period$M$0-10,certain conditions originating in the perinatal period,0.9717027683351244,"{'CI': array([0.81889095, 1.14204685]), 'Error Bound': 1.2195241173535692e-265, 'Reliable CI?': 'Yes'}","{'CI': array([0.81889095, 1.14204685]), 'Error Bound': 1.2195241173535692e-265, 'Reliable CI?': 'Yes'}",No,1.0670551964387807,"{'CI': array([0.89741303, 1.25779599]), 'Error Bound': 8.08608073630841e-243, 'Reliable CI?': 'Yes'}","{'CI': array([0.89741303, 1.25779599]), 'Error Bound': 8.08608073630841e-243, 'Reliable CI?': 'Yes'}",No
