,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9986425369536885,"{'CI': array([0.95686299, 1.0273315 ]), 'Gelman-Rubin': 1.0150064202870812}",No,1.0029113298317935,"{'CI': array([0.94839396, 1.08426552]), 'Gelman-Rubin': 1.0157489231175347}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9981078618429698,"{'CI': array([0.94777509, 1.02507038]), 'Gelman-Rubin': 1.017092261332025}",No,1.0021731245023526,"{'CI': array([0.94849668, 1.07552818]), 'Gelman-Rubin': 1.007442331352396}",No
2,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9996891956802654,"{'CI': array([0.96526561, 1.03871196]), 'Gelman-Rubin': 1.002578565138639}",No,1.0011706769207502,"{'CI': array([0.93653015, 1.07621852]), 'Gelman-Rubin': 1.0144093625315285}",No
3,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0007229975407403,"{'CI': array([0.9600232 , 1.05405789]), 'Gelman-Rubin': 1.0016432283239387}",No,1.003409308873783,"{'CI': array([0.93417292, 1.09026828]), 'Gelman-Rubin': 1.0530657088504027}",No
4,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$0-10","bacterial infections, and other intestinal infectious diseases, and stds",0.9996440043615806,"{'CI': array([0.96257369, 1.03376967]), 'Gelman-Rubin': 1.0020507161619925}",No,0.9987195864826649,"{'CI': array([0.92249833, 1.06810447]), 'Gelman-Rubin': 1.0049232571087123}",No
5,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$0-10","bacterial infections, and other intestinal infectious diseases, and stds",0.9989014051661357,"{'CI': array([0.95707582, 1.03052924]), 'Gelman-Rubin': 1.0041994616544347}",No,1.0007005420107087,"{'CI': array([0.93345835, 1.06876816]), 'Gelman-Rubin': 1.0001420840960247}",No
6,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$0-10","bacterial infections, and other intestinal infectious diseases, and stds",0.999877052656538,"{'CI': array([0.96321183, 1.04087649]), 'Gelman-Rubin': 1.0069904444248738}",No,0.9968396958172402,"{'CI': array([0.91463423, 1.06342324]), 'Gelman-Rubin': 1.015296837755099}",No
7,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$0-10","bacterial infections, and other intestinal infectious diseases, and stds",1.0013094134444311,"{'CI': array([0.96942055, 1.04293043]), 'Gelman-Rubin': 1.0016439389859437}",No,0.9957823246216598,"{'CI': array([0.92514351, 1.05979525]), 'Gelman-Rubin': 1.0339968787082379}",No
8,Birth trauma|certain conditions originating in the perinatal period$F$0-10,certain conditions originating in the perinatal period,0.9997473168032712,"{'CI': array([0.96128936, 1.03444423]), 'Gelman-Rubin': 1.0025711182284347}",No,0.9992872689329589,"{'CI': array([0.93528419, 1.07583716]), 'Gelman-Rubin': 1.0013325684889984}",No
9,Birth trauma|certain conditions originating in the perinatal period$M$0-10,certain conditions originating in the perinatal period,1.000744057819455,"{'CI': array([0.96408906, 1.03661633]), 'Gelman-Rubin': 1.021401322213481}",No,1.0036569343022426,"{'CI': array([0.94589382, 1.08289717]), 'Gelman-Rubin': 1.0636850164933491}",No
