,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.011460268964245,"{'CI': array([0.95056111, 1.07492706]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95056111, 1.07492706]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9797783237613624,"{'CI': array([0.91884312, 1.0433126 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91884312, 1.0433126 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0177735646044883,"{'CI': array([0.96253034, 1.07511525]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96253034, 1.07511525]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0029409868062866,"{'CI': array([0.9483959 , 1.05954063]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9483959 , 1.05954063]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0012748976460581,"{'CI': array([0.97921846, 1.02366019]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97921846, 1.02366019]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.00319988574232,"{'CI': array([0.98057739, 1.02616819]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98057739, 1.02616819]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0050355137747111,"{'CI': array([0.99263088, 1.01754337]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99263088, 1.01754337]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9884310298650444,"{'CI': array([0.97586935, 1.00109915]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97586935, 1.00109915]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0227370998519527,"{'CI': array([1.00456295, 1.04113204]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00116246, 1.04462359]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9872714429646573,"{'CI': array([0.96902181, 1.00574635]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96902181, 1.00574635]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0110374035022045,"{'CI': array([0.95684464, 1.06725435]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95684464, 1.06725435]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0276972617384428,"{'CI': array([0.97155906, 1.08599781]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97155906, 1.08599781]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.033259389007251,"{'CI': array([0.97492473, 1.09392637]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97492473, 1.09392637]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9937532765724555,"{'CI': array([0.93893292, 1.05065589]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93893292, 1.05065589]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9817599089059825,"{'CI': array([0.9509214 , 1.01324939]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9509214 , 1.01324939]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9790868942498563,"{'CI': array([0.94716414, 1.01170818]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94716414, 1.01170818]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9961937037386226,"{'CI': array([0.97730118, 1.01532742]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97730118, 1.01532742]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.992186803419044,"{'CI': array([0.97259882, 1.01203449]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97259882, 1.01203449]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.020932750043952,"{'CI': array([0.99856568, 1.04363539]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99856568, 1.04363539]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9938555167601693,"{'CI': array([0.97097631, 1.01708907]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97097631, 1.01708907]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
