,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0114588839253138,"{'CI': array([0.95056328, 1.07492181]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95056328, 1.07492181]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9797807518336745,"{'CI': array([0.91884911, 1.04331116]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91884911, 1.04331116]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0177719373519543,"{'CI': array([0.96253135, 1.07511078]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96253135, 1.07511078]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.002940817430726,"{'CI': array([0.94839827, 1.05953773]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94839827, 1.05953773]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0012748897995079,"{'CI': array([0.97921862, 1.02366001]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97921862, 1.02366001]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0031998503698927,"{'CI': array([0.98057753, 1.02616797]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98057753, 1.02616797]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0050354929596617,"{'CI': array([0.99263089, 1.01754332]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99263089, 1.01754332]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9884310917956705,"{'CI': array([0.97586944, 1.00109918]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97586944, 1.00109918]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.022736901317078,"{'CI': array([1.00456284, 1.04113175]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00116237, 1.04462328]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9872716096280584,"{'CI': array([0.96902207, 1.00574642]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96902207, 1.00574642]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0110363513813467,"{'CI': array([0.95684608, 1.06725061]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95684608, 1.06725061]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0276945398585815,"{'CI': array([0.97155911, 1.08599209]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97155911, 1.08599209]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0332560021073034,"{'CI': array([0.97492445, 1.09391962]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97492445, 1.09391962]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9937539968118784,"{'CI': array([0.93893622, 1.05065383]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93893622, 1.05065383]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.981760493493059,"{'CI': array([0.95092244, 1.0132495 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95092244, 1.0132495 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9790876240428343,"{'CI': array([0.94716537, 1.01170838]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94716537, 1.01170838]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9961937533258692,"{'CI': array([0.97730133, 1.01532736]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97730133, 1.01532736]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9921869093294128,"{'CI': array([0.97259904, 1.01203447]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97259904, 1.01203447]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0209324743281056,"{'CI': array([0.99856558, 1.04363493]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99856558, 1.04363493]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9938556711490503,"{'CI': array([0.97097665, 1.01708903]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97097665, 1.01708903]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
