,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0037718589795386,"{'CI': array([0.85968503, 1.15251722]), 'Gelman-Rubin': 0.9999492417008619}",No,1.023457664853182,"{'CI': array([0.89019623, 1.17185076]), 'Gelman-Rubin': 1.0000570302880403}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0422946740577412,"{'CI': array([0.92013938, 1.16495354]), 'Gelman-Rubin': 0.9998790819713752}",No,1.0278077477651886,"{'CI': array([0.91178226, 1.15831197]), 'Gelman-Rubin': 0.9999639401456866}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9868545621335513,"{'CI': array([0.91310405, 1.06501914]), 'Gelman-Rubin': 0.999804055237126}",No,1.0045278056044251,"{'CI': array([0.92199586, 1.08469312]), 'Gelman-Rubin': 0.9998593002029967}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",0.988814196144538,"{'CI': array([0.92778482, 1.05035013]), 'Gelman-Rubin': 0.9998470463602165}",No,0.9240640411962326,"{'CI': array([0.86294822, 0.98367685]), 'Gelman-Rubin': 1.0000165024053431}",Yes
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0361007217212603,"{'CI': array([0.90450598, 1.19196488]), 'Gelman-Rubin': 0.9998478685067234}",No,1.0298390067959649,"{'CI': array([0.8930161 , 1.18537928]), 'Gelman-Rubin': 1.0002671701419714}",No
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0351905012770986,"{'CI': array([0.88057289, 1.20463056]), 'Gelman-Rubin': 0.9998940227861984}",No,0.9929146062940388,"{'CI': array([0.84290972, 1.14103716]), 'Gelman-Rubin': 1.0001449193052327}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9859659114757368,"{'CI': array([0.86732153, 1.11351498]), 'Gelman-Rubin': 0.9999160818868371}",No,0.9809605565264299,"{'CI': array([0.86049027, 1.09744536]), 'Gelman-Rubin': 0.9998000453282148}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0056442698207864,"{'CI': array([0.93894918, 1.08252781]), 'Gelman-Rubin': 0.9997727006012518}",No,1.0204432235350607,"{'CI': array([0.94394537, 1.09687834]), 'Gelman-Rubin': 0.9999925050200449}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.021245874835562,"{'CI': array([0.95852759, 1.08157691]), 'Gelman-Rubin': 0.9997921551789394}",No,0.9809226268586599,"{'CI': array([0.92258861, 1.0435649 ]), 'Gelman-Rubin': 1.0000977749909605}",No
9,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9655278287896454,"{'CI': array([0.83959435, 1.09412206]), 'Gelman-Rubin': 0.999844140009893}",No,1.007140846786102,"{'CI': array([0.88889871, 1.13861599]), 'Gelman-Rubin': 1.0001893782369284}",No
10,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9812274856184263,"{'CI': array([0.88859361, 1.07546509]), 'Gelman-Rubin': 0.999843482039236}",No,0.9952568531849031,"{'CI': array([0.90978736, 1.09844837]), 'Gelman-Rubin': 1.0002462660038651}",No
