,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0222209736690555,"{'CI': array([0.74563888, 1.36077656]), 'Error Bound': 2.5277497168063574e-82, 'Reliable CI?': 'Yes'}","{'CI': array([0.74563888, 1.36077656]), 'Error Bound': 2.5277497168063574e-82, 'Reliable CI?': 'Yes'}",No,1.130412472362007,"{'CI': array([0.80315953, 1.54410836]), 'Error Bound': 3.323009124945988e-66, 'Reliable CI?': 'Yes'}","{'CI': array([0.80315953, 1.54410836]), 'Error Bound': 3.323009124945988e-66, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0905714869086083,"{'CI': array([0.91937571, 1.28309637]), 'Error Bound': 1.95312045554677e-245, 'Reliable CI?': 'Yes'}","{'CI': array([0.91937571, 1.28309637]), 'Error Bound': 1.95312045554677e-245, 'Reliable CI?': 'Yes'}",No,1.0649631123570085,"{'CI': array([0.88542327, 1.2682971 ]), 'Error Bound': 1.9443044462884988e-215, 'Reliable CI?': 'Yes'}","{'CI': array([0.88542327, 1.2682971 ]), 'Error Bound': 1.9443044462884988e-215, 'Reliable CI?': 'Yes'}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9868557891695799,"{'CI': array([0.90380685, 1.07479284]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90380685, 1.07479284]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0046444152450722,"{'CI': array([0.91394701, 1.10116393]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91394701, 1.10116393]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",0.9901158363020988,"{'CI': array([0.92438174, 1.05887033]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92438174, 1.05887033]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.907346846157573,"{'CI': array([0.84243993, 0.97527888]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.82656255, 0.99287131]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.148041413088164,"{'CI': array([0.85996992, 1.50065461]), 'Error Bound': 2.0242677128664688e-88, 'Reliable CI?': 'Yes'}","{'CI': array([0.85996992, 1.50065461]), 'Error Bound': 2.0242677128664688e-88, 'Reliable CI?': 'Yes'}",No,1.15499483217761,"{'CI': array([0.84289912, 1.54400505]), 'Error Bound': 2.3544943445951734e-75, 'Reliable CI?': 'Yes'}","{'CI': array([0.84289912, 1.54400505]), 'Error Bound': 2.3544943445951734e-75, 'Reliable CI?': 'Yes'}",No
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.227570506620486,"{'CI': array([0.84002472, 1.73751966]), 'Error Bound': 8.118574738169834e-52, 'Reliable CI?': 'Yes'}","{'CI': array([0.84002472, 1.73751966]), 'Error Bound': 8.118574738169834e-52, 'Reliable CI?': 'Yes'}",No,0.9659896262545156,"{'CI': array([0.65786797, 1.35482223]), 'Error Bound': 5.65340728615007e-61, 'Reliable CI?': 'Yes'}","{'CI': array([0.65786797, 1.35482223]), 'Error Bound': 5.65340728615007e-61, 'Reliable CI?': 'Yes'}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9765733558497244,"{'CI': array([0.80981542, 1.16436904]), 'Error Bound': 2.899976246612035e-223, 'Reliable CI?': 'Yes'}","{'CI': array([0.80981542, 1.16436904]), 'Error Bound': 2.899976246612035e-223, 'Reliable CI?': 'Yes'}",No,0.9522288070635431,"{'CI': array([0.77305802, 1.15611818]), 'Error Bound': 4.345971620291758e-186, 'Reliable CI?': 'Yes'}","{'CI': array([0.77305802, 1.15611818]), 'Error Bound': 4.345971620291758e-186, 'Reliable CI?': 'Yes'}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0100649905222545,"{'CI': array([0.9308136 , 1.09371897]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9308136 , 1.09371897]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0247085911315703,"{'CI': array([0.9394938 , 1.11500702]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9394938 , 1.11500702]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0273044744913187,"{'CI': array([0.96110319, 1.09653003]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96110319, 1.09653003]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9753847102877543,"{'CI': array([0.90834682, 1.04557785]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90834682, 1.04557785]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.921548459032926,"{'CI': array([0.74007089, 1.12876919]), 'Error Bound': 2.93508563572464e-173, 'Reliable CI?': 'Yes'}","{'CI': array([0.74007089, 1.12876919]), 'Error Bound': 2.93508563572464e-173, 'Reliable CI?': 'Yes'}",No,1.0223892975073012,"{'CI': array([0.8084191 , 1.27160328]), 'Error Bound': 2.72563682789478e-141, 'Reliable CI?': 'Yes'}","{'CI': array([0.8084191 , 1.27160328]), 'Error Bound': 2.72563682789478e-141, 'Reliable CI?': 'Yes'}",No
