,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0221603062326792,"{'CI': array([0.74593618, 1.3601812 ]), 'Error Bound': 1.530938263875843e-82, 'Reliable CI?': 'Yes'}","{'CI': array([0.74593618, 1.3601812 ]), 'Error Bound': 1.530938263875843e-82, 'Reliable CI?': 'Yes'}",No,1.1299735874812737,"{'CI': array([0.80331149, 1.54274096]), 'Error Bound': 2.0119530710670222e-66, 'Reliable CI?': 'Yes'}","{'CI': array([0.80331149, 1.54274096]), 'Error Bound': 2.0119530710670222e-66, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0904906272920027,"{'CI': array([0.91937593, 1.2829136 ]), 'Error Bound': 1.183951012048692e-245, 'Reliable CI?': 'Yes'}","{'CI': array([0.91937593, 1.2829136 ]), 'Error Bound': 1.183951012048692e-245, 'Reliable CI?': 'Yes'}",No,1.064898770473414,"{'CI': array([0.88545282, 1.26811289]), 'Error Bound': 1.1785467779628357e-215, 'Reliable CI?': 'Yes'}","{'CI': array([0.88545282, 1.26811289]), 'Error Bound': 1.1785467779628357e-215, 'Reliable CI?': 'Yes'}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9868589174950181,"{'CI': array([0.90381904, 1.07478581]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90381904, 1.07478581]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0046435135484266,"{'CI': array([0.91395792, 1.10114965]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91395792, 1.10114965]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",0.9901173997995475,"{'CI': array([0.92438777, 1.05886701]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92438777, 1.05886701]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9073616661355313,"{'CI': array([0.84245896, 0.97528907]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.82658258, 0.99288026]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.147668377579723,"{'CI': array([0.85999339, 1.49969699]), 'Error Bound': 1.2261153696317734e-88, 'Reliable CI?': 'Yes'}","{'CI': array([0.85999339, 1.49969699]), 'Error Bound': 1.2261153696317734e-88, 'Reliable CI?': 'Yes'}",No,1.1545378791893603,"{'CI': array([0.84294849, 1.5427756 ]), 'Error Bound': 1.4258424372227707e-75, 'Reliable CI?': 'Yes'}","{'CI': array([0.84294849, 1.5427756 ]), 'Error Bound': 1.4258424372227707e-75, 'Reliable CI?': 'Yes'}",No
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.2265801259497595,"{'CI': array([0.84000476, 1.73489948]), 'Error Bound': 4.9132714673968604e-52, 'Reliable CI?': 'Yes'}","{'CI': array([0.84000476, 1.73489948]), 'Error Bound': 4.9132714673968604e-52, 'Reliable CI?': 'Yes'}",No,0.966120231566948,"{'CI': array([0.6584969 , 1.35415514]), 'Error Bound': 3.422486665780159e-61, 'Reliable CI?': 'Yes'}","{'CI': array([0.6584969 , 1.35415514]), 'Error Bound': 3.422486665780159e-61, 'Reliable CI?': 'Yes'}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9765966972317616,"{'CI': array([0.80991418, 1.16429655]), 'Error Bound': 1.7578469623748602e-223, 'Reliable CI?': 'Yes'}","{'CI': array([0.80991418, 1.16429655]), 'Error Bound': 1.7578469623748602e-223, 'Reliable CI?': 'Yes'}",No,0.9522873988964434,"{'CI': array([0.77320996, 1.15605534]), 'Error Bound': 2.6341329903035316e-186, 'Reliable CI?': 'Yes'}","{'CI': array([0.77320996, 1.15605534]), 'Error Bound': 2.6341329903035316e-186, 'Reliable CI?': 'Yes'}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0100631301617422,"{'CI': array([0.9308196 , 1.09370835]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9308196 , 1.09370835]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0247032362033945,"{'CI': array([0.93949823, 1.11499069]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93949823, 1.11499069]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0273009846451935,"{'CI': array([0.96110426, 1.09652156]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96110426, 1.09652156]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9753889179607932,"{'CI': array([0.90835575, 1.04557688]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90835575, 1.04557688]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9216482431739629,"{'CI': array([0.74026742, 1.12874185]), 'Error Bound': 1.7789349661022e-173, 'Reliable CI?': 'Yes'}","{'CI': array([0.74026742, 1.12874185]), 'Error Bound': 1.7789349661022e-173, 'Reliable CI?': 'Yes'}",No,1.0223571907882536,"{'CI': array([0.80854851, 1.27135254]), 'Error Bound': 1.651772665700172e-141, 'Reliable CI?': 'Yes'}","{'CI': array([0.80854851, 1.27135254]), 'Error Bound': 1.651772665700172e-141, 'Reliable CI?': 'Yes'}",No
