,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Autumn Significant?
0,"Diseases of arteries, arterioles and capillaries|diseases of the circulatory system$M$61-",diseases of the circulatory system,0.9379486213467739,"{'CI': array([0.87795581, 0.99344944]), 'Gelman-Rubin': 0.9999143909121048}",Yes,1.0483005035594277,"{'CI': array([0.98354701, 1.11396987]), 'Gelman-Rubin': 0.9999670982213816}",No
1,Ischemic heart diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0424947598395793,"{'CI': array([1.011929  , 1.07437097]), 'Gelman-Rubin': 0.9998803436534668}",Yes,0.9990635472717959,"{'CI': array([0.96699792, 1.03150813]), 'Gelman-Rubin': 1.000002630737663}",No
2,Other forms of heart disease|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0363319256362626,"{'CI': array([1.01276768, 1.06108464]), 'Gelman-Rubin': 1.0000154758026967}",Yes,1.0014060421020534,"{'CI': array([0.97316382, 1.02677624]), 'Gelman-Rubin': 1.0007041050559278}",No
3,"Diseases of oesophagus, stomach and duodenum|diseases of the digestive system$M$61-",diseases of the digestive system,0.9283141755720263,"{'CI': array([0.86202615, 0.99607142]), 'Gelman-Rubin': 1.0000902099184565}",Yes,1.0268810743647439,"{'CI': array([0.95062846, 1.10273041]), 'Gelman-Rubin': 1.0003239904237202}",No
4,Noninfective enteritis and colitis|diseases of the digestive system$M$61-,diseases of the digestive system,0.9202611615843311,"{'CI': array([0.85513276, 0.98495399]), 'Gelman-Rubin': 0.9998310519067873}",Yes,0.9665255807499694,"{'CI': array([0.89462039, 1.04133053]), 'Gelman-Rubin': 1.0000235888323328}",No
5,Other diseases of intestines|diseases of the digestive system$F$21-40,diseases of the digestive system,0.9006412980903461,"{'CI': array([0.80840016, 0.98994459]), 'Gelman-Rubin': 0.9997560638880554}",Yes,1.046913728583587,"{'CI': array([0.95174143, 1.15809818]), 'Gelman-Rubin': 0.9999669735628028}",No
6,Episodic and paroxysmal disorders|diseases of the nervous system$F$0-10,diseases of the nervous system,1.127076106413132,"{'CI': array([1.00026672, 1.27695355]), 'Gelman-Rubin': 0.9998661260496258}",Yes,1.0194371972136396,"{'CI': array([0.89514957, 1.15283598]), 'Gelman-Rubin': 0.9997744194516184}",No
7,Influenza and pneumonia|diseases of the respiratory system$M$61-,diseases of the respiratory system,1.045645675589267,"{'CI': array([1.00426365, 1.08810857]), 'Gelman-Rubin': 1.0000295097715115}",Yes,0.9614227660387213,"{'CI': array([0.91794363, 1.00540018]), 'Gelman-Rubin': 0.9998025845803489}",No
8,Lung diseases due to external agents|diseases of the respiratory system$F$61-,diseases of the respiratory system,0.8927047918882624,"{'CI': array([0.7928657 , 0.99716835]), 'Gelman-Rubin': 0.9998714122531576}",Yes,1.0185253000923797,"{'CI': array([0.89942561, 1.14707825]), 'Gelman-Rubin': 1.0003018019199756}",No
9,"Abdomen, lower back, lumbar spine and pelvis|injury$M$41-60",injury,1.172977639790014,"{'CI': array([1.05674246, 1.29962603]), 'Gelman-Rubin': 0.9997924157591703}",Yes,1.0048633153614381,"{'CI': array([0.89622118, 1.10263859]), 'Gelman-Rubin': 0.9998559147083972}",No
10,Thorax|injury$M$41-60,injury,1.126978907408195,"{'CI': array([1.02079432, 1.25093396]), 'Gelman-Rubin': 0.9998409811626965}",Yes,1.042344028260532,"{'CI': array([0.94643852, 1.16008361]), 'Gelman-Rubin': 1.0002797363250946}",No
11,Mental and behavioural disorders due to psychoactive substance use|mental and behavioural disorders$M$21-40,mental and behavioural disorders,0.9290410460707338,"{'CI': array([0.8666045 , 0.99660919]), 'Gelman-Rubin': 0.9998385358021014}",Yes,1.0402999897257836,"{'CI': array([0.96950602, 1.12536504]), 'Gelman-Rubin': 0.9999085483795479}",No
12,Mood (affective) disorders|mental and behavioural disorders$F$41-60,mental and behavioural disorders,0.937254459452398,"{'CI': array([0.88323649, 0.99322778]), 'Gelman-Rubin': 0.9998385606536075}",Yes,1.0141940861504204,"{'CI': array([0.95605746, 1.07505715]), 'Gelman-Rubin': 1.000259093440835}",No
13,Circulatory and respiratory systems|symptoms and signs$F$21-40,symptoms and signs,1.0726592442112075,"{'CI': array([1.0040809 , 1.14732604]), 'Gelman-Rubin': 1.0000439951047397}",Yes,1.0212621600557448,"{'CI': array([0.95338976, 1.09793688]), 'Gelman-Rubin': 0.9999616145588603}",No
14,Digestive system and abdomen|symptoms and signs$F$41-60,symptoms and signs,0.95387332060929,"{'CI': array([0.91528759, 0.99082234]), 'Gelman-Rubin': 0.9998275262381657}",Yes,1.0122484092703217,"{'CI': array([0.9667466 , 1.05614266]), 'Gelman-Rubin': 1.0002579991360951}",No
