,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9616091518838007,"{'CI': array([0.79282261, 1.17722471]), 'Gelman-Rubin': 0.9999080851969537}",No,0.96213475415064,"{'CI': array([0.79501028, 1.18086063]), 'Gelman-Rubin': 0.9997903648809227}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0284769658590525,"{'CI': array([0.86280303, 1.18653645]), 'Gelman-Rubin': 0.9999534127263721}",No,0.9746114637885958,"{'CI': array([0.83581964, 1.13450704]), 'Gelman-Rubin': 0.9999890406312661}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0063532730042901,"{'CI': array([0.81987406, 1.22171414]), 'Gelman-Rubin': 1.0000253453231591}",No,1.1023042552824527,"{'CI': array([0.90867159, 1.35202062]), 'Gelman-Rubin': 1.0000772517810605}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.026315861912092,"{'CI': array([0.87930162, 1.20344399]), 'Gelman-Rubin': 0.9998981675674076}",No,1.0582576072893122,"{'CI': array([0.9132431 , 1.22658242]), 'Gelman-Rubin': 0.999824743613717}",No
4,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0118529246417143,"{'CI': array([0.81826468, 1.25779775]), 'Gelman-Rubin': 0.9997540970200776}",No,1.00149945824706,"{'CI': array([0.81768351, 1.2502994 ]), 'Gelman-Rubin': 0.9997583260073537}",No
5,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.018223980784254,"{'CI': array([0.83337068, 1.22769988]), 'Gelman-Rubin': 0.9998134503405409}",No,1.069810448769591,"{'CI': array([0.88145164, 1.27815342]), 'Gelman-Rubin': 0.9998547380307732}",No
6,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0268181003666859,"{'CI': array([0.83429732, 1.24489656]), 'Gelman-Rubin': 0.9997741866523479}",No,0.9803236138928786,"{'CI': array([0.80352552, 1.18108674]), 'Gelman-Rubin': 0.9998605150627057}",No
7,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",1.188963495189407,"{'CI': array([0.97047096, 1.44891655]), 'Gelman-Rubin': 0.999868082915763}",No,1.0728605627621792,"{'CI': array([0.8796085 , 1.28950393]), 'Gelman-Rubin': 0.9998470626759057}",No
8,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$61-","bacterial infections, and other intestinal infectious diseases, and stds",1.0597230437298892,"{'CI': array([0.85911308, 1.27717176]), 'Gelman-Rubin': 0.9998676792005957}",No,0.9715158995156998,"{'CI': array([0.79309569, 1.17047244]), 'Gelman-Rubin': 1.0000139351981132}",No
9,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$41-60","bacterial infections, and other intestinal infectious diseases, and stds",0.9813092507918663,"{'CI': array([0.81132252, 1.18581544]), 'Gelman-Rubin': 0.9998853470121091}",No,0.9582469460725944,"{'CI': array([0.77758398, 1.15594175]), 'Gelman-Rubin': 0.9998260443942392}",No
10,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",1.0617668765884263,"{'CI': array([0.90778725, 1.22510239]), 'Gelman-Rubin': 1.0000312111324536}",No,0.9961106747161902,"{'CI': array([0.85289563, 1.16848281]), 'Gelman-Rubin': 1.0000165137819472}",No
11,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$41-60","bacterial infections, and other intestinal infectious diseases, and stds",0.8839991831387637,"{'CI': array([0.71366621, 1.09963883]), 'Gelman-Rubin': 0.9999151601582941}",No,0.8666020820795058,"{'CI': array([0.7075775 , 1.03846369]), 'Gelman-Rubin': 1.0001355113575199}",No
12,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$61-","bacterial infections, and other intestinal infectious diseases, and stds",0.9812020649716147,"{'CI': array([0.84403419, 1.13205265]), 'Gelman-Rubin': 0.9997798542450743}",No,0.9646698239399234,"{'CI': array([0.82862739, 1.12771735]), 'Gelman-Rubin': 0.9999641934464676}",No
13,Disorders related to length of gestation and fetal growth|certain conditions originating in the perinatal period$F$0-10,certain conditions originating in the perinatal period,0.9389051788523282,"{'CI': array([0.79224671, 1.11367599]), 'Gelman-Rubin': 0.9998532330970028}",No,0.9491498498076524,"{'CI': array([0.80285579, 1.10596094]), 'Gelman-Rubin': 0.9998885713426555}",No
14,Disorders related to length of gestation and fetal growth|certain conditions originating in the perinatal period$M$0-10,certain conditions originating in the perinatal period,0.9360831508919634,"{'CI': array([0.77699534, 1.09404546]), 'Gelman-Rubin': 0.9998033226390124}",No,0.9702763560286318,"{'CI': array([0.82741572, 1.12315981]), 'Gelman-Rubin': 0.9999606062836569}",No
15,Respiratory and cardiovascular disorders specific to the perinatal period|certain conditions originating in the perinatal period$F$0-10,certain conditions originating in the perinatal period,0.850761096893752,"{'CI': array([0.67652185, 1.07837306]), 'Gelman-Rubin': 0.9997791013980336}",No,1.0626438854672333,"{'CI': array([0.89147634, 1.27018116]), 'Gelman-Rubin': 0.9997967473853009}",No
16,Respiratory and cardiovascular disorders specific to the perinatal period|certain conditions originating in the perinatal period$M$0-10,certain conditions originating in the perinatal period,1.110790664053204,"{'CI': array([0.94577022, 1.32325026]), 'Gelman-Rubin': 1.0001519833294794}",No,0.9445250117637934,"{'CI': array([0.76825244, 1.13401817]), 'Gelman-Rubin': 0.9999627132023817}",No
17,Aplastic and other anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$F$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.9890775275470879,"{'CI': array([0.82064747, 1.17167038]), 'Gelman-Rubin': 0.9998084665014685}",No,0.9822889792388422,"{'CI': array([0.81626128, 1.16823221]), 'Gelman-Rubin': 0.9998852858165453}",No
