,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9360092382585853,"{'CI': array([0.69321951, 1.22691482]), 'Error Bound': 2.850742513984352e-96, 'Reliable CI?': 'Yes'}","{'CI': array([0.69321951, 1.22691482]), 'Error Bound': 2.850742513984352e-96, 'Reliable CI?': 'Yes'}",No,0.8930819104018696,"{'CI': array([0.64232561, 1.19635722]), 'Error Bound': 9.910146855449582e-85, 'Reliable CI?': 'Yes'}","{'CI': array([0.64232561, 1.19635722]), 'Error Bound': 9.910146855449582e-85, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.04835117943195,"{'CI': array([0.86237928, 1.26015931]), 'Error Bound': 9.296666191475374e-196, 'Reliable CI?': 'Yes'}","{'CI': array([0.86237928, 1.26015931]), 'Error Bound': 9.296666191475374e-196, 'Reliable CI?': 'Yes'}",No,0.9339590448549018,"{'CI': array([0.75802595, 1.13383638]), 'Error Bound': 2.318371981931674e-188, 'Reliable CI?': 'Yes'}","{'CI': array([0.75802595, 1.13383638]), 'Error Bound': 2.318371981931674e-188, 'Reliable CI?': 'Yes'}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0190291326608703,"{'CI': array([0.76919537, 1.31842043]), 'Error Bound': 1.6861880465641766e-101, 'Reliable CI?': 'Yes'}","{'CI': array([0.76919537, 1.31842043]), 'Error Bound': 1.6861880465641766e-101, 'Reliable CI?': 'Yes'}",No,1.2093865998595574,"{'CI': array([0.90620123, 1.58311519]), 'Error Bound': 2.1919463043267822e-85, 'Reliable CI?': 'Yes'}","{'CI': array([0.90620123, 1.58311519]), 'Error Bound': 2.1919463043267822e-85, 'Reliable CI?': 'Yes'}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0416659682756932,"{'CI': array([0.86432073, 1.24241261]), 'Error Bound': 2.7488549311106888e-214, 'Reliable CI?': 'Yes'}","{'CI': array([0.86432073, 1.24241261]), 'Error Bound': 2.7488549311106888e-214, 'Reliable CI?': 'Yes'}",No,1.0586163470318342,"{'CI': array([0.87422471, 1.2682588 ]), 'Error Bound': 4.227158157075763e-202, 'Reliable CI?': 'Yes'}","{'CI': array([0.87422471, 1.2682588 ]), 'Error Bound': 4.227158157075763e-202, 'Reliable CI?': 'Yes'}",No
4,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0415982725695316,"{'CI': array([0.73818043, 1.42065186]), 'Error Bound': 1.7623339837351498e-69, 'Reliable CI?': 'Yes'}","{'CI': array([0.73818043, 1.42065186]), 'Error Bound': 1.7623339837351498e-69, 'Reliable CI?': 'Yes'}",No,0.9826666793577798,"{'CI': array([0.64809835, 1.41387405]), 'Error Bound': 1.7804765151253123e-52, 'Reliable CI?': 'Yes'}","{'CI': array([0.64809835, 1.41387405]), 'Error Bound': 1.7804765151253123e-52, 'Reliable CI?': 'Yes'}",No
5,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0422478840013618,"{'CI': array([0.77970529, 1.3595335 ]), 'Error Bound': 2.557363332255579e-94, 'Reliable CI?': 'Yes'}","{'CI': array([0.77970529, 1.3595335 ]), 'Error Bound': 2.557363332255579e-94, 'Reliable CI?': 'Yes'}",No,1.1411301876918245,"{'CI': array([0.83956746, 1.51426638]), 'Error Bound': 1.0020251517901936e-79, 'Reliable CI?': 'Yes'}","{'CI': array([0.83956746, 1.51426638]), 'Error Bound': 1.0020251517901936e-79, 'Reliable CI?': 'Yes'}",No
6,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0611114132302928,"{'CI': array([0.79043219, 1.38991938]), 'Error Bound': 1.2741599589282447e-90, 'Reliable CI?': 'Yes'}","{'CI': array([0.79043219, 1.38991938]), 'Error Bound': 1.2741599589282447e-90, 'Reliable CI?': 'Yes'}",No,0.938626879570482,"{'CI': array([0.69658298, 1.22834771]), 'Error Bound': 2.2496729795978453e-97, 'Reliable CI?': 'Yes'}","{'CI': array([0.69658298, 1.22834771]), 'Error Bound': 2.2496729795978453e-97, 'Reliable CI?': 'Yes'}",No
7,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",1.3915759134791148,"{'CI': array([1.06282795, 1.79936096]), 'Error Bound': 1.4434580518005804e-87, 'Reliable CI?': 'Yes'}","{'CI': array([0.99124545, 1.91558475]), 'Error Bound': 1.4434580518005804e-87, 'Reliable CI?': 'Yes'}",No,1.1488175209692861,"{'CI': array([0.84635674, 1.52312548]), 'Error Bound': 6.063982010985363e-80, 'Reliable CI?': 'Yes'}","{'CI': array([0.84635674, 1.52312548]), 'Error Bound': 6.063982010985363e-80, 'Reliable CI?': 'Yes'}",No
8,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$61-","bacterial infections, and other intestinal infectious diseases, and stds",1.1292594797770055,"{'CI': array([0.83800394, 1.48709593]), 'Error Bound': 1.6015923216462106e-84, 'Reliable CI?': 'Yes'}","{'CI': array([0.83800394, 1.48709593]), 'Error Bound': 1.6015923216462106e-84, 'Reliable CI?': 'Yes'}",No,0.9083304194414314,"{'CI': array([0.63846045, 1.23961883]), 'Error Bound': 2.782040908486246e-74, 'Reliable CI?': 'Yes'}","{'CI': array([0.63846045, 1.23961883]), 'Error Bound': 2.782040908486246e-74, 'Reliable CI?': 'Yes'}",No
9,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$41-60","bacterial infections, and other intestinal infectious diseases, and stds",0.9763873770693019,"{'CI': array([0.75250262, 1.23991761]), 'Error Bound': 1.1795489561818489e-120, 'Reliable CI?': 'Yes'}","{'CI': array([0.75250262, 1.23991761]), 'Error Bound': 1.1795489561818489e-120, 'Reliable CI?': 'Yes'}",No,0.8903143858399482,"{'CI': array([0.66027729, 1.16384577]), 'Error Bound': 4.618886532125816e-101, 'Reliable CI?': 'Yes'}","{'CI': array([0.66027729, 1.16384577]), 'Error Bound': 4.618886532125816e-101, 'Reliable CI?': 'Yes'}",No
