,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.936156580396496,"{'CI': array([0.69360483, 1.22671769]), 'Error Bound': 1.7263554966623426e-96, 'Reliable CI?': 'Yes'}","{'CI': array([0.69360483, 1.22671769]), 'Error Bound': 1.7263554966623426e-96, 'Reliable CI?': 'Yes'}",No,0.8933672788565252,"{'CI': array([0.64286907, 1.19625889]), 'Error Bound': 6.000692534135766e-85, 'Reliable CI?': 'Yes'}","{'CI': array([0.64286907, 1.19625889]), 'Error Bound': 6.000692534135766e-85, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0482974431641636,"{'CI': array([0.86243084, 1.25996951]), 'Error Bound': 5.628901220761267e-196, 'Reliable CI?': 'Yes'}","{'CI': array([0.86243084, 1.25996951]), 'Error Bound': 5.628901220761267e-196, 'Reliable CI?': 'Yes'}",No,0.9340380411962196,"{'CI': array([0.75819313, 1.13380085]), 'Error Bound': 1.4036979781119744e-188, 'Reliable CI?': 'Yes'}","{'CI': array([0.75819313, 1.13380085]), 'Error Bound': 1.4036979781119744e-188, 'Reliable CI?': 'Yes'}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.018986995979305,"{'CI': array([0.7694149 , 1.31800342]), 'Error Bound': 1.021105022330632e-101, 'Reliable CI?': 'Yes'}","{'CI': array([0.7694149 , 1.31800342]), 'Error Bound': 1.021105022330632e-101, 'Reliable CI?': 'Yes'}",No,1.2088438682712812,"{'CI': array([0.90611303, 1.58189669]), 'Error Bound': 1.3271921734663026e-85, 'Reliable CI?': 'Yes'}","{'CI': array([0.90611303, 1.58189669]), 'Error Bound': 1.3271921734663026e-85, 'Reliable CI?': 'Yes'}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0416238924232852,"{'CI': array([0.86436981, 1.24225411]), 'Error Bound': 1.6638033197302933e-214, 'Reliable CI?': 'Yes'}","{'CI': array([0.86436981, 1.24225411]), 'Error Bound': 1.6638033197302933e-214, 'Reliable CI?': 'Yes'}",No,1.0585542533208048,"{'CI': array([0.87426492, 1.26806505]), 'Error Bound': 2.5585967010879073e-202, 'Reliable CI?': 'Yes'}","{'CI': array([0.87426492, 1.26806505]), 'Error Bound': 2.5585967010879073e-202, 'Reliable CI?': 'Yes'}",No
4,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0414634518962231,"{'CI': array([0.73852207, 1.41977789]), 'Error Bound': 1.0668771241769254e-69, 'Reliable CI?': 'Yes'}","{'CI': array([0.73852207, 1.41977789]), 'Error Bound': 1.0668771241769254e-69, 'Reliable CI?': 'Yes'}",No,0.9827479899837027,"{'CI': array([0.64882454, 1.41288136]), 'Error Bound': 1.0773575191130693e-52, 'Reliable CI?': 'Yes'}","{'CI': array([0.64882454, 1.41288136]), 'Error Bound': 1.0773575191130693e-52, 'Reliable CI?': 'Yes'}",No
5,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0421494739558028,"{'CI': array([0.77991092, 1.3589933 ]), 'Error Bound': 1.5484270246938257e-94, 'Reliable CI?': 'Yes'}","{'CI': array([0.77991092, 1.3589933 ]), 'Error Bound': 1.5484270246938257e-94, 'Reliable CI?': 'Yes'}",No,1.1407392728614592,"{'CI': array([0.83963337, 1.51318728]), 'Error Bound': 6.0661568935025296e-80, 'Reliable CI?': 'Yes'}","{'CI': array([0.83963337, 1.51318728]), 'Error Bound': 6.0661568935025296e-80, 'Reliable CI?': 'Yes'}",No
6,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.060962840086472,"{'CI': array([0.79061692, 1.38928252]), 'Error Bound': 7.713677772345546e-91, 'Reliable CI?': 'Yes'}","{'CI': array([0.79061692, 1.38928252]), 'Error Bound': 7.713677772345546e-91, 'Reliable CI?': 'Yes'}",No,0.9387705508483933,"{'CI': array([0.69696173, 1.22815186]), 'Error Bound': 1.3619530245455368e-97, 'Reliable CI?': 'Yes'}","{'CI': array([0.69696173, 1.22815186]), 'Error Bound': 1.3619530245455368e-97, 'Reliable CI?': 'Yes'}",No
7,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",1.3905809303949428,"{'CI': array([1.06237564, 1.79755997]), 'Error Bound': 8.73937150351376e-88, 'Reliable CI?': 'Yes'}","{'CI': array([0.99090227, 1.91352086]), 'Error Bound': 8.73937150351376e-88, 'Reliable CI?': 'Yes'}",No,1.1484063218395895,"{'CI': array([0.8464056 , 1.52202148]), 'Error Bound': 3.6710808055468456e-80, 'Reliable CI?': 'Yes'}","{'CI': array([0.8464056 , 1.52202148]), 'Error Bound': 3.6710808055468456e-80, 'Reliable CI?': 'Yes'}",No
8,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$61-","bacterial infections, and other intestinal infectious diseases, and stds",1.128920071274407,"{'CI': array([0.83807677, 1.48614333]), 'Error Bound': 9.695495518829855e-85, 'Reliable CI?': 'Yes'}","{'CI': array([0.83807677, 1.48614333]), 'Error Bound': 9.695495518829855e-85, 'Reliable CI?': 'Yes'}",No,0.9086112044165933,"{'CI': array([0.63906736, 1.23940103]), 'Error Bound': 1.683936770012916e-74, 'Reliable CI?': 'Yes'}","{'CI': array([0.63906736, 1.23940103]), 'Error Bound': 1.683936770012916e-74, 'Reliable CI?': 'Yes'}",No
9,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$41-60","bacterial infections, and other intestinal infectious diseases, and stds",0.9764303510488419,"{'CI': array([0.75273213, 1.23970152]), 'Error Bound': 7.144041150631692e-121, 'Reliable CI?': 'Yes'}","{'CI': array([0.75273213, 1.23970152]), 'Error Bound': 7.144041150631692e-121, 'Reliable CI?': 'Yes'}",No,0.8905588093997969,"{'CI': array([0.66071924, 1.16380659]), 'Error Bound': 2.7971780226570845e-101, 'Reliable CI?': 'Yes'}","{'CI': array([0.66071924, 1.16380659]), 'Error Bound': 2.7971780226570845e-101, 'Reliable CI?': 'Yes'}",No
