,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.001765430440273,"{'CI': array([0.88989845, 1.11159848]), 'Gelman-Rubin': 0.9999479326865205}",No,0.9929640321405695,"{'CI': array([0.89409262, 1.08845523]), 'Gelman-Rubin': 0.999939776656649}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",0.9783294835424178,"{'CI': array([0.87271251, 1.09714202]), 'Gelman-Rubin': 0.9999476634686755}",No,0.9750427467122066,"{'CI': array([0.88325021, 1.07325235]), 'Gelman-Rubin': 0.9998074099121137}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0433957300215384,"{'CI': array([0.95481795, 1.13724209]), 'Gelman-Rubin': 0.9999624985504559}",No,1.042112298446219,"{'CI': array([0.96279356, 1.12518068]), 'Gelman-Rubin': 0.9998982106252123}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9836311155320923,"{'CI': array([0.9293965 , 1.03824421]), 'Gelman-Rubin': 0.9998650854723004}",No,0.9884212394530609,"{'CI': array([0.93559861, 1.03719869]), 'Gelman-Rubin': 0.9998113630487504}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.011159304717213,"{'CI': array([0.97352876, 1.05362326]), 'Gelman-Rubin': 0.9997649542060638}",No,0.9648433886580671,"{'CI': array([0.92810251, 1.00532122]), 'Gelman-Rubin': 0.9998670374355482}",No
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0078640494370108,"{'CI': array([0.90529627, 1.12362274]), 'Gelman-Rubin': 0.9998041031695134}",No,1.011259827648252,"{'CI': array([0.92198368, 1.10446043]), 'Gelman-Rubin': 0.9998560251443965}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0322865781709651,"{'CI': array([0.92053024, 1.15385403]), 'Gelman-Rubin': 1.000303467188324}",No,1.0154113604071398,"{'CI': array([0.91267812, 1.10751812]), 'Gelman-Rubin': 0.9999997408067071}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0155244972789943,"{'CI': array([0.919671  , 1.11294231]), 'Gelman-Rubin': 0.9998607391788977}",No,1.017752098165188,"{'CI': array([0.93335166, 1.10421858]), 'Gelman-Rubin': 0.9998554331550463}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.988831798473864,"{'CI': array([0.9390485, 1.0448124]), 'Gelman-Rubin': 0.999911307086712}",No,1.01287729676267,"{'CI': array([0.96311686, 1.06752099]), 'Gelman-Rubin': 0.9998527041239861}",No
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.012791460934151,"{'CI': array([0.97663648, 1.05189393]), 'Gelman-Rubin': 1.0002245846371551}",No,1.0036832963523599,"{'CI': array([0.96331309, 1.04157126]), 'Gelman-Rubin': 0.999790686463671}",No
10,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",0.9855441371776255,"{'CI': array([0.8612079 , 1.11496136]), 'Gelman-Rubin': 0.9997599271483888}",No,1.0121926365062273,"{'CI': array([0.9140894 , 1.11866508]), 'Gelman-Rubin': 0.9998622573686337}",No
11,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9935554215804537,"{'CI': array([0.8983705 , 1.09086724]), 'Gelman-Rubin': 0.999826395285652}",No,1.0337537956886333,"{'CI': array([0.9462373 , 1.12525446]), 'Gelman-Rubin': 1.0001518320936231}",No
12,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9330962713888732,"{'CI': array([0.87333201, 1.00446868]), 'Gelman-Rubin': 0.9999477284246931}",No,0.9657850978517,"{'CI': array([0.90013013, 1.02729433]), 'Gelman-Rubin': 0.9998048298375134}",No
