,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0187662757624505,"{'CI': array([0.82022203, 1.24739951]), 'Error Bound': 3.9725284996917836e-164, 'Reliable CI?': 'Yes'}","{'CI': array([0.82022203, 1.24739951]), 'Error Bound': 3.9725284996917836e-164, 'Reliable CI?': 'Yes'}",No,0.9547490324182804,"{'CI': array([0.74321092, 1.20161759]), 'Error Bound': 6.134822506894468e-132, 'Reliable CI?': 'Yes'}","{'CI': array([0.74321092, 1.20161759]), 'Error Bound': 6.134822506894468e-132, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",0.922886177603059,"{'CI': array([0.7041337 , 1.18013201]), 'Error Bound': 1.4025418050693418e-117, 'Reliable CI?': 'Yes'}","{'CI': array([0.7041337 , 1.18013201]), 'Error Bound': 1.4025418050693418e-117, 'Reliable CI?': 'Yes'}",No,0.8339669414537478,"{'CI': array([0.62634025, 1.07720122]), 'Error Bound': 5.724331936888191e-115, 'Reliable CI?': 'Yes'}","{'CI': array([0.62634025, 1.07720122]), 'Error Bound': 5.724331936888191e-115, 'Reliable CI?': 'Yes'}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0913481691517757,"{'CI': array([0.966075 , 1.2276685]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.966075 , 1.2276685]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.10472233526804,"{'CI': array([0.97008359, 1.25213169]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97008359, 1.25213169]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9906396287282134,"{'CI': array([0.93263939, 1.05097982]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93263939, 1.05097982]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9789753208109554,"{'CI': array([0.91834705, 1.04217401]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91834705, 1.04217401]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0227315648543305,"{'CI': array([0.98190522, 1.06469056]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98190522, 1.06469056]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9534937780141712,"{'CI': array([0.91213677, 0.99604011]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90118801, 1.00771653]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0335806361009081,"{'CI': array([0.86168957, 1.22745308]), 'Error Bound': 4.3149335932496835e-226, 'Reliable CI?': 'Yes'}","{'CI': array([0.86168957, 1.22745308]), 'Error Bound': 4.3149335932496835e-226, 'Reliable CI?': 'Yes'}",No,1.0475694779911862,"{'CI': array([0.85548258, 1.26734782]), 'Error Bound': 7.930191181176446e-183, 'Reliable CI?': 'Yes'}","{'CI': array([0.85548258, 1.26734782]), 'Error Bound': 7.930191181176446e-183, 'Reliable CI?': 'Yes'}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.1500026911263785,"{'CI': array([0.90586855, 1.43891213]), 'Error Bound': 1.251981987666534e-125, 'Reliable CI?': 'Yes'}","{'CI': array([0.90586855, 1.43891213]), 'Error Bound': 1.251981987666534e-125, 'Reliable CI?': 'Yes'}",No,1.0929964374721615,"{'CI': array([0.85942976, 1.3680739 ]), 'Error Bound': 1.1271426649663654e-128, 'Reliable CI?': 'Yes'}","{'CI': array([0.85942976, 1.3680739 ]), 'Error Bound': 1.1271426649663654e-128, 'Reliable CI?': 'Yes'}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0427348122876516,"{'CI': array([0.91362865, 1.18381191]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91362865, 1.18381191]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.04369890101979,"{'CI': array([0.90768591, 1.19304399]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90768591, 1.19304399]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9974419177532233,"{'CI': array([0.9439022 , 1.05296457]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9439022 , 1.05296457]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0110845043351537,"{'CI': array([0.95362283, 1.07082448]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95362283, 1.07082448]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.024345847789617,"{'CI': array([0.98486331, 1.06488596]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98486331, 1.06488596]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9985221011053559,"{'CI': array([0.95689218, 1.04133882]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95689218, 1.04133882]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
10,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",0.9377393834441744,"{'CI': array([0.67028865, 1.26470994]), 'Error Bound': 7.750198437202607e-79, 'Reliable CI?': 'Yes'}","{'CI': array([0.67028865, 1.26470994]), 'Error Bound': 7.750198437202607e-79, 'Reliable CI?': 'Yes'}",No,1.1272619979253835,"{'CI': array([0.81830051, 1.51222815]), 'Error Bound': 1.7579316708208491e-74, 'Reliable CI?': 'Yes'}","{'CI': array([0.81830051, 1.51222815]), 'Error Bound': 1.7579316708208491e-74, 'Reliable CI?': 'Yes'}",No
11,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9980627678863652,"{'CI': array([0.85808681, 1.15245483]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.85808681, 1.15245483]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.104930960928629,"{'CI': array([0.94648414, 1.28136528]), 'Error Bound': 6.773590191721857e-294, 'Reliable CI?': 'Yes'}","{'CI': array([0.94648414, 1.28136528]), 'Error Bound': 6.773590191721857e-294, 'Reliable CI?': 'Yes'}",No
12,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9215899243581744,"{'CI': array([0.84903205, 0.99793924]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.83344752, 1.01539089]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9401738214556612,"{'CI': array([0.86417675, 1.02031013]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.86417675, 1.02031013]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
13,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0034080184122511,"{'CI': array([0.9460765 , 1.06301348]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9460765 , 1.06301348]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9763812824589473,"{'CI': array([0.9152492 , 1.04012732]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9152492 , 1.04012732]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
14,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9689928306816264,"{'CI': array([0.71618703, 1.2737149 ]), 'Error Bound': 1.487493838722151e-92, 'Reliable CI?': 'Yes'}","{'CI': array([0.71618703, 1.2737149 ]), 'Error Bound': 1.487493838722151e-92, 'Reliable CI?': 'Yes'}",No,1.0717723289526664,"{'CI': array([0.79772002, 1.40530806]), 'Error Bound': 1.6599334844732494e-89, 'Reliable CI?': 'Yes'}","{'CI': array([0.79772002, 1.40530806]), 'Error Bound': 1.6599334844732494e-89, 'Reliable CI?': 'Yes'}",No
15,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.2586807165893903,"{'CI': array([0.93346301, 1.66497723]), 'Error Bound': 9.511197358015756e-78, 'Reliable CI?': 'Yes'}","{'CI': array([0.93346301, 1.66497723]), 'Error Bound': 9.511197358015756e-78, 'Reliable CI?': 'Yes'}",No,0.8959195434861686,"{'CI': array([0.64496414, 1.19942737]), 'Error Bound': 6.201142360974287e-85, 'Reliable CI?': 'Yes'}","{'CI': array([0.64496414, 1.19942737]), 'Error Bound': 6.201142360974287e-85, 'Reliable CI?': 'Yes'}",No
16,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.06710400927598,"{'CI': array([0.90200406, 1.25212122]), 'Error Bound': 5.996881010911856e-257, 'Reliable CI?': 'Yes'}","{'CI': array([0.90200406, 1.25212122]), 'Error Bound': 5.996881010911856e-257, 'Reliable CI?': 'Yes'}",No,0.8455693286219593,"{'CI': array([0.70490515, 1.00164392]), 'Error Bound': 4.918425879989155e-263, 'Reliable CI?': 'Yes'}","{'CI': array([0.70490515, 1.00164392]), 'Error Bound': 4.918425879989155e-263, 'Reliable CI?': 'Yes'}",No
17,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0234253641280906,"{'CI': array([0.94951616, 1.1011328 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94951616, 1.1011328 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9941034247134017,"{'CI': array([0.91884168, 1.07334595]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91884168, 1.07334595]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
18,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0227152863960853,"{'CI': array([0.96517087, 1.08253555]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96517087, 1.08253555]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9662916320269193,"{'CI': array([0.90734583, 1.02767269]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90734583, 1.02767269]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
19,"On examination of urine, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.1807830509111574,"{'CI': array([0.84735046, 1.60263998]), 'Error Bound': 1.645926701089158e-67, 'Reliable CI?': 'Yes'}","{'CI': array([0.84735046, 1.60263998]), 'Error Bound': 1.645926701089158e-67, 'Reliable CI?': 'Yes'}",No,1.3042021321255042,"{'CI': array([0.90415437, 1.83194469]), 'Error Bound': 1.0913946713093747e-52, 'Reliable CI?': 'Yes'}","{'CI': array([0.90415437, 1.83194469]), 'Error Bound': 1.0913946713093747e-52, 'Reliable CI?': 'Yes'}",No
20,"On examination of urine, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",0.9115819218680684,"{'CI': array([0.73062285, 1.11820489]), 'Error Bound': 5.963163393991048e-172, 'Reliable CI?': 'Yes'}","{'CI': array([0.73062285, 1.11820489]), 'Error Bound': 5.963163393991048e-172, 'Reliable CI?': 'Yes'}",No,0.9801868722184774,"{'CI': array([0.76525328, 1.23126962]), 'Error Bound': 2.270171645302224e-132, 'Reliable CI?': 'Yes'}","{'CI': array([0.76525328, 1.23126962]), 'Error Bound': 2.270171645302224e-132, 'Reliable CI?': 'Yes'}",No
21,"On examination of urine, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.116103431819353,"{'CI': array([0.80441637, 1.50571239]), 'Error Bound': 4.381769667807847e-72, 'Reliable CI?': 'Yes'}","{'CI': array([0.80441637, 1.50571239]), 'Error Bound': 4.381769667807847e-72, 'Reliable CI?': 'Yes'}",No,1.0728458497267246,"{'CI': array([0.75682428, 1.47062232]), 'Error Bound': 2.0218903033137725e-66, 'Reliable CI?': 'Yes'}","{'CI': array([0.75682428, 1.47062232]), 'Error Bound': 2.0218903033137725e-66, 'Reliable CI?': 'Yes'}",No
22,"On examination of urine, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.1180312743469125,"{'CI': array([0.89232042, 1.38191881]), 'Error Bound': 1.3569347318410309e-142, 'Reliable CI?': 'Yes'}","{'CI': array([0.89232042, 1.38191881]), 'Error Bound': 1.3569347318410309e-142, 'Reliable CI?': 'Yes'}",No,1.0219795916288998,"{'CI': array([0.80562157, 1.27442972]), 'Error Bound': 5.0146919210341243e-138, 'Reliable CI?': 'Yes'}","{'CI': array([0.80562157, 1.27442972]), 'Error Bound': 5.0146919210341243e-138, 'Reliable CI?': 'Yes'}",No
23,"Certain zoonotic bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$21-40","bacterial infections, and other intestinal infectious diseases, and stds",0.9559503304302553,"{'CI': array([0.74173294, 1.20647409]), 'Error Bound': 1.1311043344808126e-128, 'Reliable CI?': 'Yes'}","{'CI': array([0.74173294, 1.20647409]), 'Error Bound': 1.1311043344808126e-128, 'Reliable CI?': 'Yes'}",No,0.9554414945918582,"{'CI': array([0.72379594, 1.23008605]), 'Error Bound': 2.6072941018771227e-109, 'Reliable CI?': 'Yes'}","{'CI': array([0.72379594, 1.23008605]), 'Error Bound': 2.6072941018771227e-109, 'Reliable CI?': 'Yes'}",No
24,"Certain zoonotic bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$41-60","bacterial infections, and other intestinal infectious diseases, and stds",1.0929776946981133,"{'CI': array([0.96846365, 1.22839254]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96846365, 1.22839254]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9547350176784324,"{'CI': array([0.84018686, 1.07890269]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.84018686, 1.07890269]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
25,"Certain zoonotic bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",0.9860057643638612,"{'CI': array([0.91406623, 1.06158436]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91406623, 1.06158436]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9998266087198412,"{'CI': array([0.92252456, 1.08132125]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92252456, 1.08132125]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
26,"Certain zoonotic bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$21-40","bacterial infections, and other intestinal infectious diseases, and stds",1.0819330225716537,"{'CI': array([0.80102494, 1.42545704]), 'Error Bound': 5.064250731216931e-86, 'Reliable CI?': 'Yes'}","{'CI': array([0.80102494, 1.42545704]), 'Error Bound': 5.064250731216931e-86, 'Reliable CI?': 'Yes'}",No,0.9159774345667395,"{'CI': array([0.69168381, 1.18098624]), 'Error Bound': 1.2897783635883629e-110, 'Reliable CI?': 'Yes'}","{'CI': array([0.69168381, 1.18098624]), 'Error Bound': 1.2897783635883629e-110, 'Reliable CI?': 'Yes'}",No
27,"Certain zoonotic bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$41-60","bacterial infections, and other intestinal infectious diseases, and stds",0.9607959867196766,"{'CI': array([0.84958912, 1.08103217]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.84958912, 1.08103217]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9535456280346872,"{'CI': array([0.84207918, 1.07410345]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.84207918, 1.07410345]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
28,"Certain zoonotic bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$61-","bacterial infections, and other intestinal infectious diseases, and stds",1.034810134943833,"{'CI': array([0.96212265, 1.11115157]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96212265, 1.11115157]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9775818694823288,"{'CI': array([0.90611722, 1.05264328]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90611722, 1.05264328]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
29,"Infections with a predominantly sexual mode of transmission|bacterial infections, and other intestinal infectious diseases, and stds$F$21-40","bacterial infections, and other intestinal infectious diseases, and stds",1.0313579317117094,"{'CI': array([0.85372398, 1.23257109]), 'Error Bound': 1.1940510450514257e-210, 'Reliable CI?': 'Yes'}","{'CI': array([0.85372398, 1.23257109]), 'Error Bound': 1.1940510450514257e-210, 'Reliable CI?': 'Yes'}",No,0.9412639405401911,"{'CI': array([0.76800575, 1.13762722]), 'Error Bound': 1.6125995382686529e-196, 'Reliable CI?': 'Yes'}","{'CI': array([0.76800575, 1.13762722]), 'Error Bound': 1.6125995382686529e-196, 'Reliable CI?': 'Yes'}",No
30,"Infections with a predominantly sexual mode of transmission|bacterial infections, and other intestinal infectious diseases, and stds$F$41-60","bacterial infections, and other intestinal infectious diseases, and stds",1.084520941756962,"{'CI': array([0.96753341, 1.21110889]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96753341, 1.21110889]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9576184512641734,"{'CI': array([0.84864688, 1.07525119]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.84864688, 1.07525119]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
31,"Infections with a predominantly sexual mode of transmission|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",0.9772654138301928,"{'CI': array([0.90673507, 1.05130097]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90673507, 1.05130097]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9980805667024507,"{'CI': array([0.92181717, 1.07842411]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92181717, 1.07842411]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
32,"Infections with a predominantly sexual mode of transmission|bacterial infections, and other intestinal infectious diseases, and stds$M$21-40","bacterial infections, and other intestinal infectious diseases, and stds",1.085394028404942,"{'CI': array([0.81473253, 1.41363922]), 'Error Bound': 2.0093212019586684e-93, 'Reliable CI?': 'Yes'}","{'CI': array([0.81473253, 1.41363922]), 'Error Bound': 2.0093212019586684e-93, 'Reliable CI?': 'Yes'}",No,0.9110655977212468,"{'CI': array([0.69586559, 1.16354821]), 'Error Bound': 9.387186253561383e-120, 'Reliable CI?': 'Yes'}","{'CI': array([0.69586559, 1.16354821]), 'Error Bound': 9.387186253561383e-120, 'Reliable CI?': 'Yes'}",No
33,"Infections with a predominantly sexual mode of transmission|bacterial infections, and other intestinal infectious diseases, and stds$M$41-60","bacterial infections, and other intestinal infectious diseases, and stds",0.9567306545531982,"{'CI': array([0.84968695, 1.07212741]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.84968695, 1.07212741]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.947849015347693,"{'CI': array([0.84009146, 1.06409776]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.84009146, 1.06409776]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
34,"Infections with a predominantly sexual mode of transmission|bacterial infections, and other intestinal infectious diseases, and stds$M$61-","bacterial infections, and other intestinal infectious diseases, and stds",1.0361993768328581,"{'CI': array([0.96436129, 1.11160267]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96436129, 1.11160267]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9741462011262282,"{'CI': array([0.90355113, 1.04825316]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90355113, 1.04825316]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
35,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$0-10","bacterial infections, and other intestinal infectious diseases, and stds",1.1067031043497124,"{'CI': array([0.92535563, 1.31203459]), 'Error Bound': 5.817232923151644e-222, 'Reliable CI?': 'Yes'}","{'CI': array([0.92535563, 1.31203459]), 'Error Bound': 5.817232923151644e-222, 'Reliable CI?': 'Yes'}",No,1.173536680482632,"{'CI': array([0.83882468, 1.59767539]), 'Error Bound': 2.0179898210809988e-66, 'Reliable CI?': 'Yes'}","{'CI': array([0.83882468, 1.59767539]), 'Error Bound': 2.0179898210809988e-66, 'Reliable CI?': 'Yes'}",No
36,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$21-40","bacterial infections, and other intestinal infectious diseases, and stds",0.9296962719494117,"{'CI': array([0.79268553, 1.08084284]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.79268553, 1.08084284]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.8855187454106396,"{'CI': array([0.74525405, 1.04086817]), 'Error Bound': 4.5011865522367584e-281, 'Reliable CI?': 'Yes'}","{'CI': array([0.74525405, 1.04086817]), 'Error Bound': 4.5011865522367584e-281, 'Reliable CI?': 'Yes'}",No
37,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$41-60","bacterial infections, and other intestinal infectious diseases, and stds",1.0266303244386081,"{'CI': array([0.94468278, 1.11326849]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94468278, 1.11326849]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9515956275181916,"{'CI': array([0.86936473, 1.03867458]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.86936473, 1.03867458]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
38,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",0.9987364559372177,"{'CI': array([0.94564664, 1.05377352]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94564664, 1.05377352]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9990873401066057,"{'CI': array([0.94077385, 1.05975595]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94077385, 1.05975595]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
