,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0187402341639353,"{'CI': array([0.82032502, 1.24720269]), 'Error Bound': 2.4076049423224293e-164, 'Reliable CI?': 'Yes'}","{'CI': array([0.82032502, 1.24720269]), 'Error Bound': 2.4076049423224293e-164, 'Reliable CI?': 'Yes'}",No,0.9548260584578827,"{'CI': array([0.74344375, 1.20148138]), 'Error Bound': 3.717555362847025e-132, 'Reliable CI?': 'Yes'}","{'CI': array([0.74344375, 1.20148138]), 'Error Bound': 3.717555362847025e-132, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",0.9230320362281211,"{'CI': array([0.7044512 , 1.18003829]), 'Error Bound': 8.498401300510343e-118, 'Reliable CI?': 'Yes'}","{'CI': array([0.7044512 , 1.18003829]), 'Error Bound': 8.498401300510343e-118, 'Reliable CI?': 'Yes'}",No,0.8342894558301044,"{'CI': array([0.62680137, 1.0773288 ]), 'Error Bound': 3.4684602955391014e-115, 'Reliable CI?': 'Yes'}","{'CI': array([0.62680137, 1.0773288 ]), 'Error Bound': 3.4684602955391014e-115, 'Reliable CI?': 'Yes'}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0913057385951972,"{'CI': array([0.96606384, 1.22758921]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96606384, 1.22758921]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.104667737416834,"{'CI': array([0.97006771, 1.25203093]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97006771, 1.25203093]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9906406806139259,"{'CI': array([0.9326435 , 1.05097755]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9326435 , 1.05097755]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9789780125044756,"{'CI': array([0.91835323, 1.04217291]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91835323, 1.04217291]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0227304547669962,"{'CI': array([0.98190517, 1.06468832]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98190517, 1.06468832]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9534966104245475,"{'CI': array([0.9121407 , 0.99604178]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90110867, 1.00780768]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0335474825040876,"{'CI': array([0.86173929, 1.22731478]), 'Error Bound': 2.6155228536275855e-226, 'Reliable CI?': 'Yes'}","{'CI': array([0.86173929, 1.22731478]), 'Error Bound': 2.6155228536275855e-226, 'Reliable CI?': 'Yes'}",No,1.0475131474359023,"{'CI': array([0.85554224, 1.26714024]), 'Error Bound': 4.806507161295579e-183, 'Reliable CI?': 'Yes'}","{'CI': array([0.85554224, 1.26714024]), 'Error Bound': 4.806507161295579e-183, 'Reliable CI?': 'Yes'}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.1497391907383034,"{'CI': array([0.9058425 , 1.43832057]), 'Error Bound': 7.586568351142074e-126, 'Reliable CI?': 'Yes'}","{'CI': array([0.9058425 , 1.43832057]), 'Error Bound': 7.586568351142074e-126, 'Reliable CI?': 'Yes'}",No,1.0928390197851339,"{'CI': array([0.85948207, 1.3676281 ]), 'Error Bound': 6.830209188960912e-129, 'Reliable CI?': 'Yes'}","{'CI': array([0.85948207, 1.3676281 ]), 'Error Bound': 6.830209188960912e-129, 'Reliable CI?': 'Yes'}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0427123692324962,"{'CI': array([0.91364073, 1.18374834]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91364073, 1.18374834]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.043674344282611,"{'CI': array([0.90770169, 1.19297093]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90770169, 1.19297093]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.997442187247299,"{'CI': array([0.94390487, 1.05296225]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94390487, 1.05296225]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.011083474522254,"{'CI': array([0.95362477, 1.07082024]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95362477, 1.07082024]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0243447453374945,"{'CI': array([0.98486317, 1.06488384]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98486317, 1.06488384]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9985223252817393,"{'CI': array([0.95689353, 1.04133786]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95689353, 1.04133786]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
