,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Autumn Significant?
0,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified|diseases of the circulatory system$M$41-60",diseases of the circulatory system,1.0718876074529007,"{'CI': array([1.01156919, 1.13384092]), 'Gelman-Rubin': 0.9999682854395653}",Yes,1.0074827693760957,"{'CI': array([0.94952831, 1.06629228]), 'Gelman-Rubin': 0.9997821126034053}",No
1,Hypertensive diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.02287065162085,"{'CI': array([1.00020354, 1.04367978]), 'Gelman-Rubin': 0.9997833234442214}",Yes,1.0089754751893132,"{'CI': array([0.98519884, 1.03148523]), 'Gelman-Rubin': 0.9999185326817536}",No
2,Ischemic heart diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0244153081086593,"{'CI': array([1.00482202, 1.04389087]), 'Gelman-Rubin': 0.9999758097266095}",Yes,0.9919533762331045,"{'CI': array([0.9726214 , 1.01342801]), 'Gelman-Rubin': 0.9999024244878566}",No
3,"Diseases of oesophagus, stomach and duodenum|diseases of the digestive system$M$61-",diseases of the digestive system,0.9419737219813689,"{'CI': array([0.90150885, 0.98526372]), 'Gelman-Rubin': 0.9997785677059924}",Yes,1.0015475730753396,"{'CI': array([0.95268776, 1.04802024]), 'Gelman-Rubin': 0.9999049169036517}",No
4,"Disorders of gallbladder, biliary tract and pancreas|diseases of the digestive system$F$21-40",diseases of the digestive system,0.9311574464217336,"{'CI': array([0.87441034, 0.98788493]), 'Gelman-Rubin': 0.999968334204133}",Yes,0.9964927390665115,"{'CI': array([0.94221048, 1.06220697]), 'Gelman-Rubin': 0.9998492190933242}",No
5,"Disorders of gallbladder, biliary tract and pancreas|diseases of the digestive system$F$61-",diseases of the digestive system,1.051205253286335,"{'CI': array([1.0063536 , 1.10040305]), 'Gelman-Rubin': 0.999802161307903}",Yes,1.0001352778869674,"{'CI': array([0.95723817, 1.04319495]), 'Gelman-Rubin': 0.9999706281438872}",No
6,Other diseases of urinary system|diseases of the genitourinary system: urinary system$M$61-,diseases of the genitourinary system: urinary system,1.0452507939386837,"{'CI': array([1.0026255, 1.0944221]), 'Gelman-Rubin': 1.000019329824531}",Yes,0.9870315134857742,"{'CI': array([0.94196491, 1.02981202]), 'Gelman-Rubin': 0.9997914532583412}",No
7,Arthrosis|diseases of the musculoskeletal system and connective tissue$F$41-60,diseases of the musculoskeletal system and connective tissue,1.063529635331374,"{'CI': array([1.01654969, 1.12040237]), 'Gelman-Rubin': 0.9998147837039928}",Yes,0.9691566621914133,"{'CI': array([0.92207625, 1.01447626]), 'Gelman-Rubin': 0.9997815666824056}",No
8,Cerebral palsy and other paralytic syndromes|diseases of the nervous system$F$41-60,diseases of the nervous system,0.9010701402881058,"{'CI': array([0.81754222, 0.99714791]), 'Gelman-Rubin': 0.9998165492907956}",Yes,1.007120845296761,"{'CI': array([0.9227273 , 1.09448399]), 'Gelman-Rubin': 0.9998591301389124}",No
9,Chronic lower respiratory diseases|diseases of the respiratory system$M$41-60,diseases of the respiratory system,1.0520118984667093,"{'CI': array([1.00311449, 1.10039803]), 'Gelman-Rubin': 0.999769622728217}",Yes,1.0330575942797848,"{'CI': array([0.9801636 , 1.08247633]), 'Gelman-Rubin': 0.999866150875358}",No
10,Other diseases of the respiratory system|diseases of the respiratory system$F$61-,diseases of the respiratory system,1.0341727566779413,"{'CI': array([1.00766862, 1.05798604]), 'Gelman-Rubin': 1.0000198410424879}",Yes,0.9901622974742915,"{'CI': array([0.96438471, 1.01651065]), 'Gelman-Rubin': 0.9998672999460608}",No
11,Persons encountering health services for examination and investigation|external causes of morbidity and mortality$M$41-60,external causes of morbidity and mortality,0.9143174301993521,"{'CI': array([0.85760545, 0.97927868]), 'Gelman-Rubin': 0.9998412230155688}",Yes,0.9909534644611359,"{'CI': array([0.92973549, 1.05456694]), 'Gelman-Rubin': 0.9997996001077456}",No
12,Hip and thigh|injury$M$61-,injury,0.9292436757422406,"{'CI': array([0.87691072, 0.98866497]), 'Gelman-Rubin': 0.9998918812807209}",Yes,0.9557247636631226,"{'CI': array([0.8993687 , 1.01402226]), 'Gelman-Rubin': 0.9998612835848143}",No
13,Thorax|injury$M$61-,injury,1.099075299095136,"{'CI': array([1.02685218, 1.18113039]), 'Gelman-Rubin': 0.9997971019548227}",Yes,1.0197982638020633,"{'CI': array([0.95127642, 1.0861383 ]), 'Gelman-Rubin': 0.9998289118534074}",No
14,Mental and behavioural disorders due to psychoactive substance use|mental and behavioural disorders$M$21-40,mental and behavioural disorders,0.9367800801047652,"{'CI': array([0.89059074, 0.98599152]), 'Gelman-Rubin': 0.9998454228366046}",Yes,1.0388350737340035,"{'CI': array([0.98523182, 1.08706083]), 'Gelman-Rubin': 0.9999082963323376}",No
15,Other metabolic disorders|metabolic diseases$M$61-,metabolic diseases,1.0354810785444812,"{'CI': array([1.00466722, 1.06493772]), 'Gelman-Rubin': 0.9999395105008468}",Yes,1.0038091965465075,"{'CI': array([0.97228693, 1.03321425]), 'Gelman-Rubin': 0.9998120402964956}",No
16,"Complications of labour and delivery|pregnancy, childbirth and the puerperium$F$21-40","pregnancy, childbirth and the puerperium",0.9734599150463374,"{'CI': array([0.95207707, 0.99661433]), 'Gelman-Rubin': 0.9999039348828253}",Yes,0.9958314414341557,"{'CI': array([0.9709366 , 1.01991687]), 'Gelman-Rubin': 0.9998793165095502}",No
17,General symptoms and signs|symptoms and signs$F$61-,symptoms and signs,1.0258601995557224,"{'CI': array([1.00259926, 1.05043146]), 'Gelman-Rubin': 0.9999420219146021}",Yes,0.998032863421962,"{'CI': array([0.9721064 , 1.02454669]), 'Gelman-Rubin': 0.9999900946245934}",No
