,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$11-20","bacterial infections, and other intestinal infectious diseases, and stds",1.6453962864861782,"{'CI': array([1.20361597, 2.22847219]), 'Error Bound': 1.9007278532796865e-59, 'Reliable CI?': 'Yes'}","{'CI': array([1.11746207, 2.38853185]), 'Error Bound': 1.9007278532796865e-59, 'Reliable CI?': 'Yes'}",Yes,0.891363065777833,"{'CI': array([0.5972112 , 1.26057097]), 'Error Bound': 1.5455263055984656e-60, 'Reliable CI?': 'Yes'}","{'CI': array([0.5972112 , 1.26057097]), 'Error Bound': 1.5455263055984656e-60, 'Reliable CI?': 'Yes'}",No
1,"Diseases of arteries, arterioles and capillaries|diseases of the circulatory system$F$21-40",diseases of the circulatory system,1.357563554271839,"{'CI': array([1.06960802, 1.70512867]), 'Error Bound': 6.384360509311658e-112, 'Reliable CI?': 'Yes'}","{'CI': array([1.01150794, 1.79346259]), 'Error Bound': 6.384360509311658e-112, 'Reliable CI?': 'Yes'}",Yes,0.8751798792460682,"{'CI': array([0.65490838, 1.13525184]), 'Error Bound': 3.1927556899842345e-108, 'Reliable CI?': 'Yes'}","{'CI': array([0.65490838, 1.13525184]), 'Error Bound': 3.1927556899842345e-108, 'Reliable CI?': 'Yes'}",No
2,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified|diseases of the circulatory system$M$41-60",diseases of the circulatory system,1.100688016880614,"{'CI': array([1.03144691, 1.17316528]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01653761, 1.18966687]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.005282163808046,"{'CI': array([0.93599141, 1.07791994]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93599141, 1.07791994]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,Hypertensive diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0340136967701588,"{'CI': array([1.01146095, 1.05690651]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00652018, 1.06201428]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.003584217200104,"{'CI': array([0.98001916, 1.0275243 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98001916, 1.0275243 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,Ischemic heart diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0355261698841665,"{'CI': array([1.01610879, 1.05519499]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01184965, 1.05957758]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.985854099539704,"{'CI': array([0.9658534, 1.0061259]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9658534, 1.0061259]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,Other forms of heart disease|diseases of the circulatory system$F$0-10,diseases of the circulatory system,1.273369451515171,"{'CI': array([1.07951682, 1.49327928]), 'Error Bound': 8.692574892361569e-235, 'Reliable CI?': 'Yes'}","{'CI': array([1.03939408, 1.54639099]), 'Error Bound': 8.692574892361569e-235, 'Reliable CI?': 'Yes'}",Yes,0.8863680701735616,"{'CI': array([0.72335751, 1.07012419]), 'Error Bound': 7.120073425183231e-206, 'Reliable CI?': 'Yes'}","{'CI': array([0.72335751, 1.07012419]), 'Error Bound': 7.120073425183231e-206, 'Reliable CI?': 'Yes'}",No
6,"Disorders of gallbladder, biliary tract and pancreas|diseases of the digestive system$F$61-",diseases of the digestive system,1.0684566273307134,"{'CI': array([1.01941111, 1.11912061]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00877343, 1.13055379]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9945712661451143,"{'CI': array([0.94656686, 1.04416277]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94656686, 1.04416277]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,Glomerular diseases|diseases of the genitourinary system: urinary system$M$41-60,diseases of the genitourinary system: urinary system,1.508366786521463,"{'CI': array([1.14310391, 1.96965055]), 'Error Bound': 1.281870009365176e-78, 'Reliable CI?': 'Yes'}","{'CI': array([1.07070609, 2.09146271]), 'Error Bound': 1.281870009365176e-78, 'Reliable CI?': 'Yes'}",Yes,1.116210091567261,"{'CI': array([0.80441192, 1.50593758]), 'Error Bound': 4.3815983238415906e-72, 'Reliable CI?': 'Yes'}","{'CI': array([0.80441192, 1.50593758]), 'Error Bound': 4.3815983238415906e-72, 'Reliable CI?': 'Yes'}",No
8,Other diseases of urinary system|diseases of the genitourinary system: urinary system$M$61-,diseases of the genitourinary system: urinary system,1.0617358024709367,"{'CI': array([1.01242991, 1.11268119]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00173715, 1.12417979]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.978723203101842,"{'CI': array([0.93103862, 1.0279821 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93103862, 1.0279821 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,Renal failure|diseases of the genitourinary system: urinary system$F$61-,diseases of the genitourinary system: urinary system,1.035480580135429,"{'CI': array([1.00939395, 1.06202311]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00368686, 1.06795411]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9968030662254211,"{'CI': array([0.9695949 , 1.02451352]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9695949 , 1.02451352]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
