,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$11-20","bacterial infections, and other intestinal infectious diseases, and stds",1.6429527018073486,"{'CI': array([1.20237619, 2.22405767]), 'Error Bound': 1.150651235171795e-59, 'Reliable CI?': 'Yes'}","{'CI': array([1.1164362 , 2.38348396]), 'Error Bound': 1.150651235171795e-59, 'Reliable CI?': 'Yes'}",Yes,0.8917719779709536,"{'CI': array([0.59804309, 1.26030047]), 'Error Bound': 9.356528613465659e-61, 'Reliable CI?': 'Yes'}","{'CI': array([0.59804309, 1.26030047]), 'Error Bound': 9.356528613465659e-61, 'Reliable CI?': 'Yes'}",No
1,"Diseases of arteries, arterioles and capillaries|diseases of the circulatory system$F$21-40",diseases of the circulatory system,1.3568556015823965,"{'CI': array([1.06926544, 1.70390369]), 'Error Bound': 3.868375194794442e-112, 'Reliable CI?': 'Yes'}","{'CI': array([1.01123394, 1.79209014]), 'Error Bound': 3.868375194794442e-112, 'Reliable CI?': 'Yes'}",Yes,0.8754393370555462,"{'CI': array([0.655339 , 1.1352685]), 'Error Bound': 1.934470417275118e-108, 'Reliable CI?': 'Yes'}","{'CI': array([0.655339 , 1.1352685]), 'Error Bound': 1.934470417275118e-108, 'Reliable CI?': 'Yes'}",No
2,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified|diseases of the circulatory system$M$41-60",diseases of the circulatory system,1.1006744173064782,"{'CI': array([1.03143848, 1.17314603]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01653026, 1.1896463 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0052815338703875,"{'CI': array([0.93599601, 1.07791356]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93599601, 1.07791356]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,Hypertensive diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0340131974371636,"{'CI': array([1.01146063, 1.05690583]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.0065199 , 1.06201356]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0035842001077842,"{'CI': array([0.98001934, 1.02752407]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98001934, 1.02752407]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,Ischemic heart diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.035525783762272,"{'CI': array([1.01610852, 1.05519448]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01184941, 1.05957705]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.985854312832222,"{'CI': array([0.96585374, 1.00612598]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96585374, 1.00612598]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,Other forms of heart disease|diseases of the circulatory system$F$0-10,diseases of the circulatory system,1.2731133728680981,"{'CI': array([1.07937285, 1.49288125]), 'Error Bound': 5.269090619681368e-235, 'Reliable CI?': 'Yes'}","{'CI': array([1.03927208, 1.54595594]), 'Error Bound': 5.269090619681368e-235, 'Reliable CI?': 'Yes'}",Yes,0.886490120470026,"{'CI': array([0.72354814, 1.07015811]), 'Error Bound': 4.315703148522699e-206, 'Reliable CI?': 'Yes'}","{'CI': array([0.72354814, 1.07015811]), 'Error Bound': 4.315703148522699e-206, 'Reliable CI?': 'Yes'}",No
6,"Disorders of gallbladder, biliary tract and pancreas|diseases of the digestive system$F$61-",diseases of the digestive system,1.0684519117552782,"{'CI': array([1.01940823, 1.11911394]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00877094, 1.13054667]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9945718624191301,"{'CI': array([0.94656918, 1.04416152]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94656918, 1.04416152]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,Glomerular diseases|diseases of the genitourinary system: urinary system$M$41-60,diseases of the genitourinary system: urinary system,1.50692340877458,"{'CI': array([1.14237217, 1.96712247]), 'Error Bound': 7.763827761269996e-79, 'Reliable CI?': 'Yes'}","{'CI': array([1.07010413, 2.08860611]), 'Error Bound': 7.763827761269996e-79, 'Reliable CI?': 'Yes'}",Yes,1.115852837807528,"{'CI': array([0.8045646, 1.5047951]), 'Error Bound': 2.65343160149693e-72, 'Reliable CI?': 'Yes'}","{'CI': array([0.8045646, 1.5047951]), 'Error Bound': 2.65343160149693e-72, 'Reliable CI?': 'Yes'}",No
8,Other diseases of urinary system|diseases of the genitourinary system: urinary system$M$61-,diseases of the genitourinary system: urinary system,1.0617314889427643,"{'CI': array([1.01242746, 1.11267489]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.0017351 , 1.12417302]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.978724976782772,"{'CI': array([0.93104208, 1.02798207]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93104208, 1.02798207]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,Renal failure|diseases of the genitourinary system: urinary system$F$61-,diseases of the genitourinary system: urinary system,1.035479878449598,"{'CI': array([1.00939353, 1.06202212]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00368649, 1.06795306]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9968032026873449,"{'CI': array([0.96959535, 1.02451333]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96959535, 1.02451333]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
