,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.993412621058184,"{'CI': array([0.89197186, 1.1002685 ]), 'Gelman-Rubin': 0.9998007972927017}",No,0.9550006678518528,"{'CI': array([0.85626537, 1.06330091]), 'Gelman-Rubin': 0.9998595405618697}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0029063944775136,"{'CI': array([0.87640408, 1.12656783]), 'Gelman-Rubin': 1.0000797137094666}",No,0.9898296514979983,"{'CI': array([0.89111343, 1.09868965]), 'Gelman-Rubin': 0.9998325014522152}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0267783762146905,"{'CI': array([0.94410381, 1.10729181]), 'Gelman-Rubin': 0.9997945826501802}",No,0.9968995508537345,"{'CI': array([0.91621853, 1.06754045]), 'Gelman-Rubin': 1.000152623862607}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9974254397743597,"{'CI': array([0.94993202, 1.04126406]), 'Gelman-Rubin': 0.999883868221353}",No,0.9946107034593787,"{'CI': array([0.95030516, 1.04049517]), 'Gelman-Rubin': 0.9997807551675144}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0428812267703356,"{'CI': array([1.00178399, 1.08435434]), 'Gelman-Rubin': 0.9998179485875823}",Yes,0.975963809124724,"{'CI': array([0.93382087, 1.01940653]), 'Gelman-Rubin': 0.9998690587481248}",No
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.012285393131559,"{'CI': array([0.91222696, 1.11804261]), 'Gelman-Rubin': 0.9998884336782574}",No,0.9904370755193554,"{'CI': array([0.88899998, 1.08755396]), 'Gelman-Rubin': 0.999827267734182}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0144896158539405,"{'CI': array([0.89787088, 1.1328088 ]), 'Gelman-Rubin': 0.999885809580245}",No,0.9985424207635261,"{'CI': array([0.89394505, 1.1163597 ]), 'Gelman-Rubin': 0.9998676038969427}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0026232428155324,"{'CI': array([0.91626947, 1.08929483]), 'Gelman-Rubin': 0.9997599725786169}",No,1.0560343409407529,"{'CI': array([0.96891887, 1.14588759]), 'Gelman-Rubin': 1.0000738843584192}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0193857754474103,"{'CI': array([0.9740447 , 1.06466688]), 'Gelman-Rubin': 1.0000148088480676}",No,1.0071876010729375,"{'CI': array([0.95993164, 1.0541734 ]), 'Gelman-Rubin': 0.9997580904216468}",No
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0520332387906381,"{'CI': array([1.01004564, 1.09353031]), 'Gelman-Rubin': 0.9998056228282479}",Yes,0.9467190114951219,"{'CI': array([0.90764757, 0.98892785]), 'Gelman-Rubin': 0.9998470096489215}",Yes
10,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0041564547245594,"{'CI': array([0.87552896, 1.12616593]), 'Gelman-Rubin': 0.9998648921203718}",No,1.0224367370039413,"{'CI': array([0.91180171, 1.13842452]), 'Gelman-Rubin': 0.9998475683127366}",No
11,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",0.9785469132532719,"{'CI': array([0.86027375, 1.11046259]), 'Gelman-Rubin': 0.9998588180463819}",No,1.0133037287832707,"{'CI': array([0.90548694, 1.14416196]), 'Gelman-Rubin': 0.9999172442583639}",No
12,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9239935502792498,"{'CI': array([0.84491363, 1.0124424 ]), 'Gelman-Rubin': 0.9998967837357372}",No,0.9478834374549623,"{'CI': array([0.86592499, 1.03696573]), 'Gelman-Rubin': 0.9998080178923193}",No
13,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0166529414734637,"{'CI': array([0.959441  , 1.07762066]), 'Gelman-Rubin': 0.9998761166719413}",No,0.997020817061885,"{'CI': array([0.939557  , 1.05756923]), 'Gelman-Rubin': 0.9998238518291871}",No
14,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0032705205119474,"{'CI': array([0.94544894, 1.06414847]), 'Gelman-Rubin': 0.9998300777972433}",No,0.9683137867568319,"{'CI': array([0.90957029, 1.02595466]), 'Gelman-Rubin': 0.9998491130118657}",No
15,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.967077979780937,"{'CI': array([0.84934957, 1.09240465]), 'Gelman-Rubin': 1.0000021193712816}",No,0.9566285660853817,"{'CI': array([0.84393457, 1.06792195]), 'Gelman-Rubin': 0.9999247408406073}",No
16,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",0.9613719736235328,"{'CI': array([0.84463776, 1.08680039]), 'Gelman-Rubin': 0.9998017397116923}",No,1.0452598543959195,"{'CI': array([0.93388496, 1.17080953]), 'Gelman-Rubin': 0.9997937145052384}",No
17,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9275585700041126,"{'CI': array([0.83064311, 1.02751734]), 'Gelman-Rubin': 0.9997908099918524}",No,1.0161823916438535,"{'CI': array([0.92169182, 1.11445814]), 'Gelman-Rubin': 1.0002308914614144}",No
18,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9843909349034281,"{'CI': array([0.92622654, 1.04302564]), 'Gelman-Rubin': 0.9997892816168263}",No,0.9855990297974988,"{'CI': array([0.93233023, 1.04777347]), 'Gelman-Rubin': 1.0000879447106004}",No
19,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0235632492079354,"{'CI': array([0.96924045, 1.08299398]), 'Gelman-Rubin': 0.9999236783082779}",No,0.9739136969404445,"{'CI': array([0.91770481, 1.03546869]), 'Gelman-Rubin': 0.9998068656764506}",No
20,"On examination of urine, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0114994311093037,"{'CI': array([0.87476743, 1.14638663]), 'Gelman-Rubin': 0.9997732036380155}",No,0.9976912254807614,"{'CI': array([0.8857532 , 1.12740447]), 'Gelman-Rubin': 0.9998285190749249}",No
21,"On examination of urine, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0262187703987147,"{'CI': array([0.90655314, 1.16448601]), 'Gelman-Rubin': 0.999845174750696}",No,0.9790459437070179,"{'CI': array([0.87265342, 1.09711779]), 'Gelman-Rubin': 0.9998918155739005}",No
22,"On examination of urine, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",0.990387423094197,"{'CI': array([0.86227331, 1.11612833]), 'Gelman-Rubin': 1.000006336260524}",No,1.0191598004781313,"{'CI': array([0.89925583, 1.13748791]), 'Gelman-Rubin': 0.9998288244198585}",No
23,"On examination of urine, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0430928865874616,"{'CI': array([0.92209547, 1.19224271]), 'Gelman-Rubin': 0.9998669129535283}",No,1.0006811912370788,"{'CI': array([0.8854695 , 1.14521173]), 'Gelman-Rubin': 1.0000087748395408}",No
24,"On examination of urine, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0249180967947518,"{'CI': array([0.8920782 , 1.16980639]), 'Gelman-Rubin': 0.999818487148209}",No,1.0050377400433743,"{'CI': array([0.89410407, 1.12921403]), 'Gelman-Rubin': 0.9998930171699855}",No
25,"Certain zoonotic bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$21-40","bacterial infections, and other intestinal infectious diseases, and stds",0.9795325774906313,"{'CI': array([0.88218408, 1.09234142]), 'Gelman-Rubin': 0.9997956394467991}",No,1.0214433127065807,"{'CI': array([0.92388143, 1.12245193]), 'Gelman-Rubin': 1.0000756067795322}",No
26,"Certain zoonotic bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$41-60","bacterial infections, and other intestinal infectious diseases, and stds",1.0306484630239083,"{'CI': array([0.95009153, 1.10450938]), 'Gelman-Rubin': 0.9999004710472965}",No,0.9992554937487755,"{'CI': array([0.92323356, 1.08243648]), 'Gelman-Rubin': 0.9998351804299406}",No
27,"Certain zoonotic bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",0.9771964522729806,"{'CI': array([0.91567725, 1.04985005]), 'Gelman-Rubin': 0.9997914304327034}",No,1.0360540983252644,"{'CI': array([0.96432096, 1.11055819]), 'Gelman-Rubin': 0.9997850776352794}",No
28,"Certain zoonotic bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$21-40","bacterial infections, and other intestinal infectious diseases, and stds",1.032527558069927,"{'CI': array([0.91807184, 1.16845675]), 'Gelman-Rubin': 0.9998413841317535}",No,1.0052555355909076,"{'CI': array([0.89987198, 1.11875682]), 'Gelman-Rubin': 0.9998379340304663}",No
29,"Certain zoonotic bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$41-60","bacterial infections, and other intestinal infectious diseases, and stds",0.9946622555529594,"{'CI': array([0.92085568, 1.06933863]), 'Gelman-Rubin': 1.000025061806815}",No,1.0305410562275708,"{'CI': array([0.95444168, 1.10831612]), 'Gelman-Rubin': 0.9997963051095926}",No
30,"Certain zoonotic bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$61-","bacterial infections, and other intestinal infectious diseases, and stds",1.0072294139257931,"{'CI': array([0.93749197, 1.07936046]), 'Gelman-Rubin': 0.9998534397356891}",No,1.003040557155934,"{'CI': array([0.93990676, 1.07651689]), 'Gelman-Rubin': 0.9998808465916725}",No
31,"Infections with a predominantly sexual mode of transmission|bacterial infections, and other intestinal infectious diseases, and stds$F$11-20","bacterial infections, and other intestinal infectious diseases, and stds",0.9647748695867148,"{'CI': array([0.83507509, 1.09169541]), 'Gelman-Rubin': 0.9998909807555982}",No,0.9546066139149688,"{'CI': array([0.83388531, 1.06747587]), 'Gelman-Rubin': 1.0000121923548682}",No
32,"Infections with a predominantly sexual mode of transmission|bacterial infections, and other intestinal infectious diseases, and stds$F$21-40","bacterial infections, and other intestinal infectious diseases, and stds",0.9630294828295479,"{'CI': array([0.87921905, 1.05914877]), 'Gelman-Rubin': 0.9997650452760507}",No,1.0203014734947053,"{'CI': array([0.92700777, 1.11342858]), 'Gelman-Rubin': 1.0002462252944821}",No
33,"Infections with a predominantly sexual mode of transmission|bacterial infections, and other intestinal infectious diseases, and stds$F$41-60","bacterial infections, and other intestinal infectious diseases, and stds",1.0369711462336977,"{'CI': array([0.96091893, 1.11816011]), 'Gelman-Rubin': 0.999872922622099}",No,1.0050892990545757,"{'CI': array([0.9345811 , 1.07868672]), 'Gelman-Rubin': 0.9998057657453573}",No
34,"Infections with a predominantly sexual mode of transmission|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",0.9764546101422888,"{'CI': array([0.91056629, 1.04358507]), 'Gelman-Rubin': 0.9998290185141219}",No,1.0392119951421215,"{'CI': array([0.97393715, 1.10890205]), 'Gelman-Rubin': 0.999781317339135}",No
