,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9889743695551414,"{'CI': array([0.83392514, 1.1619869 ]), 'Error Bound': 6.606089893023116e-264, 'Reliable CI?': 'Yes'}","{'CI': array([0.83392514, 1.1619869 ]), 'Error Bound': 6.606089893023116e-264, 'Reliable CI?': 'Yes'}",No,0.8719087019906748,"{'CI': array([0.72252047, 1.03863165]), 'Error Bound': 1.6132277215943002e-241, 'Reliable CI?': 'Yes'}","{'CI': array([0.72252047, 1.03863165]), 'Error Bound': 1.6132277215943002e-241, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0115842524639,"{'CI': array([0.80759009, 1.2475492 ]), 'Error Bound': 1.0994414194731484e-153, 'Reliable CI?': 'Yes'}","{'CI': array([0.80759009, 1.2475492 ]), 'Error Bound': 1.0994414194731484e-153, 'Reliable CI?': 'Yes'}",No,0.9620127706534215,"{'CI': array([0.77012114, 1.18243467]), 'Error Bound': 1.800988657945868e-163, 'Reliable CI?': 'Yes'}","{'CI': array([0.77012114, 1.18243467]), 'Error Bound': 1.800988657945868e-163, 'Reliable CI?': 'Yes'}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0380078670324635,"{'CI': array([0.94461061, 1.13752597]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94461061, 1.13752597]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9872132751014489,"{'CI': array([0.89214437, 1.08873626]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89214437, 1.08873626]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9978819347407891,"{'CI': array([0.94897183, 1.04844194]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94897183, 1.04844194]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9855683379752256,"{'CI': array([0.93494456, 1.03796771]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93494456, 1.03796771]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.047102592701996,"{'CI': array([1.00220745, 1.09336006]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99247511, 1.10376042]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9647374669959414,"{'CI': array([0.92011057, 1.01074733]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92011057, 1.01074733]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.025441997103229,"{'CI': array([0.88507146, 1.18018294]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.88507146, 1.18018294]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9694603605873963,"{'CI': array([0.82515245, 1.12929345]), 'Error Bound': 1.113305351095645e-298, 'Reliable CI?': 'Yes'}","{'CI': array([0.82515245, 1.12929345]), 'Error Bound': 1.113305351095645e-298, 'Reliable CI?': 'Yes'}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0427173580181115,"{'CI': array([0.84972821, 1.26374971]), 'Error Bound': 8.87116892054426e-180, 'Reliable CI?': 'Yes'}","{'CI': array([0.84972821, 1.26374971]), 'Error Bound': 8.87116892054426e-180, 'Reliable CI?': 'Yes'}",No,0.9910717167702358,"{'CI': array([0.81056439, 1.19632753]), 'Error Bound': 2.93940633610932e-193, 'Reliable CI?': 'Yes'}","{'CI': array([0.81056439, 1.19632753]), 'Error Bound': 2.93940633610932e-193, 'Reliable CI?': 'Yes'}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.00520029811115,"{'CI': array([0.903748  , 1.11400076]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.903748  , 1.11400076]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0914948889949327,"{'CI': array([0.97426761, 1.21832936]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97426761, 1.21832936]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0219794606760237,"{'CI': array([0.97391786, 1.07162027]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97391786, 1.07162027]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9998840064843666,"{'CI': array([0.94990537, 1.05158391]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94990537, 1.05158391]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0568378542064547,"{'CI': array([1.01389772, 1.10101848]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00458184, 1.11094259]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9326012843755419,"{'CI': array([0.89092269, 0.97549712]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.88203728, 0.98496807]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
10,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.020091996793037,"{'CI': array([0.7854447 , 1.29795328]), 'Error Bound': 7.731039163055713e-116, 'Reliable CI?': 'Yes'}","{'CI': array([0.7854447 , 1.29795328]), 'Error Bound': 7.731039163055713e-116, 'Reliable CI?': 'Yes'}",No,1.0955910478827746,"{'CI': array([0.85457793, 1.38101807]), 'Error Bound': 7.66115039731164e-121, 'Reliable CI?': 'Yes'}","{'CI': array([0.85457793, 1.38101807]), 'Error Bound': 7.66115039731164e-121, 'Reliable CI?': 'Yes'}",No
11,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",0.9363807108745811,"{'CI': array([0.73181066, 1.17407385]), 'Error Bound': 8.271456380414934e-138, 'Reliable CI?': 'Yes'}","{'CI': array([0.73181066, 1.17407385]), 'Error Bound': 8.271456380414934e-138, 'Reliable CI?': 'Yes'}",No,1.050218675050973,"{'CI': array([0.8261797 , 1.31279247]), 'Error Bound': 5.044239376246904e-133, 'Reliable CI?': 'Yes'}","{'CI': array([0.8261797 , 1.31279247]), 'Error Bound': 5.044239376246904e-133, 'Reliable CI?': 'Yes'}",No
12,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.8876996820476685,"{'CI': array([0.79077816, 0.99159803]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.77019138, 1.01562268]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9025562318531298,"{'CI': array([0.80038428, 1.01245566]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.80038428, 1.01245566]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
13,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0203793267572632,"{'CI': array([0.95557361, 1.08809098]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95557361, 1.08809098]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9878450624903763,"{'CI': array([0.9208697 , 1.05796132]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9208697 , 1.05796132]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
14,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.004608145526623,"{'CI': array([0.94156487, 1.07041114]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94156487, 1.07041114]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9523281672575138,"{'CI': array([0.88850363, 1.01903228]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.88850363, 1.01903228]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
15,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9090782004230238,"{'CI': array([0.72088135, 1.1252706 ]), 'Error Bound': 1.3377050709973258e-157, 'Reliable CI?': 'Yes'}","{'CI': array([0.72088135, 1.1252706 ]), 'Error Bound': 1.3377050709973258e-157, 'Reliable CI?': 'Yes'}",No,0.8107200913314268,"{'CI': array([0.61522473, 1.03778103]), 'Error Bound': 1.2544384954080918e-125, 'Reliable CI?': 'Yes'}","{'CI': array([0.61522473, 1.03778103]), 'Error Bound': 1.2544384954080918e-125, 'Reliable CI?': 'Yes'}",No
16,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",0.882386402346429,"{'CI': array([0.68725333, 1.10808355]), 'Error Bound': 1.2308422438640608e-140, 'Reliable CI?': 'Yes'}","{'CI': array([0.68725333, 1.10808355]), 'Error Bound': 1.2308422438640608e-140, 'Reliable CI?': 'Yes'}",No,1.202376302134357,"{'CI': array([0.94168227, 1.51370939]), 'Error Bound': 1.721591384968451e-116, 'Reliable CI?': 'Yes'}","{'CI': array([0.94168227, 1.51370939]), 'Error Bound': 1.721591384968451e-116, 'Reliable CI?': 'Yes'}",No
17,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.8807442756234215,"{'CI': array([0.76874785, 1.00218611]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.76874785, 1.00218611]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0268267400971403,"{'CI': array([0.89588153, 1.17015812]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89588153, 1.17015812]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
