,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$0-10","abnormal clinical and laboratory findings, not elsewhere classified",0.9889825820262559,"{'CI': array([0.83399395, 1.1619196 ]), 'Error Bound': 4.004737339933597e-264, 'Reliable CI?': 'Yes'}","{'CI': array([0.83399395, 1.1619196 ]), 'Error Bound': 4.004737339933597e-264, 'Reliable CI?': 'Yes'}",No,0.8720258484028782,"{'CI': array([0.7226897 , 1.03868313]), 'Error Bound': 9.779415450524909e-242, 'Reliable CI?': 'Yes'}","{'CI': array([0.7226897 , 1.03868313]), 'Error Bound': 9.779415450524909e-242, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0115673037644446,"{'CI': array([0.80771326, 1.247345  ]), 'Error Bound': 6.663376637541107e-154, 'Reliable CI?': 'Yes'}","{'CI': array([0.80771326, 1.247345  ]), 'Error Bound': 6.663376637541107e-154, 'Reliable CI?': 'Yes'}",No,0.9620659661641152,"{'CI': array([0.77028976, 1.18233499]), 'Error Bound': 1.0915669288461819e-163, 'Reliable CI?': 'Yes'}","{'CI': array([0.77028976, 1.18233499]), 'Error Bound': 1.0915669288461819e-163, 'Reliable CI?': 'Yes'}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.037997422824797,"{'CI': array([0.9446131 , 1.13750086]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9446131 , 1.13750086]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9872176704124407,"{'CI': array([0.89216237, 1.08872513]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89216237, 1.08872513]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",0.9978820840449695,"{'CI': array([0.94897381, 1.04844013]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94897381, 1.04844013]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9855696365340043,"{'CI': array([0.93494788, 1.03796683]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93494788, 1.03796683]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0470998188349103,"{'CI': array([1.00220609, 1.09335579]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.99247405, 1.10375581]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9647399582052115,"{'CI': array([0.92011444, 1.01074835]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92011444, 1.01074835]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$0-10","abnormal clinical and laboratory findings, not elsewhere classified",1.0254249214724371,"{'CI': array([0.88509911, 1.18011161]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.88509911, 1.18011161]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9694834188684599,"{'CI': array([0.82522391, 1.129257  ]), 'Error Bound': 6.749354077777943e-299, 'Reliable CI?': 'Yes'}","{'CI': array([0.82522391, 1.129257  ]), 'Error Bound': 6.749354077777943e-299, 'Reliable CI?': 'Yes'}",No
6,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$11-20","abnormal clinical and laboratory findings, not elsewhere classified",1.0426648344469835,"{'CI': array([0.84979362, 1.26354305]), 'Error Bound': 5.37707612651856e-180, 'Reliable CI?': 'Yes'}","{'CI': array([0.84979362, 1.26354305]), 'Error Bound': 5.37707612651856e-180, 'Reliable CI?': 'Yes'}",No,0.991083612749418,"{'CI': array([0.81067222, 1.19621528]), 'Error Bound': 1.781728154204329e-193, 'Reliable CI?': 'Yes'}","{'CI': array([0.81067222, 1.19621528]), 'Error Bound': 1.781728154204329e-193, 'Reliable CI?': 'Yes'}",No
7,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0051983913052551,"{'CI': array([0.90376274, 1.11397971]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90376274, 1.11397971]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0914586318949344,"{'CI': array([0.97425682, 1.21826341]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97425682, 1.21826341]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0219778779311115,"{'CI': array([0.97391802, 1.07161683]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97391802, 1.07161683]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9998841137853541,"{'CI': array([0.94990742, 1.05158192]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94990742, 1.05158192]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.056834823543536,"{'CI': array([1.01389593, 1.10101414]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.0045803 , 1.11093796]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.932605495317632,"{'CI': array([0.89092801, 0.97550014]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.88204285, 0.98497083]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
