,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0428812267703356,"{'CI': array([1.00178399, 1.08435434]), 'Gelman-Rubin': 0.9998179485875823}",Yes,0.975963809124724,"{'CI': array([0.93382087, 1.01940653]), 'Gelman-Rubin': 0.9998690587481248}",No
1,Other diseases of blood and blood-forming organs|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1.0590845104519668,"{'CI': array([1.00192215, 1.12502414]), 'Gelman-Rubin': 0.9998056811157126}",Yes,0.99636938944495,"{'CI': array([0.93893092, 1.05713208]), 'Gelman-Rubin': 0.9998031251814075}",No
2,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified|diseases of the circulatory system$M$41-60",diseases of the circulatory system,1.1037597751509807,"{'CI': array([1.04671923, 1.16229243]), 'Gelman-Rubin': 0.999957787236983}",Yes,1.004495495972765,"{'CI': array([0.94969005, 1.05553609]), 'Gelman-Rubin': 0.9998419798185385}",No
3,Ischemic heart diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0422984033328893,"{'CI': array([1.01482472, 1.06696218]), 'Gelman-Rubin': 0.9999247712343231}",Yes,1.0045115671114357,"{'CI': array([0.97891345, 1.03142669]), 'Gelman-Rubin': 0.9998546201342077}",No
4,Other forms of heart disease|diseases of the circulatory system$M$11-20,diseases of the circulatory system,1.1749276097329298,"{'CI': array([1.06384847, 1.30035379]), 'Gelman-Rubin': 0.999772367193714}",Yes,0.9430969744331356,"{'CI': array([0.85513133, 1.04393409]), 'Gelman-Rubin': 0.9997639093804433}",No
5,Other forms of heart disease|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0226493377070067,"{'CI': array([1.00713977, 1.03770587]), 'Gelman-Rubin': 0.9998137022483489}",Yes,0.992176949953848,"{'CI': array([0.97620751, 1.00805715]), 'Gelman-Rubin': 0.9998060678160241}",No
6,Pulmonary heart disease and diseases of pulmonary circulation|diseases of the circulatory system$M$41-60,diseases of the circulatory system,1.1019833353108928,"{'CI': array([1.03772831, 1.17103993]), 'Gelman-Rubin': 0.9999726244796175}",Yes,0.9913345734984864,"{'CI': array([0.93744588, 1.06025053]), 'Gelman-Rubin': 0.9998090140589362}",No
7,Diseases of appendix|diseases of the digestive system$M$11-20,diseases of the digestive system,0.9037618554494744,"{'CI': array([0.82389734, 0.99852665]), 'Gelman-Rubin': 0.9998523853653035}",Yes,0.9972892925806023,"{'CI': array([0.90818137, 1.09232134]), 'Gelman-Rubin': 0.9998255170776023}",No
8,Noninfective enteritis and colitis|diseases of the digestive system$F$41-60,diseases of the digestive system,0.9466252954776855,"{'CI': array([0.91085798, 0.98525313]), 'Gelman-Rubin': 0.9997794603247045}",Yes,1.0074037257023392,"{'CI': array([0.96847913, 1.0469553 ]), 'Gelman-Rubin': 0.9998615623895519}",No
9,Noninfective enteritis and colitis|diseases of the digestive system$M$0-10,diseases of the digestive system,1.0894639505392778,"{'CI': array([1.00069383, 1.19374205]), 'Gelman-Rubin': 0.9998770308962959}",Yes,0.978017982950279,"{'CI': array([0.87718769, 1.08641128]), 'Gelman-Rubin': 0.9998674141624899}",No
