,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,Haemolytic anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$21-40,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1.2497225154255143,"{'CI': array([1.06748387, 1.45498954]), 'Error Bound': 3.32085367442112e-260, 'Reliable CI?': 'Yes'}","{'CI': array([1.02971576, 1.50419435]), 'Error Bound': 3.32085367442112e-260, 'Reliable CI?': 'Yes'}",Yes,1.1415157857896416,"{'CI': array([0.95821851, 1.34899606]), 'Error Bound': 5.96988519412573e-227, 'Reliable CI?': 'Yes'}","{'CI': array([0.95821851, 1.34899606]), 'Error Bound': 5.96988519412573e-227, 'Reliable CI?': 'Yes'}",No
1,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified|diseases of the circulatory system$M$41-60",diseases of the circulatory system,1.1197377887398963,"{'CI': array([1.05931545, 1.18259525]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.04628746, 1.1968181 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9969684622172811,"{'CI': array([0.94053578, 1.05560762]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94053578, 1.05560762]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,Ischemic heart diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0439069627436843,"{'CI': array([1.01841359, 1.06983438]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01284591, 1.07561476]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9961735297142411,"{'CI': array([0.97012502, 1.02268225]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97012502, 1.02268225]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,Other forms of heart disease|diseases of the circulatory system$M$11-20,diseases of the circulatory system,1.331386713221104,"{'CI': array([1.17020077, 1.50984459]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.13654567, 1.55204291]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.8824237493426648,"{'CI': array([0.76736217, 1.00745721]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.76736217, 1.00745721]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,Other forms of heart disease|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0233154094649006,"{'CI': array([1.00795089, 1.0388376 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00458213, 1.04228361]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9836336374207666,"{'CI': array([0.96759047, 0.99985092]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96413485, 1.00339023]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,Pulmonary heart disease and diseases of pulmonary circulation|diseases of the circulatory system$M$41-60,diseases of the circulatory system,1.1265401169076072,"{'CI': array([1.04991985, 1.20710995]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.0334951 , 1.22547457]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9806546325165904,"{'CI': array([0.91035804, 1.05442816]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91035804, 1.05442816]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,Diseases of appendix|diseases of the digestive system$M$11-20,diseases of the digestive system,0.8474710439946398,"{'CI': array([0.74359013, 0.95952905]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.72158601, 0.98556784]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9879654834149593,"{'CI': array([0.86130046, 1.12635174]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.86130046, 1.12635174]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,Diseases of liver|diseases of the digestive system$F$21-40,diseases of the digestive system,0.8568329524968745,"{'CI': array([0.75029743, 0.97195768]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.72775059, 0.9987437 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9329212022359162,"{'CI': array([0.81686364, 1.05893938]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.81686364, 1.05893938]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,Noninfective enteritis and colitis|diseases of the digestive system$F$41-60,diseases of the digestive system,0.943562134583634,"{'CI': array([0.90596601, 0.9821439 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89779709, 0.99079604]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9996118712932095,"{'CI': array([0.95792316, 1.04249151]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95792316, 1.04249151]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,Renal failure|diseases of the genitourinary system: urinary system$M$61-,diseases of the genitourinary system: urinary system,1.0319129171336026,"{'CI': array([1.00812881, 1.05607591]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00293115, 1.06145922]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9919628904189742,"{'CI': array([0.96732927, 1.01700826]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96732927, 1.01700826]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
