,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,Haemolytic anaemias|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$21-40,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1.2495117318854991,"{'CI': array([1.06736669, 1.45466169]), 'Error Bound': 2.0132618175099435e-260, 'Reliable CI?': 'Yes'}","{'CI': array([1.02961699, 1.50383631]), 'Error Bound': 2.0132618175099435e-260, 'Reliable CI?': 'Yes'}",Yes,1.1413807327952497,"{'CI': array([0.95818185, 1.34873611]), 'Error Bound': 3.619024816479618e-227, 'Reliable CI?': 'Yes'}","{'CI': array([0.95818185, 1.34873611]), 'Error Bound': 3.619024816479618e-227, 'Reliable CI?': 'Yes'}",No
1,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified|diseases of the circulatory system$M$41-60",diseases of the circulatory system,1.1197257544878878,"{'CI': array([1.05930683, 1.18257953]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.04627956, 1.19680153]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9969688978067742,"{'CI': array([0.94053903, 1.05560502]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94053903, 1.05560502]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,Ischemic heart diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0439061362248558,"{'CI': array([1.01841302, 1.06983329]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.0128454, 1.0756136]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9961736622736814,"{'CI': array([0.97012543, 1.02268209]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97012543, 1.02268209]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,Other forms of heart disease|diseases of the circulatory system$M$11-20,diseases of the circulatory system,1.3311894727501465,"{'CI': array([1.17006569, 1.50957229]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.13642299, 1.55175178]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.8824855233830357,"{'CI': array([0.76744757, 1.00749085]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.76744757, 1.00749085]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,Other forms of heart disease|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0233152493097326,"{'CI': array([1.00795079, 1.03883739]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00458204, 1.04228338]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9836337919702794,"{'CI': array([0.96759069, 0.99985101]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.96413508, 1.0033903 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,Pulmonary heart disease and diseases of pulmonary circulation|diseases of the circulatory system$M$41-60,diseases of the circulatory system,1.126519633079058,"{'CI': array([1.04990635, 1.20708177]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.03348306, 1.22544458]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9806579958341521,"{'CI': array([0.91036687, 1.05442551]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.91036687, 1.05442551]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,Diseases of appendix|diseases of the digestive system$M$11-20,diseases of the digestive system,0.8475385688672409,"{'CI': array([0.74367467, 0.95957657]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.721674  , 0.98561041]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9879728661254573,"{'CI': array([0.86134039, 1.12632025]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.86134039, 1.12632025]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,Diseases of liver|diseases of the digestive system$F$21-40,diseases of the digestive system,0.8568986508692241,"{'CI': array([0.75038163, 0.97200156]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.72783855, 0.99878217]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9329549789176794,"{'CI': array([0.81692213, 1.05894388]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.81692213, 1.05894388]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,Noninfective enteritis and colitis|diseases of the digestive system$F$41-60,diseases of the digestive system,0.9435648484661067,"{'CI': array([0.90596955, 0.98214574]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89780081, 0.99079769]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9996119580856024,"{'CI': array([0.95792437, 1.0424904 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95792437, 1.0424904 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,Renal failure|diseases of the genitourinary system: urinary system$M$61-,diseases of the genitourinary system: urinary system,1.0319123907185654,"{'CI': array([1.00812849, 1.05607516]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00293088, 1.06145843]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9919630921498815,"{'CI': array([0.9673297 , 1.01700822]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9673297 , 1.01700822]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
