,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0207217844230807,"{'CI': array([0.87013891, 1.18066799]), 'Gelman-Rubin': 1.0001022040804803}",No,0.9951337996403766,"{'CI': array([0.83711486, 1.14643596]), 'Gelman-Rubin': 0.9998381187402273}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.011314551609165,"{'CI': array([0.90731234, 1.12586612]), 'Gelman-Rubin': 1.0000351924988806}",No,1.0082044182636574,"{'CI': array([0.89583936, 1.12513285]), 'Gelman-Rubin': 1.0000854837345643}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0456122804619736,"{'CI': array([0.96377586, 1.12967732]), 'Gelman-Rubin': 0.999799396859262}",No,1.0701283067575442,"{'CI': array([0.97667706, 1.16049763]), 'Gelman-Rubin': 1.0000197102412018}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9690622369827556,"{'CI': array([0.81301777, 1.13058207]), 'Gelman-Rubin': 1.000017257450692}",No,1.0053051265033415,"{'CI': array([0.8565815, 1.1837886]), 'Gelman-Rubin': 0.9998217878240174}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0074466232688033,"{'CI': array([0.89877659, 1.13182341]), 'Gelman-Rubin': 0.999810267699706}",No,1.0224116016315572,"{'CI': array([0.90825601, 1.12904766]), 'Gelman-Rubin': 0.9998123928580059}",No
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0701401974959723,"{'CI': array([0.98934658, 1.16583854]), 'Gelman-Rubin': 0.9999181464018497}",No,0.9591092914537948,"{'CI': array([0.88135321, 1.05055987]), 'Gelman-Rubin': 0.9999789147443363}",No
6,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9938852545484027,"{'CI': array([0.83881855, 1.16631062]), 'Gelman-Rubin': 0.9997580627893049}",No,0.9331015690197028,"{'CI': array([0.78016731, 1.10224696]), 'Gelman-Rubin': 0.9998213886652532}",No
7,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0151069137246997,"{'CI': array([0.88896071, 1.15208595]), 'Gelman-Rubin': 1.0005106869138771}",No,0.9826059110725173,"{'CI': array([0.85751427, 1.12451839]), 'Gelman-Rubin': 0.9998919479410114}",No
8,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.007006087755646,"{'CI': array([0.90016738, 1.12900064]), 'Gelman-Rubin': 1.0000208405940318}",No,0.9399989804151662,"{'CI': array([0.82664745, 1.05855008]), 'Gelman-Rubin': 1.0002612680423864}",No
9,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0335494443835278,"{'CI': array([0.89676037, 1.16522558]), 'Gelman-Rubin': 0.9999419520254618}",No,0.9557622740438257,"{'CI': array([0.82720687, 1.08613422]), 'Gelman-Rubin': 0.9998682479216836}",No
10,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0051565644028895,"{'CI': array([0.88698225, 1.12956072]), 'Gelman-Rubin': 0.9998117083731078}",No,0.8885843952679507,"{'CI': array([0.78683027, 0.99723323]), 'Gelman-Rubin': 1.000121751812045}",Yes
11,"Certain zoonotic bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$21-40","bacterial infections, and other intestinal infectious diseases, and stds",0.9724660194052367,"{'CI': array([0.81277102, 1.15883207]), 'Gelman-Rubin': 1.000041280529693}",No,0.9912771738814186,"{'CI': array([0.81862794, 1.20511668]), 'Gelman-Rubin': 1.0000493015631777}",No
12,"Certain zoonotic bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$41-60","bacterial infections, and other intestinal infectious diseases, and stds",0.9718479204264971,"{'CI': array([0.82026077, 1.10974198]), 'Gelman-Rubin': 1.0001440863235425}",No,1.029493412411004,"{'CI': array([0.88251807, 1.19304796]), 'Gelman-Rubin': 0.9998213116178519}",No
13,"Certain zoonotic bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",0.9084026744239283,"{'CI': array([0.79429697, 1.01967966]), 'Gelman-Rubin': 0.9999591964836457}",No,1.0492759426419422,"{'CI': array([0.91989878, 1.19331925]), 'Gelman-Rubin': 1.0001793265254446}",No
14,"Certain zoonotic bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$41-60","bacterial infections, and other intestinal infectious diseases, and stds",1.0452712408765747,"{'CI': array([0.89595479, 1.2026586 ]), 'Gelman-Rubin': 0.9999459273295711}",No,1.025534760795701,"{'CI': array([0.89552146, 1.19496512]), 'Gelman-Rubin': 1.000241957463177}",No
15,"Certain zoonotic bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$61-","bacterial infections, and other intestinal infectious diseases, and stds",1.0468832772316334,"{'CI': array([0.92912143, 1.17896347]), 'Gelman-Rubin': 1.0000954340640655}",No,0.9656826417122051,"{'CI': array([0.85532291, 1.0857796 ]), 'Gelman-Rubin': 1.000011640743867}",No
16,"Infections with a predominantly sexual mode of transmission|bacterial infections, and other intestinal infectious diseases, and stds$F$21-40","bacterial infections, and other intestinal infectious diseases, and stds",0.9966699269766779,"{'CI': array([0.8446532 , 1.17767981]), 'Gelman-Rubin': 0.9999733477386761}",No,1.0002409938162227,"{'CI': array([0.84210509, 1.18973335]), 'Gelman-Rubin': 0.9999086253854327}",No
17,"Infections with a predominantly sexual mode of transmission|bacterial infections, and other intestinal infectious diseases, and stds$F$41-60","bacterial infections, and other intestinal infectious diseases, and stds",0.9878446224752735,"{'CI': array([0.85525661, 1.14630792]), 'Gelman-Rubin': 0.9998783114485515}",No,1.026823298361736,"{'CI': array([0.89667442, 1.17781358]), 'Gelman-Rubin': 1.000151631664067}",No
18,"Infections with a predominantly sexual mode of transmission|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",0.9059612582955002,"{'CI': array([0.80628411, 1.02979465]), 'Gelman-Rubin': 1.0002230327924373}",No,1.0598950475643545,"{'CI': array([0.92739936, 1.18723953]), 'Gelman-Rubin': 1.0006016666304336}",No
19,"Infections with a predominantly sexual mode of transmission|bacterial infections, and other intestinal infectious diseases, and stds$M$41-60","bacterial infections, and other intestinal infectious diseases, and stds",1.0399683539301237,"{'CI': array([0.90493608, 1.19829278]), 'Gelman-Rubin': 0.9999571710464351}",No,1.041934001551804,"{'CI': array([0.91382067, 1.18122477]), 'Gelman-Rubin': 0.9999039356036811}",No
20,"Infections with a predominantly sexual mode of transmission|bacterial infections, and other intestinal infectious diseases, and stds$M$61-","bacterial infections, and other intestinal infectious diseases, and stds",1.0365358068763924,"{'CI': array([0.92408114, 1.17639216]), 'Gelman-Rubin': 0.9999854700295868}",No,0.9543866141478272,"{'CI': array([0.84685376, 1.08057447]), 'Gelman-Rubin': 1.0002747898020397}",No
21,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$21-40","bacterial infections, and other intestinal infectious diseases, and stds",1.023022703190444,"{'CI': array([0.85332928, 1.19298604]), 'Gelman-Rubin': 0.9999572065990222}",No,0.9447449270320248,"{'CI': array([0.78939648, 1.11155632]), 'Gelman-Rubin': 1.0001093707011115}",No
22,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$41-60","bacterial infections, and other intestinal infectious diseases, and stds",1.049409528503399,"{'CI': array([0.92820703, 1.18967794]), 'Gelman-Rubin': 0.9999039866042914}",No,1.0172755308389911,"{'CI': array([0.89553614, 1.14810162]), 'Gelman-Rubin': 1.0006080092943073}",No
23,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",0.9283279994813172,"{'CI': array([0.838765  , 1.02494928]), 'Gelman-Rubin': 1.000462180526632}",No,1.026033673212013,"{'CI': array([0.91802324, 1.13276721]), 'Gelman-Rubin': 0.9999234988583816}",No
24,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$21-40","bacterial infections, and other intestinal infectious diseases, and stds",0.9974423749495507,"{'CI': array([0.82637537, 1.18473943]), 'Gelman-Rubin': 0.9999868840460051}",No,1.0063350549939805,"{'CI': array([0.84993102, 1.19257727]), 'Gelman-Rubin': 1.000321911665923}",No
25,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$41-60","bacterial infections, and other intestinal infectious diseases, and stds",1.0797172979493748,"{'CI': array([0.95046607, 1.2226413 ]), 'Gelman-Rubin': 1.0001906645361915}",No,1.0339522553000304,"{'CI': array([0.89805884, 1.16711009]), 'Gelman-Rubin': 0.99991090933981}",No
26,"Intestinal infectious diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$61-","bacterial infections, and other intestinal infectious diseases, and stds",1.0413520385817079,"{'CI': array([0.94374129, 1.15924736]), 'Gelman-Rubin': 0.9997952177196678}",No,0.9462878997974083,"{'CI': array([0.84560898, 1.0519283 ]), 'Gelman-Rubin': 0.9998674765646868}",No
27,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$11-20","bacterial infections, and other intestinal infectious diseases, and stds",0.952875097407176,"{'CI': array([0.78818765, 1.12073209]), 'Gelman-Rubin': 0.999913693089964}",No,1.0404955320369569,"{'CI': array([0.8630057 , 1.23599149]), 'Gelman-Rubin': 1.000132097386199}",No
28,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$21-40","bacterial infections, and other intestinal infectious diseases, and stds",0.8940950802112627,"{'CI': array([0.7503012 , 1.03881281]), 'Gelman-Rubin': 0.9998670140452228}",No,0.9582003654146771,"{'CI': array([0.82104151, 1.11274988]), 'Gelman-Rubin': 0.9999411266345702}",No
29,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$41-60","bacterial infections, and other intestinal infectious diseases, and stds",0.9662278414445545,"{'CI': array([0.87899599, 1.06270213]), 'Gelman-Rubin': 1.0002920312938428}",No,1.0558951990246546,"{'CI': array([0.96059477, 1.16007377]), 'Gelman-Rubin': 0.999820410723373}",No
30,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",0.9173439308299932,"{'CI': array([0.85502741, 0.98274742]), 'Gelman-Rubin': 1.0002507671179834}",Yes,1.0538944606314748,"{'CI': array([0.98182731, 1.13527153]), 'Gelman-Rubin': 1.0003690059015455}",No
31,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$21-40","bacterial infections, and other intestinal infectious diseases, and stds",1.0707437822074704,"{'CI': array([0.9145661 , 1.25332154]), 'Gelman-Rubin': 1.0001732219624426}",No,0.9980739530482824,"{'CI': array([0.85721571, 1.15261271]), 'Gelman-Rubin': 0.9999419365228341}",No
32,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$41-60","bacterial infections, and other intestinal infectious diseases, and stds",1.0224504664618774,"{'CI': array([0.9295927 , 1.11824777]), 'Gelman-Rubin': 0.9997627068132737}",No,1.0255582607974465,"{'CI': array([0.93798809, 1.12492457]), 'Gelman-Rubin': 1.0000133206545634}",No
33,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$61-","bacterial infections, and other intestinal infectious diseases, and stds",0.9971634999801255,"{'CI': array([0.93500968, 1.06215668]), 'Gelman-Rubin': 1.0000881910195976}",No,0.9697669537555773,"{'CI': array([0.90364802, 1.0390063 ]), 'Gelman-Rubin': 0.9998428787760939}",No
34,Disorders related to length of gestation and fetal growth|certain conditions originating in the perinatal period$F$0-10,certain conditions originating in the perinatal period,1.0444550316124013,"{'CI': array([0.95137057, 1.14553654]), 'Gelman-Rubin': 1.000255605297592}",No,1.0689314481353052,"{'CI': array([0.97067162, 1.17545272]), 'Gelman-Rubin': 1.000117026551643}",No
35,Disorders related to length of gestation and fetal growth|certain conditions originating in the perinatal period$F$21-40,certain conditions originating in the perinatal period,0.9855380082258982,"{'CI': array([0.8289959, 1.1584069]), 'Gelman-Rubin': 1.0000438812028247}",No,0.950360620304145,"{'CI': array([0.80016921, 1.1105255 ]), 'Gelman-Rubin': 1.0001199606149653}",No
36,Disorders related to length of gestation and fetal growth|certain conditions originating in the perinatal period$M$0-10,certain conditions originating in the perinatal period,0.9401186973455637,"{'CI': array([0.86015534, 1.02650434]), 'Gelman-Rubin': 1.0000401442494595}",No,0.9886563216799413,"{'CI': array([0.88291555, 1.07961362]), 'Gelman-Rubin': 0.9998553414619045}",No
37,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery|certain conditions originating in the perinatal period$F$0-10",certain conditions originating in the perinatal period,0.9905571626415038,"{'CI': array([0.83777352, 1.1709061 ]), 'Gelman-Rubin': 0.999869591494243}",No,0.9915417981115159,"{'CI': array([0.84036059, 1.17233295]), 'Gelman-Rubin': 0.999921797548787}",No
