,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0745455368149825,"{'CI': array([0.8326847 , 1.36157284]), 'Error Bound': 1.037014194504507e-116, 'Reliable CI?': 'Yes'}","{'CI': array([0.8326847 , 1.36157284]), 'Error Bound': 1.037014194504507e-116, 'Reliable CI?': 'Yes'}",No,0.9826345762232949,"{'CI': array([0.75137084, 1.25627073]), 'Error Bound': 6.986464283879443e-114, 'Reliable CI?': 'Yes'}","{'CI': array([0.75137084, 1.25627073]), 'Error Bound': 6.986464283879443e-114, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0332120668994962,"{'CI': array([0.90026576, 1.17893392]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90026576, 1.17893392]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.002291426806212,"{'CI': array([0.86873109, 1.14888508]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.86873109, 1.14888508]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0742534037001241,"{'CI': array([0.97542838, 1.17986592]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97542838, 1.17986592]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0783938813348024,"{'CI': array([0.97396748, 1.1904118 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97396748, 1.1904118 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.935683857655971,"{'CI': array([0.68891614, 1.23233599]), 'Error Bound': 5.450298705674174e-93, 'Reliable CI?': 'Yes'}","{'CI': array([0.68891614, 1.23233599]), 'Error Bound': 5.450298705674174e-93, 'Reliable CI?': 'Yes'}",No,1.0180781195427522,"{'CI': array([0.74195382, 1.35592594]), 'Error Bound': 2.5365189965390615e-82, 'Reliable CI?': 'Yes'}","{'CI': array([0.74195382, 1.35592594]), 'Error Bound': 2.5365189965390615e-82, 'Reliable CI?': 'Yes'}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0274914771355799,"{'CI': array([0.90114215, 1.16534925]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.90114215, 1.16534925]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0241211884450439,"{'CI': array([0.89170131, 1.1692403 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89170131, 1.1692403 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.1024270141847798,"{'CI': array([1.00676398, 1.20437436]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98597563, 1.2283256 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9411031089898333,"{'CI': array([0.8520231 , 1.03591948]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.8520231 , 1.03591948]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0080343414286477,"{'CI': array([0.75330511, 1.31471468]), 'Error Bound': 4.889914237002863e-96, 'Reliable CI?': 'Yes'}","{'CI': array([0.75330511, 1.31471468]), 'Error Bound': 4.889914237002863e-96, 'Reliable CI?': 'Yes'}",No,0.7989400119688413,"{'CI': array([0.56894644, 1.07408466]), 'Error Bound': 5.541555771934419e-88, 'Reliable CI?': 'Yes'}","{'CI': array([0.56894644, 1.07408466]), 'Error Bound': 5.541555771934419e-88, 'Reliable CI?': 'Yes'}",No
7,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0450873385582,"{'CI': array([0.87151769, 1.240993  ]), 'Error Bound': 5.299211410426403e-225, 'Reliable CI?': 'Yes'}","{'CI': array([0.87151769, 1.240993  ]), 'Error Bound': 5.299211410426403e-225, 'Reliable CI?': 'Yes'}",No,0.9603416751513241,"{'CI': array([0.78414181, 1.1603301 ]), 'Error Bound': 8.755495211852373e-195, 'Reliable CI?': 'Yes'}","{'CI': array([0.78414181, 1.1603301 ]), 'Error Bound': 8.755495211852373e-195, 'Reliable CI?': 'Yes'}",No
8,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.028286983768394,"{'CI': array([0.88471688, 1.1868887 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.88471688, 1.1868887 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.89833918886979,"{'CI': array([0.7629992 , 1.04760074]), 'Error Bound': 1.732754352213862e-308, 'Reliable CI?': 'Yes'}","{'CI': array([0.7629992 , 1.04760074]), 'Error Bound': 1.732754352213862e-308, 'Reliable CI?': 'Yes'}",No
9,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.076647901078469,"{'CI': array([0.90909881, 1.26468011]), 'Error Bound': 3.555120635912837e-252, 'Reliable CI?': 'Yes'}","{'CI': array([0.90909881, 1.26468011]), 'Error Bound': 3.555120635912837e-252, 'Reliable CI?': 'Yes'}",No,0.9195892048537896,"{'CI': array([0.77037635, 1.08577515]), 'Error Bound': 8.764976331140955e-260, 'Reliable CI?': 'Yes'}","{'CI': array([0.77037635, 1.08577515]), 'Error Bound': 8.764976331140955e-260, 'Reliable CI?': 'Yes'}",No
10,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0247845388315704,"{'CI': array([0.88868074, 1.17434213]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.88868074, 1.17434213]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.8323397020077665,"{'CI': array([0.71508697, 0.96016068]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.68905348, 0.99173034]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
11,"Certain zoonotic bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$21-40","bacterial infections, and other intestinal infectious diseases, and stds",0.8994378842476427,"{'CI': array([0.56043625, 1.3419465 ]), 'Error Bound': 1.7235478726149104e-45, 'Reliable CI?': 'Yes'}","{'CI': array([0.56043625, 1.3419465 ]), 'Error Bound': 1.7235478726149104e-45, 'Reliable CI?': 'Yes'}",No,0.9601549672682242,"{'CI': array([0.6019671 , 1.43247644]), 'Error Bound': 3.515175218240765e-44, 'Reliable CI?': 'Yes'}","{'CI': array([0.6019671 , 1.43247644]), 'Error Bound': 3.515175218240765e-44, 'Reliable CI?': 'Yes'}",No
12,"Certain zoonotic bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$41-60","bacterial infections, and other intestinal infectious diseases, and stds",0.9619961526575227,"{'CI': array([0.75711631, 1.19977607]), 'Error Bound': 2.229183224337263e-142, 'Reliable CI?': 'Yes'}","{'CI': array([0.75711631, 1.19977607]), 'Error Bound': 2.229183224337263e-142, 'Reliable CI?': 'Yes'}",No,1.0606104152443834,"{'CI': array([0.83639569, 1.32328452]), 'Error Bound': 1.507756640705018e-134, 'Reliable CI?': 'Yes'}","{'CI': array([0.83639569, 1.32328452]), 'Error Bound': 1.507756640705018e-134, 'Reliable CI?': 'Yes'}",No
13,"Certain zoonotic bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",0.8796116995432874,"{'CI': array([0.74942144, 1.02273885]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.74942144, 1.02273885]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0732946773691951,"{'CI': array([0.91316637, 1.25202676]), 'Error Bound': 2.5682407322053298e-276, 'Reliable CI?': 'Yes'}","{'CI': array([0.91316637, 1.25202676]), 'Error Bound': 2.5682407322053298e-276, 'Reliable CI?': 'Yes'}",No
14,"Certain zoonotic bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$41-60","bacterial infections, and other intestinal infectious diseases, and stds",1.1154054442385015,"{'CI': array([0.90092509, 1.36413727]), 'Error Bound': 4.88313082737813e-158, 'Reliable CI?': 'Yes'}","{'CI': array([0.90092509, 1.36413727]), 'Error Bound': 4.88313082737813e-158, 'Reliable CI?': 'Yes'}",No,1.0477229028020885,"{'CI': array([0.84252166, 1.28482577]), 'Error Bound': 2.4197215873661625e-159, 'Reliable CI?': 'Yes'}","{'CI': array([0.84252166, 1.28482577]), 'Error Bound': 2.4197215873661625e-159, 'Reliable CI?': 'Yes'}",No
15,"Certain zoonotic bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$M$61-","bacterial infections, and other intestinal infectious diseases, and stds",1.090831187127885,"{'CI': array([0.93929435, 1.25883618]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93929435, 1.25883618]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9392258718693629,"{'CI': array([0.80223865, 1.09027468]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.80223865, 1.09027468]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
16,"Infections with a predominantly sexual mode of transmission|bacterial infections, and other intestinal infectious diseases, and stds$F$21-40","bacterial infections, and other intestinal infectious diseases, and stds",1.0083462533284666,"{'CI': array([0.73313211, 1.34521195]), 'Error Bound': 1.1422068984608873e-81, 'Reliable CI?': 'Yes'}","{'CI': array([0.73313211, 1.34521195]), 'Error Bound': 1.1422068984608873e-81, 'Reliable CI?': 'Yes'}",No,1.0020027874885422,"{'CI': array([0.72075008, 1.34799217]), 'Error Bound': 1.5678778218239123e-77, 'Reliable CI?': 'Yes'}","{'CI': array([0.72075008, 1.34799217]), 'Error Bound': 1.5678778218239123e-77, 'Reliable CI?': 'Yes'}",No
17,"Infections with a predominantly sexual mode of transmission|bacterial infections, and other intestinal infectious diseases, and stds$F$41-60","bacterial infections, and other intestinal infectious diseases, and stds",0.995523990565706,"{'CI': array([0.79293909, 1.2298029 ]), 'Error Bound': 1.3373094119264404e-152, 'Reliable CI?': 'Yes'}","{'CI': array([0.79293909, 1.2298029 ]), 'Error Bound': 1.3373094119264404e-152, 'Reliable CI?': 'Yes'}",No,1.0533178734684026,"{'CI': array([0.8421153, 1.2984031]), 'Error Bound': 4.450899541319947e-151, 'Reliable CI?': 'Yes'}","{'CI': array([0.8421153, 1.2984031]), 'Error Bound': 4.450899541319947e-151, 'Reliable CI?': 'Yes'}",No
18,"Infections with a predominantly sexual mode of transmission|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",0.8780619940779116,"{'CI': array([0.74954715, 1.01917428]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.74954715, 1.01917428]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0887612916944662,"{'CI': array([0.92868628, 1.26732333]), 'Error Bound': 5.726421677612955e-282, 'Reliable CI?': 'Yes'}","{'CI': array([0.92868628, 1.26732333]), 'Error Bound': 5.726421677612955e-282, 'Reliable CI?': 'Yes'}",No
19,"Infections with a predominantly sexual mode of transmission|bacterial infections, and other intestinal infectious diseases, and stds$M$41-60","bacterial infections, and other intestinal infectious diseases, and stds",1.0996942412202348,"{'CI': array([0.891786  , 1.33981815]), 'Error Bound': 1.9724256618666177e-165, 'Reliable CI?': 'Yes'}","{'CI': array([0.891786  , 1.33981815]), 'Error Bound': 1.9724256618666177e-165, 'Reliable CI?': 'Yes'}",No,1.080265994793644,"{'CI': array([0.87466258, 1.31751589]), 'Error Bound': 1.971753485816594e-165, 'Reliable CI?': 'Yes'}","{'CI': array([0.87466258, 1.31751589]), 'Error Bound': 1.971753485816594e-165, 'Reliable CI?': 'Yes'}",No
