,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.074403557334904,"{'CI': array([0.83277781, 1.36110231]), 'Error Bound': 6.2833680730175705e-117, 'Reliable CI?': 'Yes'}","{'CI': array([0.83277781, 1.36110231]), 'Error Bound': 6.2833680730175705e-117, 'Reliable CI?': 'Yes'}",No,0.9826722699196075,"{'CI': array([0.75161359, 1.25602077]), 'Error Bound': 4.233064425600295e-114, 'Reliable CI?': 'Yes'}","{'CI': array([0.75161359, 1.25602077]), 'Error Bound': 4.233064425600295e-114, 'Reliable CI?': 'Yes'}",No
1,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0331930878714284,"{'CI': array([0.9002846 , 1.17886959]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9002846 , 1.17886959]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0022907231328115,"{'CI': array([0.86876868, 1.14883825]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.86876868, 1.14883825]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0742319617097331,"{'CI': array([0.97542221, 1.17982709]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97542221, 1.17982709]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0783690613450447,"{'CI': array([0.97396064, 1.19036635]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.97396064, 1.19036635]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$21-40","abnormal clinical and laboratory findings, not elsewhere classified",0.9358369052773273,"{'CI': array([0.68931929, 1.23212454]), 'Error Bound': 3.3016100213854127e-93, 'Reliable CI?': 'Yes'}","{'CI': array([0.68931929, 1.23212454]), 'Error Bound': 3.3016100213854127e-93, 'Reliable CI?': 'Yes'}",No,1.0180347330694985,"{'CI': array([0.74226501, 1.35535301]), 'Error Bound': 1.5363069509295623e-82, 'Reliable CI?': 'Yes'}","{'CI': array([0.74226501, 1.35535301]), 'Error Bound': 1.5363069509295623e-82, 'Reliable CI?': 'Yes'}",No
4,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.027477223106383,"{'CI': array([0.9011603 , 1.16529648]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9011603 , 1.16529648]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,1.0241081392096525,"{'CI': array([0.89172554, 1.16918254]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89172554, 1.16918254]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,"On diagnostic imaging and in function studies, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.1024002876839578,"{'CI': array([1.00675101, 1.20433207]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.98579555, 1.22847823]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.9411201687317289,"{'CI': array([0.85205128, 1.03592391]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.85205128, 1.03592391]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$21-40","abnormal clinical and laboratory findings, not elsewhere classified",1.0080151016131385,"{'CI': array([0.7535636 , 1.31429336]), 'Error Bound': 2.962273694950711e-96, 'Reliable CI?': 'Yes'}","{'CI': array([0.7535636 , 1.31429336]), 'Error Bound': 2.962273694950711e-96, 'Reliable CI?': 'Yes'}",No,0.7994541394860175,"{'CI': array([0.56964315, 1.07432765]), 'Error Bound': 3.356685875427763e-88, 'Reliable CI?': 'Yes'}","{'CI': array([0.56964315, 1.07432765]), 'Error Bound': 3.356685875427763e-88, 'Reliable CI?': 'Yes'}",No
7,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0450431087684324,"{'CI': array([0.87155869, 1.24084057]), 'Error Bound': 3.2122089561626006e-225, 'Reliable CI?': 'Yes'}","{'CI': array([0.87155869, 1.24084057]), 'Error Bound': 3.2122089561626006e-225, 'Reliable CI?': 'Yes'}",No,0.9603876913343705,"{'CI': array([0.78427676, 1.16026113]), 'Error Bound': 5.306960747206795e-195, 'Reliable CI?': 'Yes'}","{'CI': array([0.78427676, 1.16026113]), 'Error Bound': 5.306960747206795e-195, 'Reliable CI?': 'Yes'}",No
8,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$F$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0282683967225275,"{'CI': array([0.88474605, 1.18681194]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.88474605, 1.18681194]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.8984126049270997,"{'CI': array([0.76311163, 1.04762632]), 'Error Bound': 1.050285387533941e-308, 'Reliable CI?': 'Yes'}","{'CI': array([0.76311163, 1.04762632]), 'Error Bound': 1.050285387533941e-308, 'Reliable CI?': 'Yes'}",No
9,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$41-60","abnormal clinical and laboratory findings, not elsewhere classified",1.0765810491298213,"{'CI': array([0.90910812, 1.26451784]), 'Error Bound': 2.1550509988902454e-252, 'Reliable CI?': 'Yes'}","{'CI': array([0.90910812, 1.26451784]), 'Error Bound': 2.1550509988902454e-252, 'Reliable CI?': 'Yes'}",No,0.9196580569566205,"{'CI': array([0.77049821, 1.0857778 ]), 'Error Bound': 5.31320240719799e-260, 'Reliable CI?': 'Yes'}","{'CI': array([0.77049821, 1.0857778 ]), 'Error Bound': 5.31320240719799e-260, 'Reliable CI?': 'Yes'}",No
10,"On examination of blood, without diagnosis|abnormal clinical and laboratory findings, not elsewhere classified$M$61-","abnormal clinical and laboratory findings, not elsewhere classified",1.0247700007938318,"{'CI': array([0.88870679, 1.17427865]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.88870679, 1.17427865]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No,0.832438456597868,"{'CI': array([0.71520985, 0.96023037]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.68918149, 0.99179228]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes
