,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),Autumn Significant?
0,"Other bacterial diseases|bacterial infections, and other intestinal infectious diseases, and stds$F$61-","bacterial infections, and other intestinal infectious diseases, and stds",0.9173439308299932,"{'CI': array([0.85502741, 0.98274742]), 'Gelman-Rubin': 1.0002507671179834}",Yes,1.0538944606314748,"{'CI': array([0.98182731, 1.13527153]), 'Gelman-Rubin': 1.0003690059015455}",No
1,Cerebrovascular diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0698814221921424,"{'CI': array([1.00968069, 1.12898572]), 'Gelman-Rubin': 0.9998328339351926}",Yes,1.0097207479573436,"{'CI': array([0.94841207, 1.07409081]), 'Gelman-Rubin': 1.0006933887521545}",No
2,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified|diseases of the circulatory system$M$41-60",diseases of the circulatory system,1.147219222441133,"{'CI': array([1.01812805, 1.29002211]), 'Gelman-Rubin': 0.9998658167763342}",Yes,1.0359402021584834,"{'CI': array([0.90543891, 1.15691012]), 'Gelman-Rubin': 0.9998364009629616}",No
3,Other forms of heart disease|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.056974517336912,"{'CI': array([1.02354858, 1.09909767]), 'Gelman-Rubin': 0.9997930843417033}",Yes,1.0010402099333224,"{'CI': array([0.96645359, 1.03822529]), 'Gelman-Rubin': 0.9999286923654696}",No
4,Pulmonary heart disease and diseases of pulmonary circulation|diseases of the circulatory system$M$41-60,diseases of the circulatory system,1.1918065645689162,"{'CI': array([1.04423418, 1.34537447]), 'Gelman-Rubin': 1.0004936186593971}",Yes,0.9580419608786594,"{'CI': array([0.82595626, 1.09305033]), 'Gelman-Rubin': 0.9998474407117096}",No
5,"Diseases of oesophagus, stomach and duodenum|diseases of the digestive system$F$61-",diseases of the digestive system,0.9128216611068372,"{'CI': array([0.82807903, 0.99424689]), 'Gelman-Rubin': 0.9998611240737582}",Yes,0.9840782529620132,"{'CI': array([0.89101807, 1.07701961]), 'Gelman-Rubin': 0.9997702306932226}",No
6,Diabetes mellitus|endocrine diseases$M$61-,endocrine diseases,1.0586975453814373,"{'CI': array([1.00512971, 1.11594576]), 'Gelman-Rubin': 1.000245050107687}",Yes,0.9983042958872953,"{'CI': array([0.94373276, 1.05478751]), 'Gelman-Rubin': 1.0002288468492337}",No
7,Persons encountering health services for specific procedures and health care|external causes of morbidity and mortality$F$61-,external causes of morbidity and mortality,1.0906942726201279,"{'CI': array([1.01054483, 1.16967039]), 'Gelman-Rubin': 1.0006165473664288}",Yes,0.98461591966569,"{'CI': array([0.9091281 , 1.06252114]), 'Gelman-Rubin': 0.9999490457578003}",No
8,Persons with potential health hazards related to family and personal history and certain conditions influencing health status|external causes of morbidity and mortality$F$61-,external causes of morbidity and mortality,1.0876745725166825,"{'CI': array([1.00628135, 1.17174901]), 'Gelman-Rubin': 1.00040981310397}",Yes,0.9877290784257923,"{'CI': array([0.90549162, 1.06248658]), 'Gelman-Rubin': 0.9999491689060089}",No
9,"Abdomen, lower back, lumbar spine and pelvis|injury$M$41-60",injury,0.8363152549950502,"{'CI': array([0.72377278, 0.95929048]), 'Gelman-Rubin': 1.0001662010351187}",Yes,0.9776166553819587,"{'CI': array([0.82450936, 1.12171893]), 'Gelman-Rubin': 1.0000990027721905}",No
10,Digestive system and abdomen|symptoms and signs$F$41-60,symptoms and signs,0.9370217780635146,"{'CI': array([0.88464101, 0.98973872]), 'Gelman-Rubin': 1.0000611341644499}",Yes,1.0522679909225505,"{'CI': array([0.99292576, 1.11295339]), 'Gelman-Rubin': 0.9999301391080837}",No
