,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,Other diseases of blood and blood-forming organs|diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism$M$41-60,diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,1.2111153440227471,"{'CI': array([1.03700719, 1.4064038 ]), 'Error Bound': 6.529273249271145e-274, 'Reliable CI?': 'Yes'}","{'CI': array([1.00010092, 1.45406456]), 'Error Bound': 6.529273249271145e-274, 'Reliable CI?': 'Yes'}",Yes,0.9378656312138518,"{'CI': array([0.78651873, 1.10658218]), 'Error Bound': 6.488948526203663e-259, 'Reliable CI?': 'Yes'}","{'CI': array([0.78651873, 1.10658218]), 'Error Bound': 6.488948526203663e-259, 'Reliable CI?': 'Yes'}",No
1,Cerebrovascular diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0940931885373664,"{'CI': array([1.03417033, 1.15642962]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.02098077, 1.17083076]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0007615749698073,"{'CI': array([0.94180197, 1.06212964]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94180197, 1.06212964]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
2,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified|diseases of the circulatory system$M$41-60",diseases of the circulatory system,1.2610934153815399,"{'CI': array([1.08271948, 1.46138008]), 'Error Bound': 1.1909754593960222e-275, 'Reliable CI?': 'Yes'}","{'CI': array([1.04493796, 1.51028705]), 'Error Bound': 1.1909754593960222e-275, 'Reliable CI?': 'Yes'}",Yes,1.0494933174407723,"{'CI': array([0.89314311, 1.22369272]), 'Error Bound': 1.6110697129180347e-281, 'Reliable CI?': 'Yes'}","{'CI': array([0.89314311, 1.22369272]), 'Error Bound': 1.6110697129180347e-281, 'Reliable CI?': 'Yes'}",No
3,Ischemic heart diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0753311486308827,"{'CI': array([1.01802113, 1.13485908]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00539593, 1.14859751]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0139460299067125,"{'CI': array([0.9565205 , 1.07364384]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.9565205 , 1.07364384]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,Other forms of heart disease|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0761138090917155,"{'CI': array([1.04067297, 1.11239029]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.03280081, 1.12068149]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9913958911364458,"{'CI': array([0.95543612, 1.02824045]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95543612, 1.02824045]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
5,Pulmonary heart disease and diseases of pulmonary circulation|diseases of the circulatory system$M$41-60,diseases of the circulatory system,1.4028715575616952,"{'CI': array([1.16728371, 1.6763289 ]), 'Error Bound': 3.9444710693633876e-179, 'Reliable CI?': 'Yes'}","{'CI': array([1.11814162, 1.74483651]), 'Error Bound': 3.9444710693633876e-179, 'Reliable CI?': 'Yes'}",Yes,0.9150263023916004,"{'CI': array([0.74380856, 1.10901416]), 'Error Bound': 6.469251570058378e-194, 'Reliable CI?': 'Yes'}","{'CI': array([0.74380856, 1.10901416]), 'Error Bound': 6.469251570058378e-194, 'Reliable CI?': 'Yes'}",No
6,Diabetes mellitus|endocrine diseases$M$61-,endocrine diseases,1.081096260604841,"{'CI': array([1.02361677, 1.14080261]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01095459, 1.15458253]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9884969987310512,"{'CI': array([0.93243562, 1.04674088]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93243562, 1.04674088]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,Persons encountering health services for specific procedures and health care|external causes of morbidity and mortality$F$61-,external causes of morbidity and mortality,1.1238387727922303,"{'CI': array([1.03731154, 1.21543886]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01844448, 1.23685681]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9729583289651695,"{'CI': array([0.894975  , 1.05525416]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.894975  , 1.05525416]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,Persons with potential health hazards related to family and personal history and certain conditions influencing health status|external causes of morbidity and mortality$F$61-,external causes of morbidity and mortality,1.1216635042000913,"{'CI': array([1.03195886, 1.21683618]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01242128, 1.2391241 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9775075922722998,"{'CI': array([0.89620161, 1.06350475]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89620161, 1.06350475]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
9,"Abdomen, lower back, lumbar spine and pelvis|injury$M$41-60",injury,0.740570336228529,"{'CI': array([0.60342608, 0.89297004]), 'Error Bound': 2.8991270581428926e-233, 'Reliable CI?': 'Yes'}","{'CI': array([0.57411816, 0.93004208]), 'Error Bound': 2.8991270581428926e-233, 'Reliable CI?': 'Yes'}",Yes,0.9489751040715664,"{'CI': array([0.76264964, 1.16222658]), 'Error Bound': 1.191368503479838e-170, 'Reliable CI?': 'Yes'}","{'CI': array([0.76264964, 1.16222658]), 'Error Bound': 1.191368503479838e-170, 'Reliable CI?': 'Yes'}",No
10,"Abdomen, lower back, lumbar spine and pelvis|injury$M$61-",injury,1.250952458071711,"{'CI': array([1.05707868, 1.4710683 ]), 'Error Bound': 3.804170605066238e-229, 'Reliable CI?': 'Yes'}","{'CI': array([1.01621091, 1.5252955 ]), 'Error Bound': 3.804170605066238e-229, 'Reliable CI?': 'Yes'}",Yes,0.9786411131094142,"{'CI': array([0.81372139, 1.16407043]), 'Error Bound': 2.2976028388113028e-229, 'Reliable CI?': 'Yes'}","{'CI': array([0.81372139, 1.16407043]), 'Error Bound': 2.2976028388113028e-229, 'Reliable CI?': 'Yes'}",No
11,Ankle and foot|injury$M$41-60,injury,0.6841614577932964,"{'CI': array([0.48572206, 0.91704102]), 'Error Bound': 3.2603925539660817e-98, 'Reliable CI?': 'Yes'}","{'CI': array([0.44398929, 0.97669401]), 'Error Bound': 3.2603925539660817e-98, 'Reliable CI?': 'Yes'}",Yes,0.9356713177780299,"{'CI': array([0.66192082, 1.27211797]), 'Error Bound': 6.443518174283491e-75, 'Reliable CI?': 'Yes'}","{'CI': array([0.66192082, 1.27211797]), 'Error Bound': 6.443518174283491e-75, 'Reliable CI?': 'Yes'}",No
12,Other metabolic disorders|metabolic diseases$F$61-,metabolic diseases,1.0697102082464744,"{'CI': array([1.01304043, 1.12855169]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00055371, 1.14212841]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9864738289970083,"{'CI': array([0.92940991, 1.04580224]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92940991, 1.04580224]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
13,"Malignant neoplasms, connective and soft tissue|neoplasms$M$61-",neoplasms,1.5622940928423634,"{'CI': array([1.1542589 , 2.09151133]), 'Error Bound': 2.4758626291867193e-65, 'Reliable CI?': 'Yes'}","{'CI': array([1.07265548, 2.23745116]), 'Error Bound': 2.4758626291867193e-65, 'Reliable CI?': 'Yes'}",Yes,1.1118254239933554,"{'CI': array([0.80680711, 1.49111234]), 'Error Bound': 3.891879830362854e-75, 'Reliable CI?': 'Yes'}","{'CI': array([0.80680711, 1.49111234]), 'Error Bound': 3.891879830362854e-75, 'Reliable CI?': 'Yes'}",No
14,General symptoms and signs|symptoms and signs$F$11-20,symptoms and signs,1.2560257556828491,"{'CI': array([1.05786799, 1.48164913]), 'Error Bound': 5.0869658358620576e-220, 'Reliable CI?': 'Yes'}","{'CI': array([1.01615028, 1.53735844]), 'Error Bound': 5.0869658358620576e-220, 'Reliable CI?': 'Yes'}",Yes,1.0500846111279087,"{'CI': array([0.86250249, 1.26394704]), 'Error Bound': 7.685288648932338e-193, 'Reliable CI?': 'Yes'}","{'CI': array([0.86250249, 1.26394704]), 'Error Bound': 7.685288648932338e-193, 'Reliable CI?': 'Yes'}",No
15,General symptoms and signs|symptoms and signs$M$11-20,symptoms and signs,1.278257444401193,"{'CI': array([1.06368609, 1.52515611]), 'Error Bound': 6.981947826310206e-191, 'Reliable CI?': 'Yes'}","{'CI': array([1.01872107, 1.5866315 ]), 'Error Bound': 6.981947826310206e-191, 'Reliable CI?': 'Yes'}",Yes,0.9564692452519766,"{'CI': array([0.77111034, 1.168374  ]), 'Error Bound': 2.3460359285308335e-174, 'Reliable CI?': 'Yes'}","{'CI': array([0.77111034, 1.168374  ]), 'Error Bound': 2.3460359285308335e-174, 'Reliable CI?': 'Yes'}",No
