,Condition,System,Relative Risk (Spring),99.9% C.I. (Spring),False Coverage Rate Corrected 99.9% C.I. (Spring),Spring Significant?,Relative Risk (Autumn),99.9% C.I. (Autumn),False Coverage Rate Corrected 99.9% C.I. (Autumn),Autumn Significant?
0,Cerebrovascular diseases|diseases of the circulatory system$M$61-,diseases of the circulatory system,1.0940836676392598,"{'CI': array([1.03416417, 1.15641647]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.02086722, 1.17093585]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0007617001233866,"{'CI': array([0.94180532, 1.06212627]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.94180532, 1.06212627]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
1,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified|diseases of the circulatory system$M$41-60",diseases of the circulatory system,1.2608856677168327,"{'CI': array([1.08259898, 1.4610639 ]), 'Error Bound': 7.219655269890057e-276, 'Reliable CI?': 'Yes'}","{'CI': array([1.0445274 , 1.51035132]), 'Error Bound': 7.219655269890057e-276, 'Reliable CI?': 'Yes'}",Yes,1.0494557204179735,"{'CI': array([0.89316724, 1.22357874]), 'Error Bound': 9.766270374285746e-282, 'Reliable CI?': 'Yes'}","{'CI': array([0.89316724, 1.22357874]), 'Error Bound': 9.766270374285746e-282, 'Reliable CI?': 'Yes'}",No
2,Ischemic heart diseases|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.0753240252540068,"{'CI': array([1.01801695, 1.13484879]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00528889, 1.14870007]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,1.0139447699241368,"{'CI': array([0.95652221, 1.07363937]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95652221, 1.07363937]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
3,Other forms of heart disease|diseases of the circulatory system$F$61-,diseases of the circulatory system,1.076111092085328,"{'CI': array([1.04067095, 1.11238685]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.03273431, 1.12074631]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.991396319251034,"{'CI': array([0.95543728, 1.02824011]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.95543728, 1.02824011]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
4,Pulmonary heart disease and diseases of pulmonary circulation|diseases of the circulatory system$M$41-60,diseases of the circulatory system,1.402376339787349,"{'CI': array([1.16698119, 1.67558048]), 'Error Bound': 2.3907389184646506e-179, 'Reliable CI?': 'Yes'}","{'CI': array([1.11747782, 1.74459451]), 'Error Bound': 2.3907389184646506e-179, 'Reliable CI?': 'Yes'}",Yes,0.9151239802469543,"{'CI': array([0.74398682, 1.10900755]), 'Error Bound': 3.921148893024345e-194, 'Reliable CI?': 'Yes'}","{'CI': array([0.74398682, 1.10900755]), 'Error Bound': 3.921148893024345e-194, 'Reliable CI?': 'Yes'}",No
5,Diabetes mellitus|endocrine diseases$M$61-,endocrine diseases,1.0810886059278066,"{'CI': array([1.02361209, 1.14079176]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01084674, 1.15468486]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9884983639520692,"{'CI': array([0.93243975, 1.04673926]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.93243975, 1.04673926]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
6,Persons encountering health services for specific procedures and health care|external causes of morbidity and mortality$F$61-,external causes of morbidity and mortality,1.1238131225348447,"{'CI': array([1.03729599, 1.21540193]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01827668, 1.23699469]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9729642142862395,"{'CI': array([0.89498836, 1.05525171]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89498836, 1.05525171]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
7,Persons with potential health hazards related to family and personal history and certain conditions influencing health status|external causes of morbidity and mortality$F$61-,external causes of morbidity and mortality,1.1216362971428089,"{'CI': array([1.03194292, 1.21679633]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.01224789, 1.23926599]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9775129573663832,"{'CI': array([0.89621545, 1.06350062]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.89621545, 1.06350062]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
8,"Abdomen, lower back, lumbar spine and pelvis|injury$M$41-60",injury,0.7408141674663449,"{'CI': array([0.60370388, 0.89317042]), 'Error Bound': 1.7573556887473362e-233, 'Reliable CI?': 'Yes'}","{'CI': array([0.57416377, 0.93054046]), 'Error Bound': 1.7573556887473362e-233, 'Reliable CI?': 'Yes'}",Yes,0.9490424662434125,"{'CI': array([0.76282233, 1.16215529]), 'Error Bound': 7.220667542678014e-171, 'Reliable CI?': 'Yes'}","{'CI': array([0.76282233, 1.16215529]), 'Error Bound': 7.220667542678014e-171, 'Reliable CI?': 'Yes'}",No
9,"Abdomen, lower back, lumbar spine and pelvis|injury$M$61-",injury,1.2507126632089254,"{'CI': array([1.05695182, 1.47068514]), 'Error Bound': 2.3056838436572596e-229, 'Reliable CI?': 'Yes'}","{'CI': array([1.01577408, 1.52532829]), 'Error Bound': 2.3056838436572596e-229, 'Reliable CI?': 'Yes'}",Yes,0.9786633591050657,"{'CI': array([0.81381633, 1.16400061]), 'Error Bound': 1.392544881279979e-229, 'Reliable CI?': 'Yes'}","{'CI': array([0.81381633, 1.16400061]), 'Error Bound': 1.392544881279979e-229, 'Reliable CI?': 'Yes'}",No
10,Ankle and foot|injury$M$41-60,injury,0.6848754726565135,"{'CI': array([0.48652432, 0.91762276]), 'Error Bound': 1.975193671966407e-98, 'Reliable CI?': 'Yes'}","{'CI': array([0.4444699 , 0.97773737]), 'Error Bound': 1.975193671966407e-98, 'Reliable CI?': 'Yes'}",Yes,0.9358668693519439,"{'CI': array([0.66245994, 1.27178961]), 'Error Bound': 3.9022265729817e-75, 'Reliable CI?': 'Yes'}","{'CI': array([0.66245994, 1.27178961]), 'Error Bound': 3.9022265729817e-75, 'Reliable CI?': 'Yes'}",No
11,Other metabolic disorders|metabolic diseases$F$61-,metabolic diseases,1.0697037228672994,"{'CI': array([1.01303679, 1.12854214]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([1.00044832, 1.1422304 ]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",Yes,0.9864754498634274,"{'CI': array([0.92941445, 1.04580071]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}","{'CI': array([0.92941445, 1.04580071]), 'Error Bound': 0.0, 'Reliable CI?': 'Yes'}",No
12,"Malignant neoplasms, connective and soft tissue|neoplasms$M$61-",neoplasms,1.5603636459579575,"{'CI': array([1.15330718, 2.08802038]), 'Error Bound': 1.4990233591341313e-65, 'Reliable CI?': 'Yes'}","{'CI': array([1.07122455, 2.2347097 ]), 'Error Bound': 1.4990233591341313e-65, 'Reliable CI?': 'Yes'}",Yes,1.1114982666394924,"{'CI': array([0.80695617, 1.49005876]), 'Error Bound': 2.356860341573472e-75, 'Reliable CI?': 'Yes'}","{'CI': array([0.80695617, 1.49005876]), 'Error Bound': 2.356860341573472e-75, 'Reliable CI?': 'Yes'}",No
13,General symptoms and signs|symptoms and signs$F$11-20,symptoms and signs,1.2557699214813034,"{'CI': array([1.05773287, 1.48123927]), 'Error Bound': 3.0830391898780848e-220, 'Reliable CI?': 'Yes'}","{'CI': array([1.01569985, 1.53737416]), 'Error Bound': 3.0830391898780848e-220, 'Reliable CI?': 'Yes'}",Yes,1.0500290594193118,"{'CI': array([0.86255466, 1.26375203]), 'Error Bound': 4.657597893666143e-193, 'Reliable CI?': 'Yes'}","{'CI': array([0.86255466, 1.26375203]), 'Error Bound': 4.657597893666143e-193, 'Reliable CI?': 'Yes'}",No
14,General symptoms and signs|symptoms and signs$M$11-20,symptoms and signs,1.2779364812168148,"{'CI': array([1.06351787, 1.52463656]), 'Error Bound': 4.231389988037579e-191, 'Reliable CI?': 'Yes'}","{'CI': array([1.01821755, 1.58657399]), 'Error Bound': 4.231389988037579e-191, 'Reliable CI?': 'Yes'}",Yes,0.9565260628078025,"{'CI': array([0.77127091, 1.16829464]), 'Error Bound': 1.4217518772122442e-174, 'Reliable CI?': 'Yes'}","{'CI': array([0.77127091, 1.16829464]), 'Error Bound': 1.4217518772122442e-174, 'Reliable CI?': 'Yes'}",No
